time_captured,05_unb_raw_accX
1970-01-01 00:00:00.000000312,-476.654
1970-01-01 00:00:00.000000313,-895.114
1970-01-01 00:00:00.000000314,-942.328
1970-01-01 00:00:00.000000315,-914.268
1970-01-01 00:00:00.000000316,-515.572
1970-01-01 00:00:00.000000317,643.794
1970-01-01 00:00:00.000000318,1425.936
1970-01-01 00:00:00.000000319,578.28
1970-01-01 00:00:00.000000320,-879.742
1970-01-01 00:00:00.000000321,-879.742
1970-01-01 00:00:00.000000322,-33.184
1970-01-01 00:00:00.000000323,-164.7
1970-01-01 00:00:00.000000324,-2.44
1970-01-01 00:00:00.000000325,342.942
1970-01-01 00:00:00.000000326,575.352
1970-01-01 00:00:00.000000327,1150.216
1970-01-01 00:00:00.000000328,1376.526
1970-01-01 00:00:00.000000329,-814.96
1970-01-01 00:00:00.000000330,-814.96
1970-01-01 00:00:00.000000331,-866.078
1970-01-01 00:00:00.000000332,-924.272
1970-01-01 00:00:00.000000333,-722.85
1970-01-01 00:00:00.000000334,-176.29
1970-01-01 00:00:00.000000335,711.382
1970-01-01 00:00:00.000000336,1108.248
1970-01-01 00:00:00.000000337,57.096
1970-01-01 00:00:00.000000338,-505.446
1970-01-01 00:00:00.000000339,-1050.298
1970-01-01 00:00:00.000000340,-89.182
1970-01-01 00:00:00.000000341,-263.886
1970-01-01 00:00:00.000000342,171.654
1970-01-01 00:00:00.000000343,419.314
1970-01-01 00:00:00.000000344,985.516
1970-01-01 00:00:00.000000345,1660.786
1970-01-01 00:00:00.000000346,1149.24
1970-01-01 00:00:00.000000347,-1282.586
1970-01-01 00:00:00.000000348,-1282.586
1970-01-01 00:00:00.000000349,-780.8
1970-01-01 00:00:00.000000350,-978.318
1970-01-01 00:00:00.000000351,-594.506
1970-01-01 00:00:00.000000352,399.916
1970-01-01 00:00:00.000000353,1167.662
1970-01-01 00:00:00.000000354,885.842
1970-01-01 00:00:00.000000355,-352.58
1970-01-01 00:00:00.000000356,-532.042
1970-01-01 00:00:00.000000357,-532.042
1970-01-01 00:00:00.000000358,-60.146
1970-01-01 00:00:00.000000359,-4.148
1970-01-01 00:00:00.000000360,428.586
1970-01-01 00:00:00.000000361,369.782
1970-01-01 00:00:00.000000362,938.668
1970-01-01 00:00:00.000000363,1534.394
1970-01-01 00:00:00.000000364,463.6
1970-01-01 00:00:00.000000365,-670.268
1970-01-01 00:00:00.000000366,-759.816
1970-01-01 00:00:00.000000367,-834.114
1970-01-01 00:00:00.000000368,-1220.244
1970-01-01 00:00:00.000000369,-918.05
1970-01-01 00:00:00.000000370,962.58
1970-01-01 00:00:00.000000371,1187.792
1970-01-01 00:00:00.000000372,212.036
1970-01-01 00:00:00.000000373,-670.756
1970-01-01 00:00:00.000000374,-861.686
1970-01-01 00:00:00.000000375,-279.136
1970-01-01 00:00:00.000000376,-185.318
1970-01-01 00:00:00.000000377,-46.726
1970-01-01 00:00:00.000000378,82.472
1970-01-01 00:00:00.000000379,524.478
1970-01-01 00:00:00.000000380,1516.826
1970-01-01 00:00:00.000000381,1125.938
1970-01-01 00:00:00.000000382,-247.538
1970-01-01 00:00:00.000000383,-1254.77
1970-01-01 00:00:00.000000384,-1074.576
1970-01-01 00:00:00.000000385,-697.352
1970-01-01 00:00:00.000000386,-1080.554
1970-01-01 00:00:00.000000387,48.19
1970-01-01 00:00:00.000000388,886.818
1970-01-01 00:00:00.000000389,926.102
1970-01-01 00:00:00.000000390,-394.67
1970-01-01 00:00:00.000000391,-566.934
1970-01-01 00:00:00.000000392,-656.482
1970-01-01 00:00:00.000000393,36.722
1970-01-01 00:00:00.000000394,-87.352
1970-01-01 00:00:00.000000395,69.662
1970-01-01 00:00:00.000000396,242.902
1970-01-01 00:00:00.000000397,1000.766
1970-01-01 00:00:00.000000398,1120.448
1970-01-01 00:00:00.000000399,818.62
1970-01-01 00:00:00.000000400,-584.258
1970-01-01 00:00:00.000000401,-1092.144
1970-01-01 00:00:00.000000402,-936.106
1970-01-01 00:00:00.000000403,-1053.836
1970-01-01 00:00:00.000000404,-902.8
1970-01-01 00:00:00.000000405,-518.5
1970-01-01 00:00:00.000000406,1166.198
1970-01-01 00:00:00.000000407,830.21
1970-01-01 00:00:00.000000408,-444.202
1970-01-01 00:00:00.000000409,-874.252
1970-01-01 00:00:00.000000410,-608.292
