time_captured,TRV_Close
2014-04-15,85.89
2014-04-16,86.78
2014-04-17,86.68
2014-04-21,86.4
2014-04-22,86.89
2014-04-23,88.13
2014-04-24,88.59
2014-04-25,88.31
2014-04-28,89.64
2014-04-29,90.9
2014-04-30,90.58
2014-05-01,90.83
2014-05-02,91.0
2014-05-05,90.65
2014-05-06,89.88
2014-05-07,91.07
2014-05-08,91.24
2014-05-09,91.3
2014-05-12,92.04
2014-05-13,92.91
2014-05-14,92.65
2014-05-15,92.37
2014-05-16,92.58
2014-05-19,92.77
2014-05-20,92.67
2014-05-21,92.86
2014-05-22,93.01
2014-05-23,92.86
2014-05-27,93.49
2014-05-28,93.46
2014-05-29,94.1
2014-05-30,93.45
2014-06-02,93.71
2014-06-03,93.41
2014-06-04,94.67
2014-06-05,94.97
2014-06-06,94.36
2014-06-09,94.66
2014-06-10,95.1
2014-06-11,94.9
2014-06-12,95.0
2014-06-13,95.41
2014-06-16,95.46
2014-06-17,95.22
2014-06-18,95.4
2014-06-19,95.6
2014-06-20,94.59
2014-06-23,94.95
2014-06-24,94.67
2014-06-25,94.86
2014-06-26,94.41
2014-06-27,93.92
2014-06-30,94.07
2014-07-01,95.21
2014-07-02,94.62
2014-07-03,94.84
2014-07-07,94.55
2014-07-08,94.14
2014-07-09,94.7
2014-07-10,94.3
2014-07-11,94.68
2014-07-14,95.56
2014-07-15,95.95
2014-07-16,95.62
2014-07-17,94.7
2014-07-18,95.34
2014-07-21,95.26
2014-07-22,91.63
2014-07-23,91.78
2014-07-24,92.88
2014-07-25,92.1
2014-07-28,91.88
2014-07-29,91.12
2014-07-30,90.94
2014-07-31,89.56
2014-08-01,89.61
2014-08-04,89.9
2014-08-05,89.12
2014-08-06,89.7
2014-08-07,89.9
2014-08-08,90.48
2014-08-11,90.66
2014-08-12,91.09
2014-08-13,91.27
2014-08-14,92.22
2014-08-15,92.13
2014-08-18,92.99
2014-08-19,92.91
2014-08-20,93.11
2014-08-21,93.94
2014-08-22,93.75
2014-08-25,94.29
2014-08-26,94.2
2014-08-27,94.76
2014-08-28,94.34
2014-08-29,94.71
2014-09-02,94.52
2014-09-03,94.47
2014-09-04,94.26
2014-09-05,94.21
2014-09-08,93.27
2014-09-09,92.85
2014-09-10,93.17
2014-09-11,92.92
2014-09-12,92.42
2014-09-15,93.55
2014-09-16,93.64
2014-09-17,93.65
2014-09-18,94.78
2014-09-19,94.61
2014-09-22,94.6
2014-09-23,93.55
2014-09-24,94.79
2014-09-25,93.7
2014-09-26,94.4
2014-09-29,93.77
2014-09-30,93.94
2014-10-01,93.1
2014-10-02,93.07
2014-10-03,94.46
2014-10-06,94.7
2014-10-07,93.66
2014-10-08,94.45
2014-10-09,93.89
2014-10-10,94.04
2014-10-13,93.52
2014-10-14,93.68
2014-10-15,91.99
2014-10-16,91.81
2014-10-17,93.24
2014-10-20,93.2
2014-10-21,94.24
2014-10-22,95.58
2014-10-23,96.77
2014-10-24,97.73
2014-10-27,98.87
2014-10-28,99.73
2014-10-29,99.42
2014-10-30,100.0
2014-10-31,100.8
2014-11-03,99.95
2014-11-04,101.13
2014-11-05,101.49
2014-11-06,101.91
2014-11-07,102.37
2014-11-10,102.99
2014-11-11,102.94
2014-11-12,103.06
2014-11-13,103.23
2014-11-14,102.43
2014-11-17,102.75
2014-11-18,102.85
2014-11-19,103.03
2014-11-20,103.46
2014-11-21,103.81
2014-11-24,103.79
2014-11-25,103.43
2014-11-26,104.37
2014-11-28,104.45
2014-12-01,104.44
2014-12-02,104.4
2014-12-03,105.19
2014-12-04,105.1
2014-12-05,105.2
2014-12-08,105.84
2014-12-09,105.02
2014-12-10,104.26
2014-12-11,104.57
2014-12-12,103.16
2014-12-15,103.09
2014-12-16,103.08
2014-12-17,104.41
2014-12-18,105.95
2014-12-19,105.75
2014-12-22,106.31
2014-12-23,106.95
2014-12-24,106.72
2014-12-26,106.7
2014-12-29,106.95
2014-12-30,106.93
2014-12-31,105.85
2015-01-02,105.44
2015-01-05,104.17
2015-01-06,103.24
2015-01-07,105.0
2015-01-08,107.18
2015-01-09,105.83
2015-01-12,105.2
2015-01-13,105.36
2015-01-14,103.77
2015-01-15,104.21
2015-01-16,106.54
2015-01-20,105.84
2015-01-21,105.01
2015-01-22,108.17
2015-01-23,107.0
2015-01-26,107.07
2015-01-27,106.05
2015-01-28,104.58
2015-01-29,104.54
2015-01-30,102.82
2015-02-02,104.58
2015-02-03,106.04
2015-02-04,106.73
2015-02-05,107.41
2015-02-06,107.2
2015-02-09,105.77
2015-02-10,106.52
2015-02-11,107.77
2015-02-12,108.04
2015-02-13,108.0
2015-02-17,108.0
2015-02-18,107.98
2015-02-19,107.99
2015-02-20,107.82
2015-02-23,107.08
2015-02-24,107.55
2015-02-25,106.91
2015-02-26,107.82
2015-02-27,107.44
2015-03-02,107.9
2015-03-03,107.4
2015-03-04,106.88
2015-03-05,107.6
2015-03-06,105.8
2015-03-09,106.72
2015-03-10,104.73
2015-03-11,105.67
2015-03-12,107.83
2015-03-13,106.72
2015-03-16,108.93
2015-03-17,108.75
2015-03-18,109.52
2015-03-19,109.11
2015-03-20,109.73
2015-03-23,109.62
2015-03-24,109.23
2015-03-25,107.61
2015-03-26,106.83
2015-03-27,107.13
2015-03-30,109.64
2015-03-31,108.13
2015-04-01,107.11
2015-04-02,107.74
2015-04-06,108.13
2015-04-07,107.34
2015-04-08,107.34
2015-04-09,107.3
2015-04-10,107.65
2015-04-13,107.87
2015-04-14,107.79
2015-04-15,108.08
2015-04-16,108.67
2015-04-17,105.4
2015-04-20,106.14
2015-04-21,101.88
2015-04-22,102.02
2015-04-23,103.48
2015-04-24,103.95
2015-04-27,103.33
2015-04-28,103.68
2015-04-29,102.85
2015-04-30,101.11
2015-05-01,102.12
2015-05-04,102.17
2015-05-05,102.05
2015-05-06,101.77
2015-05-07,102.58
2015-05-08,103.73
2015-05-11,102.22
2015-05-12,101.67
2015-05-13,101.97
2015-05-14,102.75
2015-05-15,102.68
2015-05-18,103.17
2015-05-19,103.66
2015-05-20,103.7
2015-05-21,103.09
2015-05-22,102.73
2015-05-26,101.6
2015-05-27,102.34
2015-05-28,102.15
2015-05-29,101.12
2015-06-01,101.01
2015-06-02,100.33
2015-06-03,101.01
2015-06-04,100.21
