time_captured,UTX_High
2008-12-22,51.91
2008-12-23,52.36
2008-12-24,51.4
2008-12-26,51.52
2008-12-29,51.33
2008-12-30,53.14
2008-12-31,54.08
2009-01-02,55.24
2009-01-05,54.98
2009-01-06,55.51
2009-01-07,53.91
2009-01-08,53.76
2009-01-09,54.0
2009-01-12,53.12
2009-01-13,52.57
2009-01-14,50.5
2009-01-15,50.51
2009-01-16,51.5
2009-01-20,51.25
2009-01-21,49.89
2009-01-22,49.35
2009-01-23,48.15
2009-01-26,49.43
2009-01-27,49.84
2009-01-28,51.07
2009-01-29,50.19
2009-01-30,49.85
2009-02-02,48.17
2009-02-03,48.64
2009-02-04,48.86
2009-02-05,48.53
2009-02-06,49.57
2009-02-09,49.87
2009-02-10,49.78
2009-02-11,48.03
2009-02-12,47.01
2009-02-13,47.96
2009-02-17,46.71
2009-02-18,45.9
2009-02-19,45.93
2009-02-20,44.7
2009-02-23,44.48
2009-02-24,43.35
2009-02-25,42.66
2009-02-26,42.08
2009-02-27,41.35
2009-03-02,40.33
2009-03-03,39.53
2009-03-04,39.84
2009-03-05,38.87
2009-03-06,38.78
2009-03-09,38.75
2009-03-10,40.79
2009-03-11,41.69
2009-03-12,41.99
2009-03-13,41.92
2009-03-16,42.22
2009-03-17,41.73
2009-03-18,42.48
2009-03-19,42.27
2009-03-20,41.92
2009-03-23,43.55
2009-03-24,43.88
2009-03-25,44.71
2009-03-26,45.59
2009-03-27,45.31
2009-03-30,43.91
2009-03-31,43.86
2009-04-01,44.18
2009-04-02,46.75
2009-04-03,46.32
2009-04-06,46.36
2009-04-07,46.08
2009-04-08,45.38
2009-04-09,47.5
2009-04-13,46.84
2009-04-14,46.26
2009-04-15,47.2
2009-04-16,47.88
2009-04-17,48.26
2009-04-20,46.77
2009-04-21,48.85
2009-04-22,48.44
2009-04-23,48.15
2009-04-24,49.68
2009-04-27,49.34
2009-04-28,48.56
2009-04-29,49.66
2009-04-30,50.28
2009-05-01,49.79
2009-05-04,51.4
2009-05-05,51.9
2009-05-06,52.85
2009-05-07,52.76
2009-05-08,53.61
2009-05-11,53.13
2009-05-12,53.07
2009-05-13,51.44
2009-05-14,52.05
2009-05-15,51.94
2009-05-18,53.07
2009-05-19,53.17
2009-05-20,52.89
2009-05-21,51.18
2009-05-22,51.76
2009-05-26,53.03
2009-05-27,53.2
2009-05-28,52.57
2009-05-29,52.7
2009-06-01,55.58
2009-06-02,55.92
2009-06-03,55.37
2009-06-04,55.41
2009-06-05,56.99
2009-06-08,56.97
2009-06-09,56.65
2009-06-10,56.22
2009-06-11,56.32
2009-06-12,55.97
2009-06-15,55.4
2009-06-16,55.28
2009-06-17,55.23
2009-06-18,55.3
2009-06-19,55.25
2009-06-22,53.85
2009-06-23,52.96
2009-06-24,52.52
2009-06-25,52.35
2009-06-26,52.08
2009-06-29,52.64
2009-06-30,52.61
2009-07-01,52.69
2009-07-02,51.76
2009-07-06,50.98
2009-07-07,50.99
2009-07-08,50.05
2009-07-09,50.63
2009-07-10,49.99
2009-07-13,51.52
2009-07-14,51.74
2009-07-15,53.93
2009-07-16,54.26
2009-07-17,53.99
2009-07-20,55.03
2009-07-21,54.64
2009-07-22,54.28
2009-07-23,53.74
2009-07-24,53.53
2009-07-27,52.46
2009-07-28,52.62
2009-07-29,53.34
2009-07-30,54.99
2009-07-31,54.83
2009-08-03,55.38
2009-08-04,55.36
2009-08-05,54.94
2009-08-06,55.26
2009-08-07,56.0
2009-08-10,56.43
2009-08-11,56.02
2009-08-12,58.8
2009-08-13,58.12
2009-08-14,57.68
2009-08-17,57.0
2009-08-18,57.13
2009-08-19,56.62
2009-08-20,57.26
2009-08-21,58.84
2009-08-24,59.72
2009-08-25,60.63
2009-08-26,59.97
2009-08-27,60.44
2009-08-28,60.37
2009-08-31,59.36
2009-09-01,60.4
2009-09-02,59.29
2009-09-03,59.75
2009-09-04,60.69
2009-09-08,60.88
2009-09-09,61.37
2009-09-10,62.0
2009-09-11,62.04
2009-09-14,61.76
2009-09-15,61.73
2009-09-16,62.35
2009-09-17,63.04
2009-09-18,63.28
2009-09-21,63.02
2009-09-22,63.3
2009-09-23,63.72
2009-09-24,63.0
2009-09-25,62.19
2009-09-28,62.15
2009-09-29,61.93
2009-09-30,61.53
2009-10-01,60.98
2009-10-02,59.94
2009-10-05,60.48
2009-10-06,61.92
2009-10-07,61.46
2009-10-08,62.28
2009-10-09,62.22
2009-10-12,62.49
2009-10-13,62.15
2009-10-14,63.87
2009-10-15,64.44
2009-10-16,65.09
2009-10-19,65.86
2009-10-20,65.88
2009-10-21,66.26
2009-10-22,66.06
2009-10-23,66.36
2009-10-26,66.26
2009-10-27,65.43
2009-10-28,64.32
2009-10-29,63.74
2009-10-30,63.78
2009-11-02,62.94
2009-11-03,63.35
2009-11-04,64.64
2009-11-05,65.5
2009-11-06,65.72
2009-11-09,66.75
2009-11-10,67.2
2009-11-11,67.45
2009-11-12,67.57
2009-11-13,68.25
2009-11-16,69.4
2009-11-17,69.96
2009-11-18,69.76
2009-11-19,68.48
2009-11-20,68.11
2009-11-23,69.13
2009-11-24,68.73
2009-11-25,68.47
2009-11-27,67.58
2009-11-30,67.46
2009-12-01,68.69
2009-12-02,68.65
2009-12-03,68.49
2009-12-04,68.82
2009-12-07,69.2
2009-12-08,68.52
2009-12-09,67.9
2009-12-10,69.0
2009-12-11,69.65
2009-12-14,69.98
2009-12-15,70.3
2009-12-16,70.75
2009-12-17,70.12
2009-12-18,70.0
2009-12-21,70.03
2009-12-22,69.86
2009-12-23,69.78
2009-12-24,70.5
2009-12-28,70.78
2009-12-29,70.89
2009-12-30,70.54
2009-12-31,70.76
2010-01-04,71.86
2010-01-05,71.64
2010-01-06,70.83
2010-01-07,70.62
2010-01-08,70.7
2010-01-11,72.26
2010-01-12,71.95
2010-01-13,72.66
2010-01-14,72.85
2010-01-15,72.93
2010-01-19,72.94
2010-01-20,72.24
2010-01-21,71.85
2010-01-22,70.29
2010-01-25,69.51
2010-01-26,68.86
2010-01-27,67.85
2010-01-28,67.83
2010-01-29,68.49
2010-02-01,67.97
2010-02-02,68.43
2010-02-03,68.43
2010-02-04,67.95
2010-02-05,67.0
2010-02-08,66.33
2010-02-09,67.11
2010-02-10,66.93
2010-02-11,66.85
2010-02-12,66.26
2010-02-16,66.43
2010-02-17,67.53
2010-02-18,68.29
2010-02-19,68.9
2010-02-22,68.92
2010-02-23,68.75
2010-02-24,68.7
2010-02-25,68.7
2010-02-26,68.98
2010-03-01,69.8
2010-03-02,70.0
2010-03-03,70.38
2010-03-04,70.79
2010-03-05,71.31
2010-03-08,71.42
2010-03-09,72.25
2010-03-10,72.22
2010-03-11,72.04
2010-03-12,72.45
2010-03-15,72.11
2010-03-16,72.5
2010-03-17,72.8
2010-03-18,72.55
2010-03-19,73.74
2010-03-22,73.03
2010-03-23,73.17
2010-03-24,73.54
2010-03-25,73.82
2010-03-26,74.07
2010-03-29,74.32
2010-03-30,74.85
2010-03-31,74.33
2010-04-01,74.48
2010-04-05,74.95
2010-04-06,74.97
2010-04-07,74.64
2010-04-08,73.91
2010-04-09,74.0
2010-04-12,74.36
2010-04-13,73.71
2010-04-14,74.05
2010-04-15,74.72
2010-04-16,74.78
2010-04-19,73.81
2010-04-20,74.68
2010-04-21,77.09
2010-04-22,76.75
2010-04-23,76.78
2010-04-26,77.08
2010-04-27,76.35
2010-04-28,74.9
2010-04-29,76.35
2010-04-30,76.49
2010-05-03,76.38
2010-05-04,75.61
2010-05-05,74.31
2010-05-06,74.0
2010-05-07,71.46
2010-05-10,73.35
2010-05-11,74.25
2010-05-12,73.43
2010-05-13,74.11
2010-05-14,72.61
2010-05-17,72.0
2010-05-18,71.94
2010-05-19,70.75
2010-05-20,68.56
2010-05-21,67.11
2010-05-24,66.79
2010-05-25,66.31
2010-05-26,67.75
2010-05-27,68.11
2010-05-28,68.41
2010-06-01,67.47
2010-06-02,67.53
2010-06-03,68.25
2010-06-04,66.81
2010-06-07,65.45
2010-06-08,64.27
2010-06-09,64.81
2010-06-10,65.62
2010-06-11,66.29
2010-06-14,67.83
2010-06-15,68.66
2010-06-16,68.7
2010-06-17,68.7
2010-06-18,69.25
2010-06-21,70.62
2010-06-22,69.67
2010-06-23,68.69
2010-06-24,68.51
2010-06-25,67.89
2010-06-28,67.96
2010-06-29,66.77
2010-06-30,65.85
2010-07-01,64.91
2010-07-02,64.93
2010-07-06,65.22
2010-07-07,66.59
2010-07-08,67.24
2010-07-09,67.7
2010-07-12,67.59
2010-07-13,68.32
2010-07-14,68.34
2010-07-15,68.36
2010-07-16,68.02
2010-07-19,66.9
2010-07-20,67.74
2010-07-21,68.73
2010-07-22,69.91
2010-07-23,71.14
2010-07-26,71.79
2010-07-27,71.97
2010-07-28,71.47
2010-07-29,72.0
2010-07-30,71.5
2010-08-02,72.85
2010-08-03,72.78
2010-08-04,72.94
2010-08-05,73.35
2010-08-06,73.2
2010-08-09,73.6
2010-08-10,73.81
2010-08-11,72.33
2010-08-12,70.94
2010-08-13,70.98
2010-08-16,70.78
2010-08-17,71.33
2010-08-18,70.6
2010-08-19,70.14
2010-08-20,68.7
2010-08-23,68.97
2010-08-24,66.57
2010-08-25,65.75
2010-08-26,65.83
2010-08-27,66.68
2010-08-30,66.47
2010-08-31,65.73
2010-09-01,67.58
2010-09-02,67.44
2010-09-03,68.56
2010-09-07,68.41
2010-09-08,68.94
2010-09-09,69.45
2010-09-10,69.15
2010-09-13,69.8
2010-09-14,69.31
2010-09-15,68.7
2010-09-16,68.68
2010-09-17,69.63
2010-09-20,70.62
2010-09-21,71.22
2010-09-22,71.21
2010-09-23,70.57
2010-09-24,71.68
2010-09-27,71.46
2010-09-28,71.8
2010-09-29,71.78
2010-09-30,72.94
2010-10-01,72.03
2010-10-04,72.03
2010-10-05,72.82
2010-10-06,72.95
2010-10-07,73.05
2010-10-08,73.2
2010-10-11,73.11
2010-10-12,73.27
2010-10-13,74.6
2010-10-14,74.2
2010-10-15,74.87
2010-10-18,74.9
2010-10-19,74.18
2010-10-20,74.28
2010-10-21,75.58
2010-10-22,75.25
2010-10-25,75.57
2010-10-26,74.82
2010-10-27,74.54
2010-10-28,75.38
2010-10-29,74.88
2010-11-01,75.77
2010-11-02,75.62
2010-11-03,75.53
2010-11-04,76.9
2010-11-05,76.89
2010-11-08,76.91
2010-11-09,76.78
2010-11-10,76.62
2010-11-11,75.95
2010-11-12,75.22
2010-11-15,75.73
2010-11-16,74.94
2010-11-17,74.07
2010-11-18,75.5
2010-11-19,75.41
2010-11-22,75.49
2010-11-23,74.48
2010-11-24,76.21
2010-11-26,75.68
2010-11-29,75.08
2010-11-30,75.69
2010-12-01,78.49
2010-12-02,79.36
2010-12-03,78.81
2010-12-06,78.8
2010-12-07,79.41
2010-12-08,79.02
2010-12-09,78.21
2010-12-10,78.83
2010-12-13,78.84
2010-12-14,79.01
2010-12-15,79.41
2010-12-16,79.25
2010-12-17,79.08
2010-12-20,79.5
2010-12-21,79.47
2010-12-22,79.7
2010-12-23,79.6
2010-12-27,79.4
2010-12-28,79.57
2010-12-29,79.66
2010-12-30,79.12
2010-12-31,78.82
2011-01-03,79.42
2011-01-04,79.48
2011-01-05,79.56
2011-01-06,79.75
2011-01-07,79.69
2011-01-10,78.69
2011-01-11,79.18
2011-01-12,79.9
2011-01-13,79.76
