time_captured,07_c75_raw_accZ
1970-01-01 00:00:00.000000316,702.964
1970-01-01 00:00:00.000000317,565.836
1970-01-01 00:00:00.000000318,771.65
1970-01-01 00:00:00.000000319,444.568
1970-01-01 00:00:00.000000320,1020.774
1970-01-01 00:00:00.000000321,1142.286
1970-01-01 00:00:00.000000322,1138.26
1970-01-01 00:00:00.000000323,1438.868
1970-01-01 00:00:00.000000324,821.182
1970-01-01 00:00:00.000000325,1118.008
1970-01-01 00:00:00.000000326,288.286
1970-01-01 00:00:00.000000327,1127.768
1970-01-01 00:00:00.000000328,851.682
1970-01-01 00:00:00.000000329,1230.858
1970-01-01 00:00:00.000000330,1273.558
1970-01-01 00:00:00.000000331,1077.138
1970-01-01 00:00:00.000000332,1015.772
1970-01-01 00:00:00.000000333,662.582
1970-01-01 00:00:00.000000334,864.248
1970-01-01 00:00:00.000000335,550.83
1970-01-01 00:00:00.000000336,785.924
1970-01-01 00:00:00.000000337,600.118
1970-01-01 00:00:00.000000338,1078.968
1970-01-01 00:00:00.000000339,621.224
1970-01-01 00:00:00.000000340,1772.782
1970-01-01 00:00:00.000000341,1356.884
1970-01-01 00:00:00.000000342,1517.314
1970-01-01 00:00:00.000000343,663.802
1970-01-01 00:00:00.000000344,831.308
1970-01-01 00:00:00.000000345,526.308
1970-01-01 00:00:00.000000346,856.318
1970-01-01 00:00:00.000000347,1520.486
1970-01-01 00:00:00.000000348,1566.114
1970-01-01 00:00:00.000000349,887.306
1970-01-01 00:00:00.000000350,1393.118
1970-01-01 00:00:00.000000351,1082.872
1970-01-01 00:00:00.000000352,494.344
1970-01-01 00:00:00.000000353,504.226
1970-01-01 00:00:00.000000354,629.398
1970-01-01 00:00:00.000000355,598.898
1970-01-01 00:00:00.000000356,344.894
1970-01-01 00:00:00.000000357,1389.458
1970-01-01 00:00:00.000000358,1686.406
1970-01-01 00:00:00.000000359,1356.152
1970-01-01 00:00:00.000000360,951.966
1970-01-01 00:00:00.000000361,761.768
1970-01-01 00:00:00.000000362,702.842
1970-01-01 00:00:00.000000363,737.124
1970-01-01 00:00:00.000000364,1053.348
1970-01-01 00:00:00.000000365,1209.508
1970-01-01 00:00:00.000000366,1190.72
1970-01-01 00:00:00.000000367,900.116
1970-01-01 00:00:00.000000368,973.682
1970-01-01 00:00:00.000000369,437.98
1970-01-01 00:00:00.000000370,708.21
1970-01-01 00:00:00.000000371,873.032
1970-01-01 00:00:00.000000372,587.308
1970-01-01 00:00:00.000000373,645.868
1970-01-01 00:00:00.000000374,927.566
1970-01-01 00:00:00.000000375,910.242
1970-01-01 00:00:00.000000376,1693.97
1970-01-01 00:00:00.000000377,775.066
1970-01-01 00:00:00.000000378,552.416
1970-01-01 00:00:00.000000379,850.95
1970-01-01 00:00:00.000000380,772.87
1970-01-01 00:00:00.000000381,731.512
1970-01-01 00:00:00.000000382,664.168
1970-01-01 00:00:00.000000383,1192.062
1970-01-01 00:00:00.000000384,1694.336
1970-01-01 00:00:00.000000385,1132.648
1970-01-01 00:00:00.000000386,372.588
1970-01-01 00:00:00.000000387,513.62
1970-01-01 00:00:00.000000388,768.6
1970-01-01 00:00:00.000000389,860.588
1970-01-01 00:00:00.000000390,372.588
1970-01-01 00:00:00.000000391,356.606
1970-01-01 00:00:00.000000392,1024.678
1970-01-01 00:00:00.000000393,1003.816
1970-01-01 00:00:00.000000394,1056.52
1970-01-01 00:00:00.000000395,1189.256
1970-01-01 00:00:00.000000396,658.434
1970-01-01 00:00:00.000000397,733.342
1970-01-01 00:00:00.000000398,1113.738
1970-01-01 00:00:00.000000399,806.42
1970-01-01 00:00:00.000000400,842.776
1970-01-01 00:00:00.000000401,1401.658
1970-01-01 00:00:00.000000402,1271.972
1970-01-01 00:00:00.000000403,1266.482
1970-01-01 00:00:00.000000404,823.5
1970-01-01 00:00:00.000000405,302.438
1970-01-01 00:00:00.000000406,1002.474
1970-01-01 00:00:00.000000407,260.714
1970-01-01 00:00:00.000000408,491.66
1970-01-01 00:00:00.000000409,461.282
1970-01-01 00:00:00.000000410,1235.25
1970-01-01 00:00:00.000000411,1651.636
1970-01-01 00:00:00.000000412,858.758
1970-01-01 00:00:00.000000413,812.764
