time_captured,JPM_Open
2007-11-06,42.69
2007-11-07,42.93
2007-11-08,42.51
2007-11-09,41.4
2007-11-12,42.11
2007-11-13,43.3
2007-11-14,45.9
2007-11-15,44.6
2007-11-16,43.74
2007-11-19,42.7
2007-11-20,41.37
2007-11-21,40.81
2007-11-23,41.5
2007-11-26,41.87
2007-11-27,40.92
2007-11-28,42.73
2007-11-29,43.38
2007-11-30,45.38
2007-12-03,45.9
2007-12-04,44.32
2007-12-05,44.54
2007-12-06,44.88
2007-12-07,46.21
2007-12-10,46.8
2007-12-11,47.11
2007-12-12,47.03
2007-12-13,45.83
2007-12-14,45.24
2007-12-17,44.82
2007-12-18,44.77
2007-12-19,43.9
2007-12-20,44.33
2007-12-21,43.92
2007-12-24,44.14
2007-12-26,44.72
2007-12-27,44.6
2007-12-28,44.19
2007-12-31,43.07
2008-01-02,43.55
2008-01-03,42.34
2008-01-04,41.41
2008-01-07,41.1
2008-01-08,41.46
2008-01-09,39.59
2008-01-10,39.77
2008-01-11,40.88
2008-01-14,41.27
2008-01-15,40.73
2008-01-16,40.46
2008-01-17,41.57
2008-01-18,40.24
2008-01-22,37.66
2008-01-23,40.4
2008-01-24,45.83
2008-01-25,45.67
2008-01-28,43.79
2008-01-29,45.94
2008-01-30,47.1
2008-01-31,46.41
2008-02-01,47.26
2008-02-04,47.83
2008-02-05,45.05
2008-02-06,44.27
2008-02-07,43.39
2008-02-08,44.96
2008-02-11,43.89
2008-02-12,43.66
2008-02-13,43.55
2008-02-14,44.05
2008-02-15,42.41
2008-02-19,43.54
2008-02-20,42.37
2008-02-21,43.14
2008-02-22,43.06
2008-02-25,43.43
2008-02-26,43.73
2008-02-27,43.07
2008-02-28,44.0
2008-02-29,41.88
2008-03-03,40.55
2008-03-04,39.37
2008-03-05,39.36
2008-03-06,38.18
2008-03-07,36.89
2008-03-10,37.73
2008-03-11,38.48
2008-03-12,38.85
2008-03-13,37.84
2008-03-14,38.8
2008-03-17,37.0
2008-03-18,42.19
2008-03-19,43.26
2008-03-20,42.91
2008-03-24,45.42
2008-03-25,46.02
2008-03-26,45.27
2008-03-27,44.22
2008-03-28,43.2
2008-03-31,42.71
2008-04-01,45.13
2008-04-02,47.08
2008-04-03,45.37
2008-04-04,45.85
2008-04-07,46.43
2008-04-08,45.24
2008-04-09,45.18
2008-04-10,44.2
2008-04-11,43.32
2008-04-14,42.4
2008-04-15,42.18
2008-04-16,43.53
2008-04-17,44.34
2008-04-18,46.33
2008-04-21,45.29
2008-04-22,44.96
2008-04-23,45.41
2008-04-24,45.37
2008-04-25,47.29
2008-04-28,47.56
2008-04-29,47.34
2008-04-30,47.25
2008-05-01,47.68
2008-05-02,49.9
2008-05-05,48.32
2008-05-06,47.34
2008-05-07,48.22
2008-05-08,46.98
2008-05-09,45.75
2008-05-12,46.82
2008-05-13,47.04
2008-05-14,46.0
2008-05-15,46.05
2008-05-16,47.32
2008-05-19,46.55
2008-05-20,45.66
2008-05-21,43.8
2008-05-22,42.4
2008-05-23,42.72
2008-05-27,42.4
2008-05-28,43.39
2008-05-29,42.69
2008-05-30,43.96
2008-06-02,42.63
2008-06-03,42.53
2008-06-04,41.74
2008-06-05,41.9
2008-06-06,41.79
2008-06-09,40.32
2008-06-10,37.23
2008-06-11,38.5
2008-06-12,37.71
2008-06-13,38.39
2008-06-16,39.48
2008-06-17,40.36
2008-06-18,38.53
2008-06-19,38.79
2008-06-20,37.69
2008-06-23,37.99
2008-06-24,36.81
2008-06-25,37.94
2008-06-26,37.16
2008-06-27,36.45
2008-06-30,34.86
2008-07-01,33.69
2008-07-02,34.36
2008-07-03,35.12
2008-07-07,35.5
2008-07-08,34.3
2008-07-09,35.74
2008-07-10,34.0
2008-07-11,33.38
2008-07-14,34.19
2008-07-15,30.73
2008-07-16,32.3
2008-07-17,38.05
2008-07-18,41.2
2008-07-21,40.34
2008-07-22,38.16
2008-07-23,40.91
2008-07-24,42.06
2008-07-25,39.17
2008-07-28,39.41
2008-07-29,37.94
2008-07-30,41.41
2008-07-31,40.63
2008-08-01,41.11
2008-08-04,40.14
2008-08-05,41.27
2008-08-06,41.35
2008-08-07,40.68
2008-08-08,39.51
2008-08-11,40.79
2008-08-12,40.99
2008-08-13,37.64
2008-08-14,36.59
2008-08-15,38.05
2008-08-18,37.92
2008-08-19,36.01
2008-08-20,35.52
2008-08-21,36.18
2008-08-22,37.22
2008-08-25,37.4
2008-08-26,36.17
2008-08-27,36.55
2008-08-28,37.66
2008-08-29,38.51
2008-09-02,39.56
2008-09-03,38.91
2008-09-04,39.3
2008-09-05,37.5
2008-09-08,42.39
2008-09-09,40.81
2008-09-10,39.99
2008-09-11,38.25
2008-09-12,40.84
2008-09-15,38.39
2008-09-16,35.58
2008-09-17,39.08
2008-09-18,36.53
2008-09-19,47.0
2008-09-22,45.69
2008-09-23,40.55
2008-09-24,41.5
2008-09-25,42.25
2008-09-26,40.55
2008-09-29,46.58
2008-09-30,44.63
2008-10-01,46.91
2008-10-02,49.25
2008-10-03,50.31
2008-10-06,43.49
2008-10-07,45.43
2008-10-08,38.93
2008-10-09,41.03
2008-10-10,35.03
2008-10-13,43.91
2008-10-14,43.33
2008-10-15,39.33
2008-10-16,39.02
2008-10-17,39.63
2008-10-20,40.01
2008-10-21,39.92
2008-10-22,39.15
2008-10-23,37.36
2008-10-24,35.12
2008-10-27,35.1
2008-10-28,34.95
2008-10-29,37.11
2008-10-30,36.89
2008-10-31,37.29
2008-11-03,41.25
2008-11-04,41.25
2008-11-05,41.73
2008-11-06,38.96
2008-11-07,38.23
2008-11-10,38.28
2008-11-11,35.98
2008-11-12,35.42
2008-11-13,34.65
2008-11-14,36.33
2008-11-17,33.82
2008-11-18,32.76
2008-11-19,31.69
2008-11-20,27.74
2008-11-21,23.74
2008-11-24,23.92
2008-11-25,29.63
2008-11-26,28.76
2008-11-28,30.36
2008-12-01,30.67
2008-12-02,26.54
2008-12-03,27.44
2008-12-04,29.84
2008-12-05,30.41
2008-12-08,33.97
2008-12-09,35.67
2008-12-10,34.4
2008-12-11,32.6
