time_captured,MCD_Volume
2009-04-03,7175617
2009-04-06,6495186
2009-04-07,7133170
2009-04-08,5825725
2009-04-09,7291902
2009-04-13,5506396
2009-04-14,8602562
2009-04-15,12181390
2009-04-16,8563458
2009-04-17,11687831
2009-04-20,7182088
2009-04-21,8929630
2009-04-22,12703432
2009-04-23,9877776
2009-04-24,9942543
2009-04-27,8146974
2009-04-28,7439434
2009-04-29,8888094
2009-04-30,11167350
2009-05-01,11165037
2009-05-04,12988629
2009-05-05,12385462
2009-05-06,12329232
2009-05-07,11229525
2009-05-08,13643770
2009-05-11,9664654
2009-05-12,8466996
2009-05-13,8667829
2009-05-14,8224628
2009-05-15,8267738
2009-05-18,8255094
2009-05-19,6328905
2009-05-20,15249232
2009-05-21,10265613
2009-05-22,10727192
2009-05-26,12257852
2009-05-27,10435492
2009-05-28,8402481
2009-05-29,8060143
2009-06-01,7746062
2009-06-02,9332413
2009-06-03,10425536
2009-06-04,10236899
2009-06-05,10285699
2009-06-08,14757327
2009-06-09,7952305
2009-06-10,9999824
2009-06-11,9325824
2009-06-12,7063106
2009-06-15,7538585
2009-06-16,8714170
2009-06-17,7216626
2009-06-18,6944600
2009-06-19,9605437
2009-06-22,7651587
2009-06-23,7329208
2009-06-24,7297486
2009-06-25,7841635
2009-06-26,8195165
2009-06-29,6641532
2009-06-30,7334495
2009-07-01,5733587
2009-07-02,6971312
2009-07-06,7533507
2009-07-07,8192686
2009-07-08,10771446
2009-07-09,7793536
2009-07-10,6739694
2009-07-13,7057365
2009-07-14,6670324
2009-07-15,11901588
2009-07-16,10080788
2009-07-17,9768600
2009-07-20,8093434
2009-07-21,7748829
2009-07-22,9147302
2009-07-23,34243430
2009-07-24,12340674
2009-07-27,7798008
2009-07-28,8750519
2009-07-29,8002501
2009-07-30,13849980
2009-07-31,13521250
2009-08-03,10613414
2009-08-04,11785524
2009-08-05,9426441
2009-08-06,10248911
2009-08-07,8137383
2009-08-10,11015887
2009-08-11,8713862
2009-08-12,7224731
2009-08-13,9927157
2009-08-14,7705972
2009-08-17,10440608
2009-08-18,10305661
2009-08-19,7963705
2009-08-20,5522188
2009-08-21,7671196
2009-08-24,6639573
2009-08-25,7446354
2009-08-26,8258748
2009-08-27,8464338
2009-08-28,8686368
2009-08-31,7888507
2009-09-01,7790099
2009-09-02,6958938
2009-09-03,5680074
2009-09-04,4882958
2009-09-08,7479772
2009-09-09,17823607
2009-09-10,12452012
2009-09-11,12206996
2009-09-14,10275749
2009-09-15,14274775
2009-09-16,17383995
2009-09-17,9720829
2009-09-18,14365773
2009-09-21,9828538
2009-09-22,8015238
2009-09-23,8590843
2009-09-24,9272370
2009-09-25,11280858
2009-09-28,7784160
2009-09-29,7543427
2009-09-30,9826272
2009-10-01,10006583
2009-10-02,8861971
2009-10-05,8041653
2009-10-06,7167511
2009-10-07,7284752
2009-10-08,8718960
2009-10-09,10227879
2009-10-12,8553945
2009-10-13,6164531
2009-10-14,7582530
2009-10-15,8140960
2009-10-16,9980425
2009-10-19,7567164
2009-10-20,7609617
2009-10-21,9629265
2009-10-22,24640970
2009-10-23,7631244
2009-10-26,9021479
2009-10-27,8336580
2009-10-28,8753183
2009-10-29,6950780
2009-10-30,9878761
2009-11-02,7584401
2009-11-03,6568557
2009-11-04,12295546
2009-11-05,11003218
2009-11-06,10795017
2009-11-09,10519758
2009-11-10,7409091
2009-11-11,6643205
2009-11-12,6417434
2009-11-13,9699498
2009-11-16,12110334
2009-11-17,8589285
2009-11-18,6986543
2009-11-19,5848570
2009-11-20,8850868
2009-11-23,6871740
2009-11-24,8274592
2009-11-25,7602464
2009-11-27,3557849
2009-11-30,6566254
2009-12-01,9616214
2009-12-02,10522887
2009-12-03,10761549
2009-12-04,9498738
2009-12-07,9036797
2009-12-08,14697883
2009-12-09,10912073
2009-12-10,8035870
2009-12-11,5864347
2009-12-14,5632856
2009-12-15,4953497
2009-12-16,5647089
2009-12-17,5418462
2009-12-18,9854080
2009-12-21,4625617
2009-12-22,3418533
2009-12-23,5889689
2009-12-24,2577261
2009-12-28,2389320
2009-12-29,2628806
2009-12-30,6776034
2009-12-31,4495207
2010-01-04,5839235
2010-01-05,7098999
2010-01-06,10551872
2010-01-07,7517657
2010-01-08,6107296
2010-01-11,6081665
2010-01-12,7199321
2010-01-13,8623216
2010-01-14,7095599
2010-01-15,9429546
2010-01-19,8551573
2010-01-20,6997129
2010-01-21,11725226
2010-01-22,15647193
2010-01-25,6382645
2010-01-26,9297477
2010-01-27,8080776
2010-01-28,8560954
2010-01-29,7591260
2010-02-01,8070208
2010-02-02,7272515
2010-02-03,13695267
2010-02-04,10873570
