time_captured,CVX_Open
2008-10-14,72.68
2008-10-15,66.48
2008-10-16,60.66
2008-10-17,61.55
2008-10-20,64.1
2008-10-21,67.64
2008-10-22,63.89
2008-10-23,62.88
2008-10-24,61.01
2008-10-27,62.58
2008-10-28,63.72
2008-10-29,70.22
2008-10-30,72.11
2008-10-31,73.86
2008-11-03,73.44
2008-11-04,75.42
2008-11-05,76.73
2008-11-06,73.88
2008-11-07,70.81
2008-11-10,75.22
2008-11-11,72.78
2008-11-12,71.98
2008-11-13,67.66
2008-11-14,73.94
2008-11-17,72.1
2008-11-18,70.98
2008-11-19,73.14
2008-11-20,69.13
2008-11-21,65.46
2008-11-24,71.66
2008-11-25,75.19
2008-11-26,75.86
2008-11-28,78.25
2008-12-01,76.5
2008-12-02,73.74
2008-12-03,73.7
2008-12-04,73.44
2008-12-05,70.85
2008-12-08,76.03
2008-12-09,77.28
2008-12-10,76.8
2008-12-11,79.01
2008-12-12,77.12
2008-12-15,80.19
2008-12-16,78.95
2008-12-17,78.45
2008-12-18,76.5
2008-12-19,73.57
2008-12-22,71.6
2008-12-23,70.1
2008-12-24,68.79
2008-12-26,69.92
2008-12-29,71.25
2008-12-30,71.5
2008-12-31,72.9
2009-01-02,74.23
2009-01-05,76.16
2009-01-06,77.56
2009-01-07,76.41
2009-01-08,73.61
2009-01-09,73.88
2009-01-12,72.23
2009-01-13,70.58
2009-01-14,70.81
2009-01-15,69.7
2009-01-16,72.08
2009-01-20,70.93
2009-01-21,68.43
2009-01-22,69.92
2009-01-23,68.4
2009-01-26,71.43
2009-01-27,71.28
2009-01-28,72.99
2009-01-29,72.51
2009-01-30,72.3
2009-02-02,69.52
2009-02-03,70.57
2009-02-04,72.29
2009-02-05,71.48
2009-02-06,72.58
2009-02-09,74.41
2009-02-10,74.36
2009-02-11,71.47
2009-02-12,69.95
2009-02-13,69.71
2009-02-17,67.23
2009-02-18,66.49
2009-02-19,65.99
2009-02-20,65.48
2009-02-23,65.99
2009-02-24,63.27
2009-02-25,65.3
2009-02-26,64.36
2009-02-27,61.91
2009-03-02,59.37
2009-03-03,58.48
2009-03-04,59.06
2009-03-05,58.06
2009-03-06,57.53
2009-03-09,57.63
2009-03-10,59.89
2009-03-11,61.1
2009-03-12,61.71
2009-03-13,63.88
2009-03-16,61.66
2009-03-17,63.11
2009-03-18,64.7
2009-03-19,68.25
2009-03-20,67.54
2009-03-23,65.91
2009-03-24,68.24
2009-03-25,69.35
2009-03-26,70.59
2009-03-27,69.08
2009-03-30,67.54
2009-03-31,67.44
2009-04-01,66.0
2009-04-02,70.0
2009-04-03,69.9
2009-04-06,69.74
2009-04-07,69.06
2009-04-08,67.73
2009-04-09,69.56
2009-04-13,67.45
2009-04-14,66.88
2009-04-15,66.43
2009-04-16,67.15
2009-04-17,66.42
2009-04-20,65.3
2009-04-21,63.55
2009-04-22,64.33
2009-04-23,64.44
2009-04-24,66.24
2009-04-27,65.32
2009-04-28,64.8
2009-04-29,66.6
2009-04-30,68.0
2009-05-01,66.06
2009-05-04,67.34
2009-05-05,66.76
2009-05-06,66.49
2009-05-07,68.62
2009-05-08,68.59
2009-05-11,69.29
2009-05-12,68.82
2009-05-13,68.19
2009-05-14,67.66
2009-05-15,66.92
2009-05-18,66.64
2009-05-19,65.98
2009-05-20,66.4
2009-05-21,64.53
2009-05-22,64.75
2009-05-26,63.81
2009-05-27,65.69
2009-05-28,65.05
2009-05-29,66.55
2009-06-01,67.8
2009-06-02,69.1
2009-06-03,68.73
2009-06-04,68.97
2009-06-05,69.94
2009-06-08,69.0
2009-06-09,70.06
2009-06-10,71.0
2009-06-11,70.36
2009-06-12,71.19
2009-06-15,71.96
2009-06-16,71.7
2009-06-17,69.44
2009-06-18,68.55
2009-06-19,68.82
2009-06-22,67.08
2009-06-23,66.15
2009-06-24,66.34
2009-06-25,65.5
2009-06-26,66.61
2009-06-29,66.41
2009-06-30,66.94
2009-07-01,66.93
2009-07-02,65.61
2009-07-06,63.69
2009-07-07,63.93
2009-07-08,62.67
2009-07-09,63.62
2009-07-10,61.76
2009-07-13,61.46
2009-07-14,63.0
2009-07-15,64.15
2009-07-16,64.26
2009-07-17,64.72
2009-07-20,65.69
2009-07-21,66.34
2009-07-22,65.54
2009-07-23,65.97
2009-07-24,67.66
2009-07-27,68.62
