time_captured,HD_Close
2015-02-04,108.41
2015-02-05,108.99
2015-02-06,109.04
2015-02-09,108.34
2015-02-10,110.67
2015-02-11,110.31
2015-02-12,112.16
2015-02-13,111.89
2015-02-17,112.0
2015-02-18,111.99
2015-02-19,110.94
2015-02-20,112.24
2015-02-23,112.28
2015-02-24,116.75
2015-02-25,116.31
2015-02-26,115.38
2015-02-27,114.75
2015-03-02,116.12
2015-03-03,116.07
2015-03-04,114.76
2015-03-05,115.91
2015-03-06,114.45
2015-03-09,115.25
2015-03-10,112.56
2015-03-11,113.07
2015-03-12,116.1
2015-03-13,114.82
2015-03-16,116.5
2015-03-17,115.58
2015-03-18,116.08
2015-03-19,115.16
2015-03-20,117.49
2015-03-23,116.07
2015-03-24,116.15
2015-03-25,113.68
2015-03-26,112.37
2015-03-27,113.86
2015-03-30,114.63
2015-03-31,113.61
2015-04-01,113.13
2015-04-02,114.54
2015-04-06,114.95
2015-04-07,114.3
2015-04-08,115.59
2015-04-09,114.57
2015-04-10,115.24
2015-04-13,114.44
2015-04-14,114.05
2015-04-15,113.45
2015-04-16,113.37
2015-04-17,112.1
2015-04-20,112.86
2015-04-21,113.17
2015-04-22,112.99
2015-04-23,113.96
2015-04-24,113.7
2015-04-27,111.39
2015-04-28,110.58
2015-04-29,108.71
2015-04-30,106.98
2015-05-01,109.55
2015-05-04,110.06
2015-05-05,108.06
2015-05-06,108.31
2015-05-07,110.04
2015-05-08,112.47
2015-05-11,111.9
2015-05-12,112.52
2015-05-13,111.19
2015-05-14,111.94
2015-05-15,113.35
2015-05-18,114.33
2015-05-19,112.34
2015-05-20,112.1
2015-05-21,112.01
2015-05-22,112.16
2015-05-26,110.93
2015-05-27,112.16
2015-05-28,112.19
2015-05-29,111.42
2015-06-01,111.67
2015-06-02,111.59
2015-06-03,113.16
