time_captured,08_vnt_raw_accZ
1970-01-01 00:00:00.000000414,1196.942
1970-01-01 00:00:00.000000415,1789.252
1970-01-01 00:00:00.000000416,1194.136
1970-01-01 00:00:00.000000417,1027.24
1970-01-01 00:00:00.000000418,853.024
1970-01-01 00:00:00.000000419,306.83
1970-01-01 00:00:00.000000420,151.036
1970-01-01 00:00:00.000000421,590.602
1970-01-01 00:00:00.000000422,330.254
1970-01-01 00:00:00.000000423,1880.508
1970-01-01 00:00:00.000000424,1737.28
1970-01-01 00:00:00.000000425,1201.578
1970-01-01 00:00:00.000000426,937.936
1970-01-01 00:00:00.000000427,919.88
1970-01-01 00:00:00.000000428,243.878
1970-01-01 00:00:00.000000429,211.182
1970-01-01 00:00:00.000000430,1329.312
1970-01-01 00:00:00.000000431,1372.744
1970-01-01 00:00:00.000000432,1325.774
1970-01-01 00:00:00.000000433,995.886
1970-01-01 00:00:00.000000434,914.756
1970-01-01 00:00:00.000000435,1249.28
1970-01-01 00:00:00.000000436,593.042
1970-01-01 00:00:00.000000437,181.17
1970-01-01 00:00:00.000000438,-37.576
1970-01-01 00:00:00.000000439,641.72
1970-01-01 00:00:00.000000440,743.102
1970-01-01 00:00:00.000000441,2007.632
1970-01-01 00:00:00.000000442,1336.632
1970-01-01 00:00:00.000000443,1292.346
1970-01-01 00:00:00.000000444,921.466
1970-01-01 00:00:00.000000445,816.424
1970-01-01 00:00:00.000000446,-26.474
1970-01-01 00:00:00.000000447,346.968
1970-01-01 00:00:00.000000448,1341.878
1970-01-01 00:00:00.000000449,928.908
1970-01-01 00:00:00.000000450,1394.46
1970-01-01 00:00:00.000000451,1388.726
1970-01-01 00:00:00.000000452,1268.556
1970-01-01 00:00:00.000000453,1133.258
1970-01-01 00:00:00.000000454,35.624
1970-01-01 00:00:00.000000455,131.028
1970-01-01 00:00:00.000000456,210.816
1970-01-01 00:00:00.000000457,690.52
1970-01-01 00:00:00.000000458,1375.062
1970-01-01 00:00:00.000000459,1358.226
1970-01-01 00:00:00.000000460,1185.108
1970-01-01 00:00:00.000000461,945.866
1970-01-01 00:00:00.000000462,898.774
1970-01-01 00:00:00.000000463,470.92
1970-01-01 00:00:00.000000464,55.754
1970-01-01 00:00:00.000000465,968.07
1970-01-01 00:00:00.000000466,1241.35
1970-01-01 00:00:00.000000467,1547.814
1970-01-01 00:00:00.000000468,1449.482
1970-01-01 00:00:00.000000469,1037.976
1970-01-01 00:00:00.000000470,1385.798
1970-01-01 00:00:00.000000471,935.008
1970-01-01 00:00:00.000000472,433.832
1970-01-01 00:00:00.000000473,76.006
1970-01-01 00:00:00.000000474,508.496
1970-01-01 00:00:00.000000475,814.35
1970-01-01 00:00:00.000000476,1942.484
1970-01-01 00:00:00.000000477,1776.32
1970-01-01 00:00:00.000000478,1199.26
1970-01-01 00:00:00.000000479,1218.902
1970-01-01 00:00:00.000000480,848.754
1970-01-01 00:00:00.000000481,124.684
1970-01-01 00:00:00.000000482,318.298
1970-01-01 00:00:00.000000483,925.614
1970-01-01 00:00:00.000000484,1039.562
1970-01-01 00:00:00.000000485,1011.99
1970-01-01 00:00:00.000000486,1485.228
1970-01-01 00:00:00.000000487,1163.514
1970-01-01 00:00:00.000000488,1180.716
1970-01-01 00:00:00.000000489,92.72
1970-01-01 00:00:00.000000490,-26.596
1970-01-01 00:00:00.000000491,-117.974
1970-01-01 00:00:00.000000492,707.234
1970-01-01 00:00:00.000000493,1323.7
1970-01-01 00:00:00.000000494,1336.754
1970-01-01 00:00:00.000000495,1517.802
1970-01-01 00:00:00.000000496,1453.02
1970-01-01 00:00:00.000000497,754.57
1970-01-01 00:00:00.000000498,481.9
