time_captured,05_unb_raw_accY
1970-01-01 00:00:00.000000302,396.744
1970-01-01 00:00:00.000000303,-216.55
1970-01-01 00:00:00.000000304,116.266
1970-01-01 00:00:00.000000305,55.388
1970-01-01 00:00:00.000000306,46.726
1970-01-01 00:00:00.000000307,-640.012
1970-01-01 00:00:00.000000308,-309.026
1970-01-01 00:00:00.000000309,-69.784
1970-01-01 00:00:00.000000310,-245.952
1970-01-01 00:00:00.000000311,-53.558
1970-01-01 00:00:00.000000312,404.308
1970-01-01 00:00:00.000000313,481.046
1970-01-01 00:00:00.000000314,373.442
1970-01-01 00:00:00.000000315,287.554
1970-01-01 00:00:00.000000316,-95.404
1970-01-01 00:00:00.000000317,-229.848
1970-01-01 00:00:00.000000318,-306.464
1970-01-01 00:00:00.000000319,-477.142
1970-01-01 00:00:00.000000320,-198.006
1970-01-01 00:00:00.000000321,223.626
1970-01-01 00:00:00.000000322,307.806
1970-01-01 00:00:00.000000323,-77.836
1970-01-01 00:00:00.000000324,-40.016
1970-01-01 00:00:00.000000325,58.316
1970-01-01 00:00:00.000000326,107.604
1970-01-01 00:00:00.000000327,53.314
1970-01-01 00:00:00.000000328,110.288
1970-01-01 00:00:00.000000329,128.344
1970-01-01 00:00:00.000000330,258.762
1970-01-01 00:00:00.000000331,-65.758
1970-01-01 00:00:00.000000332,8.296
1970-01-01 00:00:00.000000333,136.152
1970-01-01 00:00:00.000000334,-161.772
1970-01-01 00:00:00.000000335,-63.562
1970-01-01 00:00:00.000000336,84.79
1970-01-01 00:00:00.000000337,123.708
1970-01-01 00:00:00.000000338,427.366
1970-01-01 00:00:00.000000339,485.56
1970-01-01 00:00:00.000000340,431.514
1970-01-01 00:00:00.000000341,-286.212
1970-01-01 00:00:00.000000342,-477.874
1970-01-01 00:00:00.000000343,-755.424
1970-01-01 00:00:00.000000344,-476.898
1970-01-01 00:00:00.000000345,-431.392
1970-01-01 00:00:00.000000346,-451.766
1970-01-01 00:00:00.000000347,179.096
1970-01-01 00:00:00.000000348,71.004
1970-01-01 00:00:00.000000349,231.312
1970-01-01 00:00:00.000000350,190.442
1970-01-01 00:00:00.000000351,115.168
1970-01-01 00:00:00.000000352,199.836
1970-01-01 00:00:00.000000353,-57.828
1970-01-01 00:00:00.000000354,-243.024
1970-01-01 00:00:00.000000355,-431.636
1970-01-01 00:00:00.000000356,57.95
1970-01-01 00:00:00.000000357,251.198
1970-01-01 00:00:00.000000358,1.098
1970-01-01 00:00:00.000000359,307.196
1970-01-01 00:00:00.000000360,110.654
1970-01-01 00:00:00.000000361,-159.088
1970-01-01 00:00:00.000000362,-291.58
1970-01-01 00:00:00.000000363,29.89
1970-01-01 00:00:00.000000364,-68.808
1970-01-01 00:00:00.000000365,-213.378
1970-01-01 00:00:00.000000366,101.87
1970-01-01 00:00:00.000000367,50.508
1970-01-01 00:00:00.000000368,147.254
1970-01-01 00:00:00.000000369,-54.412
1970-01-01 00:00:00.000000370,0.0
1970-01-01 00:00:00.000000371,-219.478
1970-01-01 00:00:00.000000372,62.586
1970-01-01 00:00:00.000000373,95.282
1970-01-01 00:00:00.000000374,-116.876
1970-01-01 00:00:00.000000375,388.448
1970-01-01 00:00:00.000000376,-41.114
1970-01-01 00:00:00.000000377,-130.906
1970-01-01 00:00:00.000000378,-130.906
1970-01-01 00:00:00.000000379,-409.31
1970-01-01 00:00:00.000000380,-234.972
1970-01-01 00:00:00.000000381,-372.71
1970-01-01 00:00:00.000000382,167.14
1970-01-01 00:00:00.000000383,20.374
1970-01-01 00:00:00.000000384,-257.176
1970-01-01 00:00:00.000000385,-281.454
1970-01-01 00:00:00.000000386,244.732
1970-01-01 00:00:00.000000387,176.29
1970-01-01 00:00:00.000000388,82.106
1970-01-01 00:00:00.000000389,-183.366
1970-01-01 00:00:00.000000390,-139.08
1970-01-01 00:00:00.000000391,285.358
1970-01-01 00:00:00.000000392,334.646
1970-01-01 00:00:00.000000393,-292.19
1970-01-01 00:00:00.000000394,15.86
1970-01-01 00:00:00.000000395,-347.456
1970-01-01 00:00:00.000000396,-263.032
1970-01-01 00:00:00.000000397,-162.016
1970-01-01 00:00:00.000000398,-311.954
1970-01-01 00:00:00.000000399,-281.82
1970-01-01 00:00:00.000000400,5.978
1970-01-01 00:00:00.000000401,382.714
1970-01-01 00:00:00.000000402,439.078
1970-01-01 00:00:00.000000403,47.458
1970-01-01 00:00:00.000000404,366.0
1970-01-01 00:00:00.000000405,-148.84
1970-01-01 00:00:00.000000406,-387.106
1970-01-01 00:00:00.000000407,-344.04
1970-01-01 00:00:00.000000408,-362.828
1970-01-01 00:00:00.000000409,-182.634
1970-01-01 00:00:00.000000410,53.07
1970-01-01 00:00:00.000000411,-283.04
1970-01-01 00:00:00.000000412,-134.566
1970-01-01 00:00:00.000000413,83.57
1970-01-01 00:00:00.000000414,-221.552
1970-01-01 00:00:00.000000415,-811.666
1970-01-01 00:00:00.000000416,-609.512
1970-01-01 00:00:00.000000417,47.946
1970-01-01 00:00:00.000000418,144.814
1970-01-01 00:00:00.000000419,-379.42
1970-01-01 00:00:00.000000420,-246.074
1970-01-01 00:00:00.000000421,-232.044
1970-01-01 00:00:00.000000422,67.222
1970-01-01 00:00:00.000000423,301.95
1970-01-01 00:00:00.000000424,74.176
1970-01-01 00:00:00.000000425,108.214
1970-01-01 00:00:00.000000426,310.612
1970-01-01 00:00:00.000000427,-35.99
1970-01-01 00:00:00.000000428,358.802
1970-01-01 00:00:00.000000429,13.542
1970-01-01 00:00:00.000000430,103.456
1970-01-01 00:00:00.000000431,-338.916
1970-01-01 00:00:00.000000432,-394.792
1970-01-01 00:00:00.000000433,-157.136
1970-01-01 00:00:00.000000434,-240.462
1970-01-01 00:00:00.000000435,202.154
1970-01-01 00:00:00.000000436,-246.318
1970-01-01 00:00:00.000000437,441.762
1970-01-01 00:00:00.000000438,220.21
1970-01-01 00:00:00.000000439,86.62
1970-01-01 00:00:00.000000440,235.826
1970-01-01 00:00:00.000000441,-24.278
1970-01-01 00:00:00.000000442,31.232
1970-01-01 00:00:00.000000443,-68.198
1970-01-01 00:00:00.000000444,-80.398
1970-01-01 00:00:00.000000445,-644.526
1970-01-01 00:00:00.000000446,126.88
1970-01-01 00:00:00.000000447,-150.548
1970-01-01 00:00:00.000000448,-238.632
1970-01-01 00:00:00.000000449,-306.83
1970-01-01 00:00:00.000000450,-172.264
1970-01-01 00:00:00.000000451,-9.76
1970-01-01 00:00:00.000000452,-67.832
1970-01-01 00:00:00.000000453,69.296
1970-01-01 00:00:00.000000454,367.83
1970-01-01 00:00:00.000000455,79.422
1970-01-01 00:00:00.000000456,-240.34
1970-01-01 00:00:00.000000457,13.42
1970-01-01 00:00:00.000000458,-254.614
1970-01-01 00:00:00.000000459,4.27
1970-01-01 00:00:00.000000460,-186.294
1970-01-01 00:00:00.000000461,114.802
1970-01-01 00:00:00.000000462,62.098
1970-01-01 00:00:00.000000463,521.306
1970-01-01 00:00:00.000000464,510.57
1970-01-01 00:00:00.000000465,15.25
1970-01-01 00:00:00.000000466,-52.094
1970-01-01 00:00:00.000000467,-32.818
1970-01-01 00:00:00.000000468,-32.818
1970-01-01 00:00:00.000000469,-87.108
1970-01-01 00:00:00.000000470,208.62
1970-01-01 00:00:00.000000471,-363.072
1970-01-01 00:00:00.000000472,-298.656
1970-01-01 00:00:00.000000473,48.312
1970-01-01 00:00:00.000000474,252.54
1970-01-01 00:00:00.000000475,-86.498
1970-01-01 00:00:00.000000476,310.612
1970-01-01 00:00:00.000000477,135.054
1970-01-01 00:00:00.000000478,547.048
1970-01-01 00:00:00.000000479,265.594
1970-01-01 00:00:00.000000480,-274.134
1970-01-01 00:00:00.000000481,53.436
1970-01-01 00:00:00.000000482,252.052
1970-01-01 00:00:00.000000483,-310.246
1970-01-01 00:00:00.000000484,-328.912
1970-01-01 00:00:00.000000485,-218.746
1970-01-01 00:00:00.000000486,-171.776
1970-01-01 00:00:00.000000487,-349.53
1970-01-01 00:00:00.000000488,-431.636
1970-01-01 00:00:00.000000489,83.692
1970-01-01 00:00:00.000000490,456.402
1970-01-01 00:00:00.000000491,124.562
1970-01-01 00:00:00.000000492,151.036
1970-01-01 00:00:00.000000493,251.808
1970-01-01 00:00:00.000000494,242.902
