time_captured,BA_Open
2015-01-14,129.03
2015-01-15,130.25
2015-01-16,129.75
2015-01-20,131.45
2015-01-21,130.87
2015-01-22,133.38
2015-01-23,135.57
2015-01-26,135.0
2015-01-27,132.4
2015-01-28,136.3
2015-01-29,139.69
2015-01-30,146.22
2015-02-02,143.72
2015-02-03,146.37
2015-02-04,145.97
2015-02-05,147.26
2015-02-06,148.62
2015-02-09,146.16
2015-02-10,148.2
2015-02-11,147.51
2015-02-12,148.26
2015-02-13,147.98
2015-02-17,148.72
2015-02-18,149.7
2015-02-19,151.05
2015-02-20,153.8
2015-02-23,155.0
2015-02-24,153.5
2015-02-25,154.3
2015-02-26,152.31
2015-02-27,151.0
2015-03-02,150.75
2015-03-03,154.71
2015-03-04,154.62
2015-03-05,154.86
2015-03-06,153.92
2015-03-09,153.3
2015-03-10,153.3
2015-03-11,152.51
2015-03-12,151.28
2015-03-13,151.89
2015-03-16,152.39
2015-03-17,152.88
2015-03-18,154.04
2015-03-19,154.91
2015-03-20,155.04
2015-03-23,154.98
2015-03-24,151.96
2015-03-25,151.4
2015-03-26,147.83
2015-03-27,148.59
2015-03-30,150.08
2015-03-31,152.23
2015-04-01,149.97
2015-04-02,149.14
2015-04-06,148.15
2015-04-07,151.27
2015-04-08,152.19
2015-04-09,152.62
2015-04-10,153.55
2015-04-13,153.79
2015-04-14,152.93
2015-04-15,154.37
2015-04-16,151.66
2015-04-17,150.88
2015-04-20,151.06
2015-04-21,153.51
2015-04-22,152.36
2015-04-23,150.83
2015-04-24,149.54
2015-04-27,148.59
2015-04-28,147.9
2015-04-29,147.07
2015-04-30,145.25
2015-05-01,144.41
2015-05-04,143.85
2015-05-05,143.76
2015-05-06,143.01
2015-05-07,140.56
2015-05-08,143.0
2015-05-11,145.55
2015-05-12,144.94
2015-05-13,145.41
2015-05-14,146.88
2015-05-15,148.05
2015-05-18,146.88
2015-05-19,147.18
2015-05-20,147.14
2015-05-21,146.56
2015-05-22,147.26
2015-05-26,144.34
2015-05-27,143.42
2015-05-28,142.51
2015-05-29,142.26
2015-06-01,141.45
2015-06-02,141.44
2015-06-03,143.78
2015-06-04,143.22
2015-06-05,141.04
2015-06-08,140.24
2015-06-09,140.5
2015-06-10,140.68
2015-06-11,142.01
2015-06-12,142.62
2015-06-15,142.04
2015-06-16,141.42
2015-06-17,142.87
2015-06-18,143.91
2015-06-19,145.19
2015-06-22,146.07
2015-06-23,146.33
2015-06-24,143.76
2015-06-25,143.27
2015-06-26,143.03
2015-06-29,140.96
2015-06-30,140.06
2015-07-01,140.48
2015-07-02,141.29
2015-07-06,139.02
2015-07-07,140.8
2015-07-08,142.5
2015-07-09,143.89
2015-07-10,144.14
2015-07-13,145.96
2015-07-14,146.76
2015-07-15,147.75
2015-07-16,147.79
2015-07-17,147.25
2015-07-20,147.11
2015-07-21,146.59
2015-07-22,148.9
2015-07-23,147.0
2015-07-24,145.81
2015-07-27,143.22
2015-07-28,141.61
2015-07-29,142.48
2015-07-30,143.35
2015-07-31,143.76
2015-08-03,144.44
2015-08-04,143.55
2015-08-05,143.9
2015-08-06,144.7
2015-08-07,143.22
2015-08-10,143.79
2015-08-11,144.14
2015-08-12,142.55
2015-08-13,142.03
2015-08-14,144.61
2015-08-17,144.6
2015-08-18,144.39
2015-08-19,143.42
2015-08-20,141.62
2015-08-21,134.88
2015-08-24,123.64
2015-08-25,130.0
2015-08-26,129.34
2015-08-27,131.08
2015-08-28,131.43
2015-08-31,132.37
2015-09-01,128.16
2015-09-02,128.71
2015-09-03,132.31
2015-09-04,129.55
2015-09-08,132.27
2015-09-09,135.59
2015-09-10,132.34
2015-09-11,133.16
2015-09-14,134.72
2015-09-15,134.52
2015-09-16,136.26
2015-09-17,137.36
2015-09-18,135.75
2015-09-21,136.42
2015-09-22,134.49
2015-09-23,134.66
2015-09-24,130.72
2015-09-25,131.57
2015-09-28,130.44
2015-09-29,128.11
2015-09-30,130.27
2015-10-01,131.32
2015-10-02,129.0
2015-10-05,132.28
2015-10-06,134.1
2015-10-07,135.69
2015-10-08,136.66
2015-10-09,139.07
2015-10-12,139.93
2015-10-13,139.44
2015-10-14,139.75
2015-10-15,135.16
2015-10-16,137.43
2015-10-19,137.6
2015-10-20,137.94
2015-10-21,141.7
2015-10-22,142.0
2015-10-23,147.37
2015-10-26,146.21
2015-10-27,146.22
2015-10-28,147.99
2015-10-29,147.54
2015-10-30,147.4
2015-11-02,148.38
2015-11-03,148.03
2015-11-04,147.26
2015-11-05,148.19
2015-11-06,146.58
2015-11-09,146.9
2015-11-10,145.28
2015-11-11,145.2
2015-11-12,143.0
2015-11-13,142.33
2015-11-16,142.58
2015-11-17,145.29
2015-11-18,146.24
2015-11-19,148.79
2015-11-20,149.84
2015-11-23,149.39
2015-11-24,147.49
2015-11-25,149.04
2015-11-27,147.5
2015-11-30,146.97
2015-12-01,146.54
2015-12-02,147.55
2015-12-03,147.05
2015-12-04,146.35
2015-12-07,148.3
2015-12-08,146.82
2015-12-09,144.6
2015-12-10,144.62
2015-12-11,145.0
2015-12-14,144.5
2015-12-15,145.66
2015-12-16,147.98
2015-12-17,148.85
2015-12-18,144.41
2015-12-21,140.21
2015-12-22,141.72
2015-12-23,143.08
2015-12-24,143.6
2015-12-28,143.26
2015-12-29,145.06
2015-12-30,147.22
2015-12-31,145.96
2016-01-04,141.38
2016-01-05,140.99
2016-01-06,138.83
2016-01-07,136.38
2016-01-08,133.7
2016-01-11,130.85
2016-01-12,131.58
2016-01-13,132.7
2016-01-14,129.59
2016-01-15,125.8
2016-01-19,127.06
2016-01-20,124.0
2016-01-21,122.77
2016-01-22,124.42
2016-01-25,124.6
2016-01-26,124.98
2016-01-27,119.9
2016-01-28,117.1
2016-01-29,118.14
2016-02-01,119.64
2016-02-02,119.69
2016-02-03,118.8
2016-02-04,121.12
2016-02-05,123.63
2016-02-08,120.67
2016-02-09,117.98
2016-02-10,118.16
2016-02-11,113.18
2016-02-12,105.12
2016-02-16,109.73
2016-02-17,114.03
2016-02-18,116.91
2016-02-19,117.31
2016-02-22,116.55
2016-02-23,116.97
2016-02-24,115.37
2016-02-25,116.35
2016-02-26,117.75
2016-02-29,118.12
2016-03-01,119.01
2016-03-02,119.63
2016-03-03,118.84
2016-03-04,120.17
2016-03-07,120.8
2016-03-08,121.98
2016-03-09,122.38
2016-03-10,123.14
2016-03-11,124.13
2016-03-14,123.93
2016-03-15,125.55
2016-03-16,126.24
2016-03-17,128.07
2016-03-18,131.24
2016-03-21,133.46
2016-03-22,135.14
2016-03-23,134.99
2016-03-24,131.61
2016-03-28,132.53
2016-03-29,129.83
2016-03-30,131.48
2016-03-31,128.09
2016-04-01,126.23
2016-04-04,126.54
2016-04-05,126.15
2016-04-06,127.16
2016-04-07,127.0
2016-04-08,128.04
2016-04-11,128.25
2016-04-12,127.62
2016-04-13,130.49
2016-04-14,131.5
2016-04-15,130.95
2016-04-18,130.64
2016-04-19,132.57
2016-04-20,128.55
2016-04-21,130.98
2016-04-22,131.09
2016-04-25,130.45
2016-04-26,131.25
2016-04-27,133.2
2016-04-28,136.29
2016-04-29,134.42
2016-05-02,134.38
2016-05-03,132.7
2016-05-04,131.59
2016-05-05,131.73
2016-05-06,132.11
2016-05-09,132.8
2016-05-10,133.18
2016-05-11,133.81
2016-05-12,133.49
2016-05-13,133.74
2016-05-16,131.63
2016-05-17,133.62
2016-05-18,132.45
2016-05-19,130.24
2016-05-20,129.13
2016-05-23,127.4
2016-05-24,127.76
2016-05-25,128.0
2016-05-26,128.48
2016-05-27,128.96
2016-05-31,129.88
2016-06-01,126.0
2016-06-02,126.65
2016-06-03,126.42
2016-06-06,127.6
2016-06-07,132.41
2016-06-08,132.52
2016-06-09,132.1
2016-06-10,131.76
2016-06-13,130.79
2016-06-14,129.63
2016-06-15,130.88
2016-06-16,129.32
2016-06-17,129.83
2016-06-20,131.36
2016-06-21,133.19
2016-06-22,132.1
2016-06-23,133.91
2016-06-24,128.14
2016-06-27,125.68
2016-06-28,124.5
2016-06-29,125.49
2016-06-30,127.08
2016-07-01,129.54
2016-07-05,128.43
2016-07-06,127.25
2016-07-07,126.92
2016-07-08,128.6
2016-07-11,130.84
2016-07-12,132.8
2016-07-13,131.28
2016-07-14,131.63
2016-07-15,131.8
2016-07-18,132.38
2016-07-19,132.91
2016-07-20,134.55
2016-07-21,134.76
