time_captured,08_vnt_raw_accX
1970-01-01 00:00:00.000000301,-685.03
1970-01-01 00:00:00.000000302,-387.838
1970-01-01 00:00:00.000000303,-299.998
1970-01-01 00:00:00.000000304,-105.652
1970-01-01 00:00:00.000000305,94.428
1970-01-01 00:00:00.000000306,1059.936
1970-01-01 00:00:00.000000307,1625.65
1970-01-01 00:00:00.000000308,1121.79
1970-01-01 00:00:00.000000309,-113.216
1970-01-01 00:00:00.000000310,-711.138
1970-01-01 00:00:00.000000311,-683.81
1970-01-01 00:00:00.000000312,-930.372
1970-01-01 00:00:00.000000313,-677.588
1970-01-01 00:00:00.000000314,-20.13
1970-01-01 00:00:00.000000315,876.814
1970-01-01 00:00:00.000000316,1106.662
1970-01-01 00:00:00.000000317,170.068
1970-01-01 00:00:00.000000318,-384.544
1970-01-01 00:00:00.000000319,-561.444
1970-01-01 00:00:00.000000320,-438.956
1970-01-01 00:00:00.000000321,-221.796
1970-01-01 00:00:00.000000322,-86.864
1970-01-01 00:00:00.000000323,-86.864
1970-01-01 00:00:00.000000324,1062.376
1970-01-01 00:00:00.000000325,1372.378
1970-01-01 00:00:00.000000326,927.932
1970-01-01 00:00:00.000000327,-308.538
1970-01-01 00:00:00.000000328,-770.674
1970-01-01 00:00:00.000000329,-793.61
1970-01-01 00:00:00.000000330,-943.06
1970-01-01 00:00:00.000000331,-677.1
1970-01-01 00:00:00.000000332,-677.1
1970-01-01 00:00:00.000000333,1047.248
1970-01-01 00:00:00.000000334,1006.5
1970-01-01 00:00:00.000000335,-200.08
1970-01-01 00:00:00.000000336,-585.356
1970-01-01 00:00:00.000000337,-611.464
1970-01-01 00:00:00.000000338,-250.222
1970-01-01 00:00:00.000000339,-13.42
1970-01-01 00:00:00.000000340,-73.2
1970-01-01 00:00:00.000000341,-73.2
1970-01-01 00:00:00.000000342,970.022
1970-01-01 00:00:00.000000343,1432.158
1970-01-01 00:00:00.000000344,317.932
1970-01-01 00:00:00.000000345,-638.67
1970-01-01 00:00:00.000000346,-796.05
1970-01-01 00:00:00.000000347,-975.268
1970-01-01 00:00:00.000000348,-694.302
1970-01-01 00:00:00.000000349,-219.234
1970-01-01 00:00:00.000000350,725.656
1970-01-01 00:00:00.000000351,1301.984
1970-01-01 00:00:00.000000352,662.216
1970-01-01 00:00:00.000000353,-407.358
1970-01-01 00:00:00.000000354,-805.2
1970-01-01 00:00:00.000000355,-400.892
1970-01-01 00:00:00.000000356,-240.462
1970-01-01 00:00:00.000000357,-82.96
1970-01-01 00:00:00.000000358,146.156
1970-01-01 00:00:00.000000359,769.698
1970-01-01 00:00:00.000000360,1399.828
1970-01-01 00:00:00.000000361,1056.154
1970-01-01 00:00:00.000000362,-102.846
1970-01-01 00:00:00.000000363,-1097.39
1970-01-01 00:00:00.000000364,-872.178
1970-01-01 00:00:00.000000365,-868.518
1970-01-01 00:00:00.000000366,-731.268
1970-01-01 00:00:00.000000367,313.052
1970-01-01 00:00:00.000000368,966.484
1970-01-01 00:00:00.000000369,1104.588
1970-01-01 00:00:00.000000370,133.468
1970-01-01 00:00:00.000000371,-483.974
1970-01-01 00:00:00.000000372,-575.962
1970-01-01 00:00:00.000000373,-559.492
1970-01-01 00:00:00.000000374,-259.86
1970-01-01 00:00:00.000000375,-152.256
1970-01-01 00:00:00.000000376,531.066
1970-01-01 00:00:00.000000377,1086.166
1970-01-01 00:00:00.000000378,1341.146
1970-01-01 00:00:00.000000379,509.228
1970-01-01 00:00:00.000000380,-558.028
1970-01-01 00:00:00.000000381,-592.432
1970-01-01 00:00:00.000000382,-874.13
1970-01-01 00:00:00.000000383,-807.03
1970-01-01 00:00:00.000000384,-526.43
1970-01-01 00:00:00.000000385,389.546
1970-01-01 00:00:00.000000386,1338.706
1970-01-01 00:00:00.000000387,848.754
1970-01-01 00:00:00.000000388,-117.974
1970-01-01 00:00:00.000000389,-818.864
1970-01-01 00:00:00.000000390,-296.46
1970-01-01 00:00:00.000000391,-381.25
1970-01-01 00:00:00.000000392,-324.52
1970-01-01 00:00:00.000000393,35.868
1970-01-01 00:00:00.000000394,745.42
1970-01-01 00:00:00.000000395,1552.694
1970-01-01 00:00:00.000000396,1224.026
1970-01-01 00:00:00.000000397,10.126
1970-01-01 00:00:00.000000398,-765.184
1970-01-01 00:00:00.000000399,-647.698
1970-01-01 00:00:00.000000400,-906.704
1970-01-01 00:00:00.000000401,-784.582
1970-01-01 00:00:00.000000402,-67.832
1970-01-01 00:00:00.000000403,850.95
1970-01-01 00:00:00.000000404,1356.396
1970-01-01 00:00:00.000000405,316.956
1970-01-01 00:00:00.000000406,-405.406
1970-01-01 00:00:00.000000407,-735.416
1970-01-01 00:00:00.000000408,-301.218
1970-01-01 00:00:00.000000409,-337.94
1970-01-01 00:00:00.000000410,-117.608
1970-01-01 00:00:00.000000411,376.248
1970-01-01 00:00:00.000000412,924.516
1970-01-01 00:00:00.000000413,1201.578
1970-01-01 00:00:00.000000414,1019.432
1970-01-01 00:00:00.000000415,-105.164
1970-01-01 00:00:00.000000416,-633.302
1970-01-01 00:00:00.000000417,-731.146
1970-01-01 00:00:00.000000418,-828.136
1970-01-01 00:00:00.000000419,-741.394
1970-01-01 00:00:00.000000420,241.682
1970-01-01 00:00:00.000000421,1150.338
1970-01-01 00:00:00.000000422,1071.404
1970-01-01 00:00:00.000000423,-15.86
1970-01-01 00:00:00.000000424,-495.808
1970-01-01 00:00:00.000000425,-546.072
1970-01-01 00:00:00.000000426,-371.002
1970-01-01 00:00:00.000000427,-324.52
