time_captured,MSFT_Open
2012-09-04,30.45
2012-09-05,30.22
2012-09-06,30.5
2012-09-07,31.04
2012-09-10,30.83
2012-09-11,30.69
2012-09-12,30.94
2012-09-13,30.89
2012-09-14,31.01
2012-09-17,31.19
2012-09-18,31.1
2012-09-19,31.09
2012-09-20,30.95
2012-09-21,31.43
2012-09-24,30.98
2012-09-25,30.95
2012-09-26,30.28
2012-09-27,30.17
2012-09-28,30.18
2012-10-01,29.81
2012-10-02,29.68
2012-10-03,29.75
2012-10-04,29.97
2012-10-05,30.23
2012-10-08,29.64
2012-10-09,29.68
2012-10-10,29.15
2012-10-11,29.22
2012-10-12,28.97
2012-10-15,29.37
2012-10-16,29.45
2012-10-17,29.3
2012-10-18,29.65
2012-10-19,29.05
2012-10-22,28.73
2012-10-23,27.76
2012-10-24,28.16
2012-10-25,28.19
2012-10-26,27.86
2012-10-31,28.55
2012-11-01,28.84
2012-11-02,29.59
2012-11-05,29.62
2012-11-06,29.82
2012-11-07,29.53
2012-11-08,29.12
2012-11-09,28.88
2012-11-12,28.94
2012-11-13,27.02
2012-11-14,27.24
2012-11-15,26.88
2012-11-16,26.67
2012-11-19,26.8
2012-11-20,26.76
2012-11-21,26.71
2012-11-23,27.23
2012-11-26,27.54
2012-11-27,27.36
2012-11-28,27.01
2012-11-29,27.11
2012-11-30,27.05
2012-12-03,26.78
2012-12-04,26.5
2012-12-05,26.38
2012-12-06,26.81
2012-12-07,26.82
2012-12-10,26.56
2012-12-11,27.05
2012-12-12,27.53
2012-12-13,27.32
2012-12-14,27.11
2012-12-17,26.79
2012-12-18,27.25
2012-12-19,27.69
2012-12-20,27.36
2012-12-21,27.45
2012-12-24,27.2
2012-12-26,27.03
2012-12-27,26.89
2012-12-28,26.71
2012-12-31,26.59
2013-01-02,27.25
2013-01-03,27.63
2013-01-04,27.27
2013-01-07,26.77
2013-01-08,26.75
2013-01-09,26.72
2013-01-10,26.65
2013-01-11,26.49
2013-01-14,26.9
2013-01-15,26.83
2013-01-16,27.15
2013-01-17,27.19
2013-01-18,27.1
2013-01-22,27.3
2013-01-23,27.2
2013-01-24,27.7
2013-01-25,27.58
2013-01-28,28.01
2013-01-29,27.82
2013-01-30,28.01
2013-01-31,27.79
2013-02-01,27.67
2013-02-04,27.87
2013-02-05,27.62
2013-02-06,27.38
2013-02-07,27.35
2013-02-08,27.35
2013-02-11,27.65
2013-02-12,27.88
2013-02-13,27.93
2013-02-14,27.92
2013-02-15,28.04
2013-02-19,27.88
2013-02-20,28.13
2013-02-21,27.74
2013-02-22,27.68
2013-02-25,27.97
2013-02-26,27.38
2013-02-27,27.42
2013-02-28,27.88
2013-03-01,27.72
2013-03-04,27.85
2013-03-05,28.29
2013-03-06,28.21
2013-03-07,28.11
2013-03-08,28.25
2013-03-11,27.94
2013-03-12,27.84
2013-03-13,27.87
2013-03-14,28.0
2013-03-15,28.03
2013-03-18,27.88
2013-03-19,28.12
2013-03-20,28.34
2013-03-21,28.11
2013-03-22,28.19
2013-03-25,28.3
2013-03-26,28.24
2013-03-27,28.14
2013-03-28,28.32
2013-04-01,28.64
2013-04-02,28.59
2013-04-03,28.75
2013-04-04,28.39
2013-04-05,28.22
2013-04-08,28.73
2013-04-09,28.73
2013-04-10,29.57
2013-04-11,29.1
2013-04-12,28.85
2013-04-15,28.65
2013-04-16,28.9
2013-04-17,28.85
2013-04-18,28.95
2013-04-19,29.62
2013-04-22,30.3
2013-04-23,30.7
2013-04-24,30.62
2013-04-25,31.71
2013-04-26,31.9
2013-04-29,31.8
2013-04-30,32.56
2013-05-01,32.93
2013-05-02,32.63
2013-05-03,33.23
2013-05-06,33.42
2013-05-07,33.65
2013-05-08,33.07
2013-05-09,32.85
2013-05-10,32.67
2013-05-13,32.61
2013-05-14,32.86
2013-05-15,33.45
2013-05-16,33.64
2013-05-17,34.13
2013-05-20,34.73
2013-05-21,35.1
2013-05-22,34.79
2013-05-23,34.23
2013-05-24,33.92
2013-05-28,34.42
2013-05-29,34.74
2013-05-30,34.85
2013-05-31,34.82
2013-06-03,34.92
2013-06-04,35.62
2013-06-05,34.6
2013-06-06,34.84
2013-06-07,35.25
2013-06-10,35.51
2013-06-11,35.05
2013-06-12,35.14
2013-06-13,34.99
2013-06-14,34.55
2013-06-17,34.69
2013-06-18,34.97
2013-06-19,34.96
2013-06-20,34.26
