time_captured,GS_Open
2008-12-09,75.42
2008-12-10,73.8
2008-12-11,70.35
2008-12-12,65.7
2008-12-15,67.12
2008-12-16,69.57
2008-12-17,75.33
2008-12-18,79.67
2008-12-19,79.37
2008-12-22,80.0
2008-12-23,77.41
2008-12-24,75.54
2008-12-26,76.83
2008-12-29,76.43
2008-12-30,77.29
2008-12-31,82.24
2009-01-02,84.02
2009-01-05,85.81
2009-01-06,90.05
2009-01-07,86.91
2009-01-08,83.52
2009-01-09,85.91
2009-01-12,83.36
2009-01-13,74.16
2009-01-14,75.88
2009-01-15,75.03
2009-01-16,75.98
2009-01-20,69.6
2009-01-21,63.39
2009-01-22,67.28
2009-01-23,67.87
2009-01-26,76.06
2009-01-27,75.51
2009-01-28,84.28
2009-01-29,85.13
2009-01-30,83.59
2009-02-02,78.78
2009-02-03,84.3
2009-02-04,83.7
2009-02-05,86.77
2009-02-06,94.27
2009-02-09,97.02
2009-02-10,96.79
2009-02-11,91.75
2009-02-12,92.65
2009-02-13,95.0
2009-02-17,92.26
2009-02-18,87.69
2009-02-19,86.41
2009-02-20,81.95
2009-02-23,86.51
2009-02-24,81.53
2009-02-25,91.55
2009-02-26,92.3
2009-02-27,88.63
2009-03-02,87.86
2009-03-03,88.33
2009-03-04,84.9
2009-03-05,82.88
2009-03-06,82.33
2009-03-09,73.77
2009-03-10,77.68
2009-03-11,86.89
2009-03-12,92.03
2009-03-13,97.79
2009-03-16,100.33
2009-03-17,92.64
2009-03-18,97.58
2009-03-19,104.65
2009-03-20,99.51
2009-03-23,102.5
2009-03-24,110.59
2009-03-25,111.13
2009-03-26,112.0
2009-03-27,109.61
2009-03-30,104.11
2009-03-31,102.81
2009-04-01,104.1
2009-04-02,115.21
2009-04-03,112.8
2009-04-06,116.0
2009-04-07,114.0
2009-04-08,117.37
2009-04-09,119.79
2009-04-13,122.81
2009-04-14,123.76
2009-04-15,116.72
2009-04-16,123.09
2009-04-17,120.84
2009-04-20,116.97
2009-04-21,113.76
2009-04-22,118.61
2009-04-23,121.64
2009-04-24,123.25
2009-04-27,119.34
2009-04-28,120.17
2009-04-29,122.02
2009-04-30,128.52
2009-05-01,127.9
2009-05-04,127.51
2009-05-05,132.9
2009-05-06,136.8
2009-05-07,140.98
2009-05-08,134.89
2009-05-11,136.85
2009-05-12,137.03
2009-05-13,133.2
2009-05-14,129.12
2009-05-15,134.02
2009-05-18,137.2
2009-05-19,142.59
2009-05-20,142.31
2009-05-21,134.05
2009-05-22,137.78
2009-05-26,134.61
2009-05-27,142.22
2009-05-28,141.65
2009-05-29,145.81
2009-06-01,145.8
2009-06-02,143.25
2009-06-03,141.91
2009-06-04,144.65
2009-06-05,151.05
2009-06-08,147.55
2009-06-09,149.0
2009-06-10,149.93
2009-06-11,146.12
2009-06-12,144.38
2009-06-15,144.17
2009-06-16,143.94
2009-06-17,144.09
2009-06-18,139.96
2009-06-19,143.19
2009-06-22,141.87
2009-06-23,138.34
2009-06-24,142.53
2009-06-25,141.57
2009-06-26,144.49
2009-06-29,147.5
2009-06-30,149.4
2009-07-01,147.59
2009-07-02,145.86
2009-07-06,142.66
2009-07-07,146.24
2009-07-08,142.45
2009-07-09,141.76
2009-07-10,142.35
2009-07-13,146.72
2009-07-14,148.98
2009-07-15,152.01
2009-07-16,155.0
2009-07-17,155.87
2009-07-20,157.75
2009-07-21,159.89
2009-07-22,158.19
2009-07-23,160.2
2009-07-24,164.43
2009-07-27,164.7
2009-07-28,162.3
2009-07-29,159.21
2009-07-30,161.11
2009-07-31,162.37
2009-08-03,165.2
2009-08-04,162.99
2009-08-05,165.75
2009-08-06,169.4
2009-08-07,168.3
2009-08-10,163.2
2009-08-11,159.94
2009-08-12,159.87
2009-08-13,165.24
2009-08-14,163.97
2009-08-17,159.32
2009-08-18,159.67
2009-08-19,159.11
2009-08-20,160.2
2009-08-21,163.76
2009-08-24,164.36
2009-08-25,163.33
2009-08-26,164.29
2009-08-27,165.69
2009-08-28,165.87
2009-08-31,162.95
2009-09-01,164.8
2009-09-02,160.13
2009-09-03,159.92
2009-09-04,161.54
2009-09-08,165.25
2009-09-09,167.8
2009-09-10,171.0
2009-09-11,176.8
2009-09-14,173.28
2009-09-15,178.0
2009-09-16,177.82
2009-09-17,179.88
2009-09-18,181.69
2009-09-21,181.69
2009-09-22,183.88
2009-09-23,186.31
2009-09-24,184.92
2009-09-25,182.18
2009-09-28,180.14
2009-09-29,182.99
2009-09-30,184.77
2009-10-01,184.01
2009-10-02,176.45
2009-10-05,180.77
2009-10-06,188.46
2009-10-07,186.51
2009-10-08,191.89
2009-10-09,188.73
2009-10-12,190.86
2009-10-13,186.41
2009-10-14,191.58
2009-10-15,188.62
2009-10-16,186.67
2009-10-19,184.85
2009-10-20,185.19
2009-10-21,185.2
2009-10-22,180.04
2009-10-23,184.03
2009-10-26,180.52
2009-10-27,179.25
2009-10-28,177.91
2009-10-29,174.57
2009-10-30,177.22
2009-11-02,171.59
2009-11-03,168.98
2009-11-04,173.47
2009-11-05,170.98
2009-11-06,171.96
2009-11-09,173.68
2009-11-10,176.4
2009-11-11,178.03
2009-11-12,179.7
2009-11-13,178.89
2009-11-16,177.99
2009-11-17,177.01
2009-11-18,176.47
2009-11-19,175.53
2009-11-20,171.4
2009-11-23,171.67
2009-11-24,171.64
2009-11-25,171.97
2009-11-27,164.27
2009-11-30,165.47
2009-12-01,171.25
2009-12-02,167.65
2009-12-03,167.95
2009-12-04,167.5
2009-12-07,166.52
2009-12-08,163.12
2009-12-09,162.13
2009-12-10,166.69
2009-12-11,167.54
2009-12-14,166.48
2009-12-15,164.81
2009-12-16,163.85
2009-12-17,162.31
2009-12-18,161.81
2009-12-21,163.79
2009-12-22,165.5
2009-12-23,165.06
2009-12-24,164.0
2009-12-28,164.1
2009-12-29,164.5
2009-12-30,164.06
2009-12-31,167.29
2010-01-04,170.05
2010-01-05,173.0
2010-01-06,175.38
2010-01-07,174.32
2010-01-08,176.33
2010-01-11,175.06
2010-01-12,170.01
2010-01-13,168.01
2010-01-14,168.0
2010-01-15,167.6
2010-01-19,165.01
2010-01-20,165.8
2010-01-21,169.29
2010-01-22,158.69
2010-01-25,156.13
2010-01-26,154.91
2010-01-27,150.75
2010-01-28,154.23
2010-01-29,154.44
2010-02-01,149.82
2010-02-02,153.65
2010-02-03,157.92
2010-02-04,155.27
2010-02-05,150.82
2010-02-08,154.27
2010-02-09,152.7
2010-02-10,152.77
2010-02-11,154.4
2010-02-12,152.37
2010-02-16,155.3
2010-02-17,158.0
2010-02-18,155.61
2010-02-19,154.51
2010-02-22,157.2
2010-02-23,156.81
2010-02-24,157.34
2010-02-25,156.23
2010-02-26,156.26
2010-03-01,156.51
2010-03-02,157.18
2010-03-03,159.04
2010-03-04,158.25
2010-03-05,165.11
2010-03-08,167.88
2010-03-09,169.22
2010-03-10,170.26
2010-03-11,171.4
2010-03-12,175.01
2010-03-15,173.95
2010-03-16,174.33
2010-03-17,176.86
2010-03-18,176.2
2010-03-19,178.19
2010-03-22,176.21
2010-03-23,176.25
2010-03-24,173.64
2010-03-25,175.24
2010-03-26,175.38
2010-03-29,173.87
2010-03-30,174.26
2010-03-31,170.0
2010-04-01,171.72
2010-04-05,170.68
2010-04-06,172.61
2010-04-07,172.89
2010-04-08,176.1
2010-04-09,180.28
