time_captured,CVX_High
2009-01-30,72.7
2009-02-02,70.85
2009-02-03,71.79
2009-02-04,72.93
2009-02-05,73.42
2009-02-06,75.0
2009-02-09,75.56
2009-02-10,75.24
2009-02-11,72.1
2009-02-12,70.06
2009-02-13,70.74
2009-02-17,67.93
2009-02-18,67.2
2009-02-19,67.71
2009-02-20,66.21
2009-02-23,66.86
2009-02-24,65.83
2009-02-25,65.62
2009-02-26,65.29
2009-02-27,62.76
2009-03-02,60.19
2009-03-03,59.17
2009-03-04,60.44
2009-03-05,58.26
2009-03-06,59.36
2009-03-09,59.59
2009-03-10,61.78
2009-03-11,62.8
2009-03-12,63.51
2009-03-13,63.98
2009-03-16,64.2
2009-03-17,65.34
2009-03-18,66.98
2009-03-19,69.2
2009-03-20,67.98
2009-03-23,69.18
2009-03-24,69.99
2009-03-25,70.18
2009-03-26,70.92
2009-03-27,69.59
2009-03-30,67.89
2009-03-31,68.53
2009-04-01,68.7
2009-04-02,71.29
2009-04-03,70.92
2009-04-06,70.05
2009-04-07,69.17
2009-04-08,69.09
2009-04-09,69.86
2009-04-13,68.16
2009-04-14,67.37
2009-04-15,66.95
2009-04-16,67.16
2009-04-17,66.74
2009-04-20,65.4
2009-04-21,64.96
2009-04-22,64.87
2009-04-23,65.73
2009-04-24,67.34
2009-04-27,66.04
2009-04-28,66.94
2009-04-29,67.71
2009-04-30,68.0
2009-05-01,67.07
2009-05-04,68.21
2009-05-05,66.96
2009-05-06,68.35
2009-05-07,69.0
2009-05-08,70.94
2009-05-11,69.3
2009-05-12,69.56
2009-05-13,69.0
2009-05-14,68.43
2009-05-15,67.0
2009-05-18,66.68
2009-05-19,66.25
2009-05-20,66.88
2009-05-21,64.9
2009-05-22,65.77
2009-05-26,65.66
2009-05-27,66.24
2009-05-28,66.35
2009-05-29,66.94
2009-06-01,69.67
2009-06-02,69.74
2009-06-03,68.99
2009-06-04,69.85
2009-06-05,70.59
2009-06-08,69.98
2009-06-09,70.62
2009-06-10,71.5
2009-06-11,72.5
2009-06-12,72.75
2009-06-15,71.96
2009-06-16,71.72
2009-06-17,69.88
2009-06-18,69.27
2009-06-19,68.92
2009-06-22,67.3
2009-06-23,66.75
2009-06-24,67.09
2009-06-25,67.3
2009-06-26,66.61
2009-06-29,67.09
2009-06-30,67.48
2009-07-01,67.87
2009-07-02,65.78
2009-07-06,64.28
2009-07-07,64.09
2009-07-08,63.17
2009-07-09,63.65
2009-07-10,61.8
2009-07-13,62.48
2009-07-14,63.34
2009-07-15,64.73
2009-07-16,65.09
2009-07-17,65.34
2009-07-20,66.12
2009-07-21,66.55
2009-07-22,66.88
2009-07-23,68.09
2009-07-24,68.6
2009-07-27,68.99
2009-07-28,68.53
2009-07-29,67.82
2009-07-30,68.5
2009-07-31,69.69
2009-08-03,70.54
2009-08-04,70.45
2009-08-05,70.49
2009-08-06,69.88
2009-08-07,70.15
2009-08-10,69.79
2009-08-11,69.1
2009-08-12,69.23
2009-08-13,69.06
2009-08-14,68.67
2009-08-17,67.07
2009-08-18,67.09
2009-08-19,68.5
2009-08-20,68.78
2009-08-21,69.95
2009-08-24,70.94
2009-08-25,71.5
2009-08-26,71.2
2009-08-27,71.22
2009-08-28,71.4
2009-08-31,70.38
2009-09-01,70.27
2009-09-02,69.15
2009-09-03,68.65
2009-09-04,69.12
2009-09-08,70.69
2009-09-09,71.02
2009-09-10,71.74
2009-09-11,71.96
2009-09-14,71.13
2009-09-15,71.7
2009-09-16,72.6
2009-09-17,72.75
2009-09-18,73.37
