time_captured,IBM_Open
2009-11-25,127.88
2009-11-27,124.59
2009-11-30,125.12
2009-12-01,127.29
2009-12-02,127.32
2009-12-03,127.6
2009-12-04,128.4
2009-12-07,126.88
2009-12-08,126.97
2009-12-09,126.7
2009-12-10,128.13
2009-12-11,129.01
2009-12-14,129.65
2009-12-15,129.46
2009-12-16,128.74
2009-12-17,128.0
2009-12-18,127.97
2009-12-21,127.8
2009-12-22,129.3
2009-12-23,129.7
2009-12-24,129.89
2009-12-28,130.99
2009-12-29,132.28
2009-12-30,131.23
2009-12-31,132.41
2010-01-04,131.18
2010-01-05,131.68
2010-01-06,130.68
2010-01-07,129.87
2010-01-08,129.07
2010-01-11,131.06
2010-01-12,129.03
2010-01-13,130.39
2010-01-14,130.55
2010-01-15,132.03
2010-01-19,131.63
2010-01-20,130.46
2010-01-21,130.47
2010-01-22,128.67
2010-01-25,126.33
2010-01-26,125.92
2010-01-27,125.82
2010-01-28,127.03
2010-01-29,124.32
2010-02-01,123.23
2010-02-02,124.79
2010-02-03,125.16
2010-02-04,125.19
2010-02-05,123.04
2010-02-08,123.15
2010-02-09,122.65
2010-02-10,122.94
2010-02-11,122.58
2010-02-12,123.01
2010-02-16,124.91
2010-02-17,125.5
2010-02-18,126.13
2010-02-19,127.35
2010-02-22,127.3
2010-02-23,126.48
2010-02-24,127.02
2010-02-25,126.05
2010-02-26,127.01
2010-03-01,127.5
2010-03-02,128.7
2010-03-03,127.73
2010-03-04,127.07
2010-03-05,127.17
2010-03-08,127.06
2010-03-09,126.27
2010-03-10,125.98
2010-03-11,125.71
2010-03-12,127.91
2010-03-15,127.4
2010-03-16,128.0
2010-03-17,128.9
2010-03-18,127.46
2010-03-19,128.84
2010-03-22,127.11
2010-03-23,127.94
2010-03-24,128.63
2010-03-25,129.36
2010-03-26,128.93
2010-03-29,129.3
2010-03-30,128.9
2010-03-31,128.23
2010-04-01,128.95
2010-04-05,128.38
2010-04-06,128.68
2010-04-07,128.53
2010-04-08,128.04
2010-04-09,127.88
2010-04-12,128.57
2010-04-13,128.26
2010-04-14,129.73
2010-04-15,130.53
2010-04-16,130.68
2010-04-19,130.38
2010-04-20,129.2
2010-04-21,129.87
2010-04-22,128.64
2010-04-23,129.08
2010-04-26,129.76
2010-04-27,129.9
2010-04-28,129.4
2010-04-29,130.55
2010-04-30,130.43
2010-05-03,129.39
2010-05-04,128.89
2010-05-05,127.12
2010-05-06,126.29
2010-05-07,123.36
2010-05-10,126.27
2010-05-11,125.21
2010-05-12,127.16
2010-05-13,130.93
2010-05-14,131.06
2010-05-17,130.68
2010-05-18,131.26
2010-05-19,129.37
2010-05-20,127.22
2010-05-21,122.16
2010-05-24,125.26
2010-05-25,121.47
2010-05-26,124.89
2010-05-27,125.05
2010-05-28,125.96
2010-06-01,124.69
2010-06-02,124.85
2010-06-03,127.75
2010-06-04,126.37
2010-06-07,125.57
2010-06-08,124.26
2010-06-09,124.83
2010-06-10,125.99
2010-06-11,126.73
2010-06-14,128.5
2010-06-15,128.93
2010-06-16,128.34
2010-06-17,130.07
2010-06-18,131.02
2010-06-21,131.42
2010-06-22,130.37
2010-06-23,129.25
2010-06-24,129.57
2010-06-25,128.34
2010-06-28,127.65
2010-06-29,127.35
2010-06-30,124.83
2010-07-01,123.55
2010-07-02,123.29
2010-07-06,123.58
2010-07-07,123.47
2010-07-08,127.37
2010-07-09,127.9
2010-07-12,127.37
2010-07-13,128.97
2010-07-14,129.32
2010-07-15,129.87
2010-07-16,129.96
2010-07-19,128.67
2010-07-20,122.97
2010-07-21,126.44
2010-07-22,126.32
2010-07-23,127.3
2010-07-26,128.18
2010-07-27,128.78
2010-07-28,128.67
2010-07-29,129.06
2010-07-30,127.43
2010-08-02,129.25
2010-08-03,130.03
2010-08-04,130.46
2010-08-05,130.73
2010-08-06,130.41
2010-08-09,130.79
2010-08-10,131.18
2010-08-11,130.69
2010-08-12,127.69
2010-08-13,127.96
2010-08-16,127.47
2010-08-17,128.83
2010-08-18,128.87
2010-08-19,128.67
2010-08-20,128.72
2010-08-23,127.57
2010-08-24,125.21
2010-08-25,124.57
2010-08-26,125.78
2010-08-27,123.83
2010-08-30,125.08
2010-08-31,123.31
2010-09-01,125.31
2010-09-02,126.03
2010-09-03,126.22
2010-09-07,126.99
2010-09-08,126.02
2010-09-09,127.27
2010-09-10,126.99
2010-09-13,128.63
