time_captured,AXP_Volume
2008-09-05,14007331
2008-09-08,24922221
2008-09-09,16838661
2008-09-10,13705180
2008-09-11,19227452
2008-09-12,12977388
2008-09-15,31574248
2008-09-16,27760903
2008-09-17,37409553
2008-09-18,43084339
2008-09-19,32935479
2008-09-22,14951824
2008-09-23,10276631
2008-09-24,7097993
2008-09-25,7670662
2008-09-26,16334429
2008-09-29,20234828
2008-09-30,13026440
2008-10-01,8652242
2008-10-02,15439085
2008-10-03,14320774
2008-10-06,24571328
2008-10-07,20967001
2008-10-08,20356421
2008-10-09,29128167
2008-10-10,45642847
2008-10-13,22811991
2008-10-14,23749636
2008-10-15,18979437
2008-10-16,23470102
2008-10-17,21527954
2008-10-20,18306601
2008-10-21,30238986
2008-10-22,20121762
2008-10-23,16650192
2008-10-24,18336839
2008-10-27,10521558
2008-10-28,17115553
2008-10-29,17726854
2008-10-30,15866293
2008-10-31,15999787
2008-11-03,12515452
2008-11-04,15614209
2008-11-05,12890562
2008-11-06,21927990
2008-11-07,13491286
2008-11-10,12084639
2008-11-11,19975841
2008-11-12,35779720
2008-11-13,47723213
2008-11-14,21674918
2008-11-17,16401201
2008-11-18,21003940
2008-11-19,23076009
2008-11-20,25406770
2008-11-21,32512949
2008-11-24,24873686
2008-11-25,24395370
2008-11-26,12390491
2008-11-28,7156854
2008-12-01,19847069
2008-12-02,16046564
2008-12-03,14341312
2008-12-04,15229459
2008-12-05,17112197
2008-12-08,20394617
2008-12-09,14661899
2008-12-10,18279048
2008-12-11,16301526
2008-12-12,15861747
2008-12-15,14855442
2008-12-16,22217517
2008-12-17,13256130
2008-12-18,17510590
2008-12-19,19990871
2008-12-22,10756733
2008-12-23,10256581
2008-12-24,4194046
2008-12-26,4599770
2008-12-29,8034718
2008-12-30,11777232
2008-12-31,9625550
2009-01-02,10955618
2009-01-05,16019627
2009-01-06,13821950
2009-01-07,15700023
2009-01-08,12255469
2009-01-09,12592110
2009-01-12,12253584
2009-01-13,11872057
2009-01-14,17041297
2009-01-15,25799872
2009-01-16,20619332
2009-01-20,23403484
2009-01-21,23124824
2009-01-22,16473677
2009-01-23,24323726
2009-01-26,26711968
2009-01-27,28133209
2009-01-28,20977412
2009-01-29,17477089
2009-01-30,16426812
2009-02-02,14544582
2009-02-03,17112080
2009-02-04,14288713
2009-02-05,27256436
2009-02-06,18975836
2009-02-09,10952801
2009-02-10,25787674
2009-02-11,13390261
2009-02-12,23439105
2009-02-13,12738722
2009-02-17,29449810
2009-02-18,26264835
2009-02-19,29659441
2009-02-20,32554072
2009-02-23,23531131
2009-02-24,40857184
2009-02-25,29850616
2009-02-26,26212217
2009-02-27,22410559
2009-03-02,25370697
2009-03-03,33865020
2009-03-04,27086957
2009-03-05,31034426
2009-03-06,29229443
2009-03-09,28224811
2009-03-10,33397570
2009-03-11,30542045
2009-03-12,39576709
2009-03-13,39342814
2009-03-16,38413431
2009-03-17,28927073
2009-03-18,30394127
2009-03-19,33342470
2009-03-20,31088837
2009-03-23,35362219
2009-03-24,24283518
2009-03-25,25580855
2009-03-26,31917204
2009-03-27,22857014
2009-03-30,21751922
2009-03-31,21751803
2009-04-01,27703620
2009-04-02,27298370
2009-04-03,19196445
2009-04-06,16065012
2009-04-07,18546724
2009-04-08,22080631
2009-04-09,39544452
2009-04-13,46332233
2009-04-14,40389740
2009-04-15,50554912
2009-04-16,33021555
2009-04-17,34422828
2009-04-20,40438886
2009-04-21,43652992
2009-04-22,34936192
2009-04-23,37007791
2009-04-24,90336814
2009-04-27,39797604
2009-04-28,28366266
2009-04-29,25653714
2009-04-30,38295369
2009-05-01,28751320
2009-05-04,37126373
2009-05-05,25500982
2009-05-06,48304695
2009-05-07,38950527
2009-05-08,36211248
2009-05-11,27944450
2009-05-12,29020484
2009-05-13,26146384
2009-05-14,19866950
2009-05-15,18760996
2009-05-18,23570459
2009-05-19,21028164
2009-05-20,24701647
2009-05-21,22307467
2009-05-22,13163347
2009-05-26,19750302
2009-05-27,16990776
2009-05-28,16007929
2009-05-29,19596151
2009-06-01,21602766
2009-06-02,33819174
2009-06-03,18407578
2009-06-04,18641670
2009-06-05,16961431
2009-06-08,15199825
2009-06-09,26164038
2009-06-10,18016776
2009-06-11,25370502
2009-06-12,14797428
2009-06-15,19169822
2009-06-16,13682868
2009-06-17,17765929
2009-06-18,16191912
2009-06-19,17321358
2009-06-22,17859702
2009-06-23,24299942
2009-06-24,18356365
2009-06-25,25839622
2009-06-26,29107665
2009-06-29,13293616
2009-06-30,19826110
2009-07-01,13524147
2009-07-02,13541142
2009-07-06,20575224
2009-07-07,15937198
2009-07-08,25294767
2009-07-09,13269024
2009-07-10,14680941
2009-07-13,18450207
2009-07-14,10535294
2009-07-15,38339205
2009-07-16,21573005
2009-07-17,17895835
2009-07-20,16320426
2009-07-21,16997511
2009-07-22,12679435
2009-07-23,21426763
2009-07-24,32292195
2009-07-27,23220371
2009-07-28,19579524
2009-07-29,13533870
2009-07-30,14023439
2009-07-31,11846532
2009-08-03,13532947
2009-08-04,12708730
2009-08-05,23262790
2009-08-06,28332772
2009-08-07,26254590
2009-08-10,11883103
2009-08-11,13629764
2009-08-12,9058000
2009-08-13,8777105
2009-08-14,7636078
2009-08-17,14289091
2009-08-18,12025215
2009-08-19,7726426
2009-08-20,9193498
2009-08-21,12277206
2009-08-24,14363025
2009-08-25,11389591
2009-08-26,9340382
2009-08-27,13219098
2009-08-28,10719999
2009-08-31,9760266
2009-09-01,16863215
2009-09-02,11438149
2009-09-03,10184993
2009-09-04,6575941
2009-09-08,9290067
2009-09-09,10337200
2009-09-10,10060250
2009-09-11,8438042
2009-09-14,9060637
2009-09-15,15605520
2009-09-16,15184794
2009-09-17,12232567
2009-09-18,17531052
2009-09-21,10267190
2009-09-22,12146297
2009-09-23,10455316
2009-09-24,14497008
2009-09-25,15160714
2009-09-28,10510908
2009-09-29,9345065
2009-09-30,15042334
2009-10-01,15168392
2009-10-02,12215416
2009-10-05,9479077
2009-10-06,12523752
2009-10-07,8741983
2009-10-08,11992055
2009-10-09,7107527
2009-10-12,6449084
2009-10-13,10274667
2009-10-14,15334664
2009-10-15,21649657
2009-10-16,14585698
2009-10-19,8045687
2009-10-20,8300781
2009-10-21,13553177
2009-10-22,14040010
2009-10-23,21570117
2009-10-26,17922395
2009-10-27,18261739
2009-10-28,13700635
2009-10-29,13562374
2009-10-30,13368822
2009-11-02,12571651
2009-11-03,11253032
2009-11-04,12036898
2009-11-05,14870349
2009-11-06,12060017
2009-11-09,16659453
2009-11-10,13621195
2009-11-11,13392560
2009-11-12,9884212
2009-11-13,15483603
2009-11-16,20280975
2009-11-17,10115174
2009-11-18,8570498
2009-11-19,12312400
2009-11-20,10664619
2009-11-23,11753935
2009-11-24,7229449
2009-11-25,7082069
2009-11-27,6005391
2009-11-30,14374838
2009-12-01,11655569
2009-12-02,11509654
2009-12-03,19943074
2009-12-04,20182301
2009-12-07,9353576
2009-12-08,7921658
2009-12-09,8852339
2009-12-10,9670392
2009-12-11,8121341
2009-12-14,9743934
2009-12-15,10840780
2009-12-16,9687213
2009-12-17,8148422
2009-12-18,10902496
2009-12-21,5424191
2009-12-22,6679066
2009-12-23,5296356
2009-12-24,2069969
2009-12-28,5371429
2009-12-29,4439131
2009-12-30,3557595
2009-12-31,4030682
2010-01-04,6896366
2010-01-05,10642158
2010-01-06,8399374
2010-01-07,8982628
2010-01-08,7908186
2010-01-11,7396890
2010-01-12,12657572
2010-01-13,10137203
2010-01-14,8238665
2010-01-15,13630419
2010-01-19,9534275
2010-01-20,11643946
2010-01-21,16981464
2010-01-22,26172565
2010-01-25,17587806
2010-01-26,15709915
2010-01-27,12910527
2010-01-28,14150464
2010-01-29,14221560
2010-02-01,9362548
2010-02-02,11274239
2010-02-03,10658677
2010-02-04,12947918
2010-02-05,13024907
2010-02-08,9372636
2010-02-09,10683319
2010-02-10,8880287
2010-02-11,9908005
2010-02-12,10692564
2010-02-16,10964637
2010-02-17,9849997
2010-02-18,6859123
2010-02-19,9412679
2010-02-22,7412970
2010-02-23,9696312
2010-02-24,6412242
2010-02-25,8456458
2010-02-26,6475422
2010-03-01,9138475
2010-03-02,9938410
2010-03-03,8222088
2010-03-04,8899547
2010-03-05,10137416
2010-03-08,7812212
2010-03-09,6766681
2010-03-10,7749548
2010-03-11,7638381
2010-03-12,9465211
2010-03-15,7125695
2010-03-16,5806018
2010-03-17,8942260
2010-03-18,5520955
2010-03-19,10729247
2010-03-22,9194387
2010-03-23,8592062
2010-03-24,7527327
2010-03-25,8716124
2010-03-26,6821601
2010-03-29,5865432
2010-03-30,5562293
2010-03-31,6883008
2010-04-01,6016227
2010-04-05,7857037
2010-04-06,7817738
2010-04-07,9795035
2010-04-08,10438100
2010-04-09,6614159
2010-04-12,7790790
2010-04-13,10941187
2010-04-14,14091623
2010-04-15,9525237
2010-04-16,18334533
2010-04-19,10527855
2010-04-20,8075190
2010-04-21,7742663
2010-04-22,12874250
2010-04-23,17474457
2010-04-26,11163511
2010-04-27,11301488
2010-04-28,9534657
2010-04-29,12615408
2010-04-30,14019691
2010-05-03,7572541
2010-05-04,10577929
2010-05-05,15037712
2010-05-06,22510797
2010-05-07,30788678
2010-05-10,16792123
2010-05-11,12344396
2010-05-12,9824611
2010-05-13,10081932
2010-05-14,27485534
2010-05-17,15067633
2010-05-18,18849434
2010-05-19,15597100
2010-05-20,19593222
2010-05-21,18743252
2010-05-24,10358246
2010-05-25,14758114
2010-05-26,13490755
2010-05-27,14744654
2010-05-28,12496490
2010-06-01,12526351
2010-06-02,16206601
2010-06-03,8858557
2010-06-04,13697354
2010-06-07,11257269
2010-06-08,11585938
2010-06-09,12274818
2010-06-10,11784253
2010-06-11,7807147
2010-06-14,8484864
2010-06-15,10114897
2010-06-16,11552198
2010-06-17,8013270
2010-06-18,9287436
2010-06-21,12073585
2010-06-22,9894721
2010-06-23,9454079
2010-06-24,9669316
2010-06-25,23430631
2010-06-28,8871210
2010-06-29,12258480
2010-06-30,8975578
2010-07-01,8747392
2010-07-02,6928090
2010-07-06,10308506
2010-07-07,12115953
2010-07-08,11512090
2010-07-09,8293171
2010-07-12,6982066
2010-07-13,8623016
2010-07-14,7158045
2010-07-15,9838362
2010-07-16,14179024
2010-07-19,7378122
2010-07-20,7589521
2010-07-21,9540565
2010-07-22,10875243
2010-07-23,15324864
2010-07-26,9497736
2010-07-27,10163697
2010-07-28,6399826
2010-07-29,7127013
2010-07-30,7341750
2010-08-02,9555199
2010-08-03,7290371
2010-08-04,15943966
2010-08-05,12460826
2010-08-06,8052655
2010-08-09,5088530
2010-08-10,8527858
2010-08-11,10160197
2010-08-12,8676099
2010-08-13,6453339
2010-08-16,7164546
2010-08-17,8561595
2010-08-18,8703275
2010-08-19,9474654
2010-08-20,7878451
2010-08-23,5156872
2010-08-24,7565370
2010-08-25,6410238
2010-08-26,6937927
2010-08-27,7486493
2010-08-30,5103011
2010-08-31,8312829
2010-09-01,7717266
2010-09-02,11712440
2010-09-03,10887663
2010-09-07,9780650
2010-09-08,9172141
2010-09-09,7918375
2010-09-10,7389300
2010-09-13,8239560
2010-09-14,9461255
2010-09-15,7993139
2010-09-16,7239792
2010-09-17,29144012
2010-09-20,11833511
2010-09-21,9325014
2010-09-22,10857939
2010-09-23,8687796
2010-09-24,10150105
2010-09-27,9272593
2010-09-28,6562051
2010-09-29,7914488
2010-09-30,12293288
2010-10-01,10671991
2010-10-04,38499770
2010-10-05,68417074
2010-10-06,21059122
2010-10-07,18598177
2010-10-08,13339834
2010-10-11,10913926
2010-10-12,19989230
2010-10-13,19502377
2010-10-14,14643537
2010-10-15,14884358
2010-10-18,10026054
2010-10-19,18102681
2010-10-20,9239787
2010-10-21,12599925
2010-10-22,17328056
2010-10-25,13588441
2010-10-26,12277430
2010-10-27,15618128
2010-10-28,14755979
2010-10-29,9598191
2010-11-01,8457355
2010-11-02,9221220
2010-11-03,11769799
2010-11-04,13170081
2010-11-05,13061783
2010-11-08,7666106
2010-11-09,9341575
2010-11-10,9757253
2010-11-11,5849606
2010-11-12,7077258
2010-11-15,6154617
2010-11-16,11444182
2010-11-17,9637338
2010-11-18,8071356
2010-11-19,7480859
2010-11-22,7627110
2010-11-23,10406795
2010-11-24,6791800
2010-11-26,2999912
2010-11-29,10380829
2010-11-30,9395013
2010-12-01,15222935
2010-12-02,10943457
2010-12-03,9135676
2010-12-06,6600023
2010-12-07,9696254
2010-12-08,8570109
2010-12-09,7026143
2010-12-10,8216538
2010-12-13,8305907
2010-12-14,5772973
2010-12-15,7354807
2010-12-16,15396472
2010-12-17,17301033
2010-12-20,31617851
2010-12-21,10308425
2010-12-22,7719773
2010-12-23,4832099
