time_captured,PG_Open
2008-06-04,66.0
2008-06-05,66.56
2008-06-06,66.35
2008-06-09,65.35
2008-06-10,65.63
2008-06-11,66.43
2008-06-12,66.4
2008-06-13,66.77
2008-06-16,66.25
2008-06-17,65.97
2008-06-18,65.59
2008-06-19,64.95
2008-06-20,64.65
2008-06-23,63.43
2008-06-24,62.82
2008-06-25,63.14
2008-06-26,63.22
2008-06-27,62.19
2008-06-30,60.69
2008-07-01,60.55
2008-07-02,61.95
2008-07-03,62.7
2008-07-07,63.81
2008-07-08,62.67
2008-07-09,63.93
2008-07-10,63.71
2008-07-11,63.93
2008-07-14,63.9
2008-07-15,62.35
2008-07-16,63.73
2008-07-17,63.97
2008-07-18,63.97
2008-07-21,63.93
2008-07-22,63.65
2008-07-23,64.25
2008-07-24,64.7
2008-07-25,64.62
2008-07-28,64.39
2008-07-29,63.95
2008-07-30,65.43
2008-07-31,66.02
2008-08-01,65.73
2008-08-04,65.12
2008-08-05,66.21
2008-08-06,67.95
2008-08-07,67.83
2008-08-08,67.01
2008-08-11,69.62
2008-08-12,69.22
2008-08-13,70.22
2008-08-14,69.55
2008-08-15,70.49
2008-08-18,71.32
2008-08-19,71.02
2008-08-20,70.68
2008-08-21,69.83
2008-08-22,70.07
2008-08-25,71.33
2008-08-26,70.03
2008-08-27,69.68
2008-08-28,70.35
2008-08-29,70.71
2008-09-02,70.35
2008-09-03,70.42
2008-09-04,71.16
2008-09-05,70.39
2008-09-08,71.33
2008-09-09,71.66
2008-09-10,71.85
2008-09-11,71.8
2008-09-12,72.33
2008-09-15,72.34
2008-09-16,71.52
2008-09-17,71.68
2008-09-18,71.22
2008-09-19,72.56
2008-09-22,70.01
2008-09-23,68.14
2008-09-24,67.43
2008-09-25,69.02
2008-09-26,67.82
2008-09-29,68.15
2008-09-30,67.19
2008-10-01,69.34
2008-10-02,70.91
2008-10-03,71.02
2008-10-06,69.77
2008-10-07,69.03
2008-10-08,65.78
2008-10-09,66.14
2008-10-10,58.77
2008-10-13,61.67
2008-10-14,65.55
2008-10-15,63.28
2008-10-16,59.91
2008-10-17,60.65
2008-10-20,62.54
2008-10-21,63.47
2008-10-22,61.39
2008-10-23,59.13
2008-10-24,56.9
2008-10-27,58.03
2008-10-28,58.4
2008-10-29,63.01
2008-10-30,62.33
2008-10-31,62.96
2008-11-03,64.72
2008-11-04,65.3
2008-11-05,65.41
2008-11-06,64.05
2008-11-07,63.7
2008-11-10,65.46
2008-11-11,64.73
2008-11-12,63.5
2008-11-13,61.71
2008-11-14,64.87
2008-11-17,63.0
2008-11-18,62.25
2008-11-19,63.88
2008-11-20,61.67
2008-11-21,60.05
2008-11-24,63.44
2008-11-25,64.54
2008-11-26,61.77
2008-11-28,63.04
2008-12-01,63.73
2008-12-02,61.6
2008-12-03,60.52
2008-12-04,62.28
2008-12-05,60.81
2008-12-08,63.01
2008-12-09,61.97
2008-12-10,60.27
2008-12-11,57.77
2008-12-12,58.33
2008-12-15,58.15
2008-12-16,59.9
2008-12-17,60.99
2008-12-18,61.0
2008-12-19,60.8
2008-12-22,60.89
2008-12-23,60.57
2008-12-24,59.95
2008-12-26,60.6
2008-12-29,60.78
2008-12-30,60.5
2008-12-31,61.35
2009-01-02,61.69
2009-01-05,62.32
2009-01-06,62.5
2009-01-07,61.33
2009-01-08,60.91
2009-01-09,60.64
2009-01-12,59.75
2009-01-13,59.96
2009-01-14,59.05
2009-01-15,57.09
2009-01-16,58.08
2009-01-20,57.77
2009-01-21,58.2
2009-01-22,57.38
2009-01-23,56.54
2009-01-26,55.95
2009-01-27,56.48
2009-01-28,57.5
2009-01-29,57.79
2009-01-30,56.5
2009-02-02,54.0
2009-02-03,53.49
2009-02-04,54.33
2009-02-05,52.29
2009-02-06,53.42
2009-02-09,53.89
2009-02-10,52.74
2009-02-11,51.8
2009-02-12,50.93
2009-02-13,51.37
2009-02-17,50.0
2009-02-18,49.84
2009-02-19,51.5
2009-02-20,50.24
2009-02-23,50.49
2009-02-24,52.46
2009-02-25,49.59
2009-02-26,50.1
2009-02-27,48.66
2009-03-02,47.32
2009-03-03,47.33
2009-03-04,46.93
2009-03-05,46.45
2009-03-06,45.87
2009-03-09,45.3
2009-03-10,44.51
2009-03-11,45.59
2009-03-12,44.89
2009-03-13,46.1
2009-03-16,47.37
2009-03-17,47.95
2009-03-18,47.75
2009-03-19,48.24
2009-03-20,46.55
2009-03-23,46.11
2009-03-24,47.42
2009-03-25,47.7
2009-03-26,48.27
2009-03-27,48.21
2009-03-30,48.04
2009-03-31,47.56
2009-04-01,46.75
2009-04-02,48.72
2009-04-03,49.54
2009-04-06,49.46
2009-04-07,49.42
2009-04-08,48.8
2009-04-09,49.17
2009-04-13,48.88
2009-04-14,47.98
2009-04-15,47.68
2009-04-16,49.2
2009-04-17,51.15
2009-04-20,51.57
2009-04-21,50.82
2009-04-22,50.96
2009-04-23,49.84
2009-04-24,49.5
2009-04-27,49.07
2009-04-28,49.75
2009-04-29,49.91
2009-04-30,50.23
2009-05-01,49.6
2009-05-04,49.97
2009-05-05,50.76
2009-05-06,50.0
2009-05-07,51.0
2009-05-08,52.0
2009-05-11,51.42
2009-05-12,50.4
2009-05-13,50.53
2009-05-14,51.02
2009-05-15,51.43
2009-05-18,50.98
2009-05-19,52.57
2009-05-20,53.74
2009-05-21,53.48
2009-05-22,53.07
2009-05-26,52.94
2009-05-27,53.72
2009-05-28,52.26
2009-05-29,52.62
2009-06-01,52.55
2009-06-02,53.23
2009-06-03,53.38
2009-06-04,53.76
2009-06-05,53.56
2009-06-08,52.93
2009-06-09,52.84
2009-06-10,52.69
2009-06-11,52.05
2009-06-12,51.88
2009-06-15,52.38
2009-06-16,51.61
2009-06-17,50.13
2009-06-18,50.07
2009-06-19,51.28
2009-06-22,50.33
2009-06-23,50.52
2009-06-24,50.58
2009-06-25,50.43
2009-06-26,51.46
2009-06-29,51.92
2009-06-30,52.23
2009-07-01,51.47
2009-07-02,51.79
2009-07-06,50.75
2009-07-07,51.99
2009-07-08,52.02
2009-07-09,52.65
2009-07-10,52.18
2009-07-13,52.06
2009-07-14,53.07
2009-07-15,53.61
2009-07-16,54.65
2009-07-17,55.26
2009-07-20,56.01
2009-07-21,55.94
2009-07-22,55.16
2009-07-23,54.93
2009-07-24,55.64
2009-07-27,55.89
2009-07-28,55.6
2009-07-29,55.56
2009-07-30,56.57
2009-07-31,56.2
2009-08-03,55.96
2009-08-04,55.42
2009-08-05,53.74
2009-08-06,53.81
2009-08-07,51.84
2009-08-10,51.92
2009-08-11,52.11
2009-08-12,52.0
2009-08-13,52.29
2009-08-14,52.55
2009-08-17,52.32
2009-08-18,52.4
2009-08-19,52.27
2009-08-20,52.93
2009-08-21,53.45
2009-08-24,53.77
2009-08-25,53.46
2009-08-26,53.41
2009-08-27,53.3
2009-08-28,53.11
2009-08-31,53.0
2009-09-01,53.85
2009-09-02,52.95
2009-09-03,52.95
2009-09-04,52.79
2009-09-08,53.45
2009-09-09,54.2
2009-09-10,55.23
2009-09-11,56.11
2009-09-14,55.23
2009-09-15,55.56
2009-09-16,55.08
2009-09-17,55.33
2009-09-18,56.57
2009-09-21,57.35
2009-09-22,57.3
2009-09-23,57.34
2009-09-24,57.38
2009-09-25,58.0
2009-09-28,58.21
2009-09-29,58.34
2009-09-30,57.84
2009-10-01,57.63
2009-10-02,56.4
2009-10-05,56.79
2009-10-06,56.88
2009-10-07,57.01
2009-10-08,57.37
2009-10-09,57.34
2009-10-12,57.67
2009-10-13,57.37
2009-10-14,57.49
2009-10-15,57.28
2009-10-16,57.12
2009-10-19,57.51
2009-10-20,57.93
2009-10-21,57.92
2009-10-22,57.48
2009-10-23,58.13
2009-10-26,57.65
2009-10-27,56.88
2009-10-28,56.98
2009-10-29,59.39
2009-10-30,59.18
2009-11-02,58.39
2009-11-03,58.45
2009-11-04,58.94
2009-11-05,59.24
2009-11-06,60.17
2009-11-09,61.19
2009-11-10,61.58
2009-11-11,61.87
2009-11-12,62.11
2009-11-13,61.3
2009-11-16,62.0
2009-11-17,62.18
2009-11-18,62.19
2009-11-19,62.16
2009-11-20,62.0
2009-11-23,62.2
2009-11-24,62.77
2009-11-25,62.94
2009-11-27,61.89
2009-11-30,62.37
2009-12-01,62.61
2009-12-02,62.93
2009-12-03,63.09
2009-12-04,63.15
2009-12-07,62.39
2009-12-08,62.14
2009-12-09,61.93
2009-12-10,62.35
2009-12-11,62.29
2009-12-14,62.54
2009-12-15,62.7
2009-12-16,62.38
2009-12-17,62.0
2009-12-18,61.98
2009-12-21,61.65
2009-12-22,61.14
2009-12-23,61.06
2009-12-24,61.25
2009-12-28,61.52
2009-12-29,61.16
2009-12-30,61.38
2009-12-31,61.52
2010-01-04,61.11
2010-01-05,61.13
2010-01-06,60.94
2010-01-07,60.58
2010-01-08,60.36
2010-01-11,60.08
2010-01-12,60.7
2010-01-13,61.04
2010-01-14,61.42
2010-01-15,61.6
2010-01-19,60.8
2010-01-20,60.97
2010-01-21,60.56
2010-01-22,59.75
2010-01-25,60.83
2010-01-26,60.17
2010-01-27,60.46
2010-01-28,61.67
2010-01-29,61.91
2010-02-01,61.85
2010-02-02,61.93
2010-02-03,62.74
2010-02-04,62.2
2010-02-05,61.09
2010-02-08,61.06
2010-02-09,61.38
