time_captured,CAT_Volume
2008-05-20,5570248
2008-05-21,7220264
2008-05-22,5026847
2008-05-23,5674833
2008-05-27,4871401
2008-05-28,4773690
2008-05-29,4195872
2008-05-30,4921665
2008-06-02,5882810
2008-06-03,4960122
2008-06-04,5743578
2008-06-05,6968191
2008-06-06,9445067
2008-06-09,5828813
2008-06-10,5986533
2008-06-11,9400997
2008-06-12,8053468
2008-06-13,5732446
2008-06-16,4537637
2008-06-17,4515906
2008-06-18,5739158
2008-06-19,6049051
2008-06-20,9065511
2008-06-23,6141007
2008-06-24,13075280
2008-06-25,8075150
2008-06-26,14485786
2008-06-27,11011776
2008-06-30,6664774
2008-07-01,9202912
2008-07-02,11513218
2008-07-03,7280669
2008-07-07,11684905
2008-07-08,10497953
2008-07-09,7059225
2008-07-10,9874200
2008-07-11,11521743
2008-07-14,6406218
2008-07-15,11041652
2008-07-16,10684228
2008-07-17,9091176
2008-07-18,7693364
2008-07-21,10185059
2008-07-22,12433915
2008-07-23,9295729
2008-07-24,8108593
2008-07-25,4727225
2008-07-28,5740459
2008-07-29,5234613
2008-07-30,4820450
2008-07-31,7185411
2008-08-01,6723625
2008-08-04,7415663
2008-08-05,6008727
2008-08-06,7390751
2008-08-07,7077762
2008-08-08,6544310
2008-08-11,3746815
2008-08-12,5713015
2008-08-13,9399217
2008-08-14,5671174
2008-08-15,5060733
2008-08-18,5527395
2008-08-19,4299730
2008-08-20,6401873
2008-08-21,5100734
2008-08-22,4258015
2008-08-25,4549778
2008-08-26,3391496
2008-08-27,3145015
2008-08-28,5520637
2008-08-29,4905287
2008-09-02,6973355
2008-09-03,8433257
2008-09-04,13685469
2008-09-05,9265104
2008-09-08,7218081
2008-09-09,10056330
2008-09-10,7916791
2008-09-11,9008205
2008-09-12,6967848
2008-09-15,7828824
2008-09-16,10035138
2008-09-17,9293942
2008-09-18,12983727
2008-09-19,15758552
2008-09-22,5921114
2008-09-23,6574247
2008-09-24,6657993
2008-09-25,7755511
2008-09-26,8264375
2008-09-29,12504538
2008-09-30,10166062
2008-10-01,15614057
2008-10-02,15011821
2008-10-03,11596468
2008-10-06,17852440
2008-10-07,13518849
2008-10-08,15858759
2008-10-09,11223234
2008-10-10,19740190
2008-10-13,10574031
2008-10-14,12061084
2008-10-15,12909621
2008-10-16,16082865
2008-10-17,18280553
2008-10-20,13389364
2008-10-21,14322227
2008-10-22,13842491
2008-10-23,17649870
2008-10-24,13391762
2008-10-27,12801257
2008-10-28,12814462
2008-10-29,16073147
2008-10-30,8690787
2008-10-31,9869112
2008-11-03,7619044
2008-11-04,11520592
2008-11-05,14048912
2008-11-06,13291260
2008-11-07,9256817
2008-11-10,13921221
2008-11-11,12705885
2008-11-12,10752519
2008-11-13,17361722
2008-11-14,11991192
2008-11-17,9383998
2008-11-18,12278638
2008-11-19,10596785
2008-11-20,19826136
2008-11-21,16836160
2008-11-24,16870555
2008-11-25,12931516
2008-11-26,11111165
2008-11-28,5429903
2008-12-01,13154111
2008-12-02,10440278
2008-12-03,14289390
2008-12-04,11379212
2008-12-05,14261127
2008-12-08,25502248
2008-12-09,15382520
2008-12-10,15431504
2008-12-11,12134107
2008-12-12,10398632
2008-12-15,8065274
2008-12-16,11652323
2008-12-17,9836953
2008-12-18,12695075
2008-12-19,13272227
2008-12-22,9148806
2008-12-23,6463280
2008-12-24,2115501
2008-12-26,2860058
2008-12-29,4974263
2008-12-30,5060557
2008-12-31,6277381
2009-01-02,7130450
2009-01-05,11099550
2009-01-06,10867174
2009-01-07,9035836
2009-01-08,9384160
2009-01-09,8872574
2009-01-12,9583771
2009-01-13,9281942
2009-01-14,17277671
2009-01-15,15449195
2009-01-16,12890087
2009-01-20,11890477
2009-01-21,10292572
2009-01-22,19277911
2009-01-23,22677313
2009-01-26,47444414
2009-01-27,20378216
2009-01-28,13487240
2009-01-29,14592701
2009-01-30,20959782
2009-02-02,16967332
2009-02-03,18883570
2009-02-04,17419265
2009-02-05,17794239
2009-02-06,17010042
2009-02-09,9067687
2009-02-10,17208728
2009-02-11,10550562
2009-02-12,13666548
2009-02-13,10188719
2009-02-17,22206963
2009-02-18,17864465
2009-02-19,17839493
2009-02-20,19735615
2009-02-23,16296249
2009-02-24,22358893
2009-02-25,17737459
2009-02-26,14301381
2009-02-27,16875881
2009-03-02,21017521
2009-03-03,22406593
2009-03-04,37257614
2009-03-05,21400683
2009-03-06,19999667
2009-03-09,19512594
2009-03-10,22468735
2009-03-11,15782030
2009-03-12,13787319
2009-03-13,10861356
2009-03-16,13217078
2009-03-17,14260456
2009-03-18,17979620
2009-03-19,17543534
2009-03-20,16536150
2009-03-23,14464865
2009-03-24,13693942
2009-03-25,20701972
2009-03-26,16161595
2009-03-27,11277622
2009-03-30,15828531
2009-03-31,13405844
2009-04-01,15308384
2009-04-02,21645529
2009-04-03,13674074
2009-04-06,11067877
2009-04-07,13160375
2009-04-08,12817123
2009-04-09,18173081
2009-04-13,12458996
