time_captured,UTX_Volume
2009-01-26,6421106
2009-01-27,5057378
2009-01-28,5065433
2009-01-29,6158654
2009-01-30,6782974
2009-02-02,6268283
2009-02-03,5429405
2009-02-04,5592962
2009-02-05,6629584
2009-02-06,7173936
2009-02-09,6983142
2009-02-10,8098375
2009-02-11,4513112
2009-02-12,6384701
2009-02-13,4447589
2009-02-17,10874363
2009-02-18,6362301
2009-02-19,5531644
2009-02-20,8530896
2009-02-23,7521985
2009-02-24,9434671
2009-02-25,10247806
2009-02-26,7871593
2009-02-27,13033839
2009-03-02,13265335
2009-03-03,11500387
2009-03-04,9739889
2009-03-05,10798550
2009-03-06,12190207
2009-03-09,7759071
2009-03-10,12141599
2009-03-11,10084732
2009-03-12,7692375
2009-03-13,9083190
2009-03-16,8389112
2009-03-17,7257521
2009-03-18,8685342
2009-03-19,7088853
2009-03-20,10383833
2009-03-23,8082689
2009-03-24,6323205
2009-03-25,10556002
2009-03-26,9179286
2009-03-27,5513913
2009-03-30,6530893
2009-03-31,6441685
2009-04-01,7209873
2009-04-02,10199816
2009-04-03,6503461
2009-04-06,5578352
2009-04-07,5858530
2009-04-08,6741261
2009-04-09,7804027
2009-04-13,5079911
2009-04-14,6048890
2009-04-15,6056281
2009-04-16,5616514
2009-04-17,6684552
2009-04-20,5878808
2009-04-21,10770734
2009-04-22,8228654
2009-04-23,8005515
2009-04-24,7701329
2009-04-27,4781916
2009-04-28,3581796
2009-04-29,5533731
2009-04-30,6552055
2009-05-01,4495236
2009-05-04,6941544
2009-05-05,4930292
2009-05-06,4994979
2009-05-07,6311482
2009-05-08,7328632
2009-05-11,5339790
2009-05-12,6528033
2009-05-13,8070269
2009-05-14,6675128
2009-05-15,7094639
2009-05-18,5998754
2009-05-19,5573333
2009-05-20,6130847
2009-05-21,6178537
2009-05-22,4294959
2009-05-26,5329366
2009-05-27,4974184
2009-05-28,5009605
2009-05-29,4778317
2009-06-01,5974873
2009-06-02,5478757
2009-06-03,4971100
2009-06-04,5098604
2009-06-05,8450079
2009-06-08,5248228
2009-06-09,5881324
2009-06-10,6008592
