time_captured,NKE_Volume
2008-08-26,11962644
2008-08-27,9242912
2008-08-28,9265256
2008-08-29,6644728
2008-09-02,13534780
2008-09-03,12368492
2008-09-04,11733608
2008-09-05,13754568
2008-09-08,12672408
2008-09-09,14018820
2008-09-10,14780616
2008-09-11,13285964
2008-09-12,13172604
2008-09-15,14310616
2008-09-16,14471628
2008-09-17,19561556
2008-09-18,50457512
2008-09-19,28968472
2008-09-22,16620808
2008-09-23,17417032
2008-09-24,18742220
2008-09-25,46048860
2008-09-26,30228376
2008-09-29,31568412
2008-09-30,21366164
2008-10-01,14877404
2008-10-02,21488852
2008-10-03,16807956
2008-10-06,34281412
2008-10-07,18095516
2008-10-08,36857944
2008-10-09,24248480
2008-10-10,38996024
2008-10-13,26116240
2008-10-14,32041440
2008-10-15,28835964
2008-10-16,33808316
2008-10-17,24772888
2008-10-20,21467340
2008-10-21,17497076
2008-10-22,26076500
2008-10-23,29143748
2008-10-24,30127412
2008-10-27,15547524
2008-10-28,25963524
2008-10-29,17874396
2008-10-30,24024016
2008-10-31,21066108
2008-11-03,12396664
2008-11-04,12761172
2008-11-05,16673144
2008-11-06,28529968
2008-11-07,24364004
2008-11-10,21672688
2008-11-11,29281872
2008-11-12,19592224
2008-11-13,24962656
2008-11-14,17134692
2008-11-17,17845512
2008-11-18,19340004
2008-11-19,16256956
2008-11-20,27161896
2008-11-21,25641876
2008-11-24,18595372
2008-11-25,23983168
2008-11-26,15838456
2008-11-28,7490752
2008-12-01,14166180
2008-12-02,16110148
2008-12-03,17430800
2008-12-04,21545344
2008-12-05,13825408
2008-12-08,32329420
2008-12-09,19459728
2008-12-10,25456556
2008-12-11,16479972
2008-12-12,14694492
2008-12-15,13593068
2008-12-16,24551588
2008-12-17,15447024
2008-12-18,24660832
2008-12-19,24401064
2008-12-22,13785688
2008-12-23,13102120
2008-12-24,4385152
2008-12-26,4919296
2008-12-29,9346224
2008-12-30,9626524
2008-12-31,15089904
2009-01-02,12029104
2009-01-05,12913460
2009-01-06,15290724
2009-01-07,20164708
2009-01-08,15730268
2009-01-09,13246460
2009-01-12,13730492
2009-01-13,15579336
2009-01-14,27404164
2009-01-15,16433676
2009-01-16,14117116
2009-01-20,14745712
2009-01-21,13943640
2009-01-22,14369800
2009-01-23,11379196
2009-01-26,8005236
2009-01-27,9689224
2009-01-28,11911144
2009-01-29,8737628
2009-01-30,10670292
2009-02-02,10016724
2009-02-03,11098580
2009-02-04,15054880
2009-02-05,14454168
2009-02-06,13867140
2009-02-09,11381540
2009-02-10,18016488
2009-02-11,23980288
2009-02-12,14872912
2009-02-13,12082624
2009-02-17,22278340
2009-02-18,23450508
2009-02-19,13044556
2009-02-20,12084092
2009-02-23,12916996
2009-02-24,13858180
2009-02-25,15885088
2009-02-26,12649004
2009-02-27,18738784
2009-03-02,17423488
2009-03-03,17107744
2009-03-04,16695504
2009-03-05,23676876
2009-03-06,23967396
2009-03-09,20695216
2009-03-10,22955816
2009-03-11,19248392
2009-03-12,18112708
2009-03-13,19899872
2009-03-16,16623148
2009-03-17,21866792
2009-03-18,23451944
2009-03-19,32281944
2009-03-20,24951516
2009-03-23,14384824
2009-03-24,12832136
2009-03-25,13444040
2009-03-26,14117796
2009-03-27,7961844
2009-03-30,13289184
2009-03-31,17907820
2009-04-01,13007024
2009-04-02,23882288
2009-04-03,14375788
2009-04-06,11080040
2009-04-07,11580376
2009-04-08,13103264
2009-04-09,18044736
2009-04-13,13202328
2009-04-14,16975748
2009-04-15,11099892
2009-04-16,11566260
2009-04-17,13864020
2009-04-20,9961324
2009-04-21,10292708
2009-04-22,14134776
2009-04-23,12211972
2009-04-24,8396144
2009-04-27,9206484
2009-04-28,9880640
2009-04-29,21858180
2009-04-30,19326576
2009-05-01,13902160
2009-05-04,14549884
2009-05-05,13247816
2009-05-06,14808580
2009-05-07,18546624
2009-05-08,11371788
2009-05-11,15055652
2009-05-12,24275584
2009-05-13,18298800
2009-05-14,16698192
2009-05-15,14715132
2009-05-18,10860100
2009-05-19,14625616
2009-05-20,14863180
2009-05-21,15341052
2009-05-22,14839384
2009-05-26,16771288
2009-05-27,15127200
2009-05-28,15040700
2009-05-29,16569060
2009-06-01,17614744
2009-06-02,18942788
2009-06-03,14018596
2009-06-04,13098060
2009-06-05,16451580
2009-06-08,10683472
2009-06-09,9716428
2009-06-10,23840396
2009-06-11,15452268
2009-06-12,15486768
2009-06-15,12912804
2009-06-16,9774008
2009-06-17,13586452
2009-06-18,17699956
2009-06-19,15353480
2009-06-22,12300092
2009-06-23,16074064
2009-06-24,20202324
2009-06-25,59607068
2009-06-26,21367028
2009-06-29,13824984
2009-06-30,11700568
2009-07-01,12365180
2009-07-02,15326680
2009-07-06,14879056
2009-07-07,12185780
2009-07-08,10413696
2009-07-09,8537936
2009-07-10,9436172
2009-07-13,12469104
2009-07-14,8017556
2009-07-15,15544780
2009-07-16,13356360
2009-07-17,13101592
2009-07-20,10645928
2009-07-21,11007372
2009-07-22,14300996
2009-07-23,21532924
2009-07-24,14731024
2009-07-27,6276424
2009-07-28,10553120
2009-07-29,21215064
2009-07-30,20059692
2009-07-31,21796932
2009-08-03,13509884
2009-08-04,14842868
2009-08-05,16333564
2009-08-06,14561340
2009-08-07,11448296
2009-08-10,9543976
2009-08-11,7614400
2009-08-12,12197272
2009-08-13,8377856
2009-08-14,9124968
2009-08-17,10980960
2009-08-18,13312428
2009-08-19,11306220
2009-08-20,11903652
2009-08-21,22557308
2009-08-24,15237788
2009-08-25,18325132
2009-08-26,13399316
2009-08-27,19081992
2009-08-28,8578304
2009-08-31,7354616
2009-09-01,20162108
2009-09-02,17540988
2009-09-03,14086280
2009-09-04,9705956
2009-09-08,11600948
2009-09-09,15984080
2009-09-10,18653036
2009-09-11,17368176
2009-09-14,14299112
2009-09-15,14818536
2009-09-16,24346788
2009-09-17,14762240
2009-09-18,11525472
2009-09-21,9472720
2009-09-22,12374064
2009-09-23,43572216
2009-09-24,26221588
2009-09-25,17494628
2009-09-28,10106544
2009-09-29,34763224
2009-09-30,67175168
2009-10-01,33036184
2009-10-02,22568112
2009-10-05,11873328
2009-10-06,14605892
2009-10-07,8762776
2009-10-08,9364976
2009-10-09,8869888
2009-10-12,6200300
2009-10-13,7062364
2009-10-14,14631692
2009-10-15,14647528
2009-10-16,14617132
2009-10-19,18513464
2009-10-20,13559640
2009-10-21,13313316
2009-10-22,9991052
2009-10-23,12698240
2009-10-26,11814060
2009-10-27,15711604
2009-10-28,14820652
2009-10-29,10849024
2009-10-30,14672028
2009-11-02,11526632
2009-11-03,10989504
2009-11-04,8674876
2009-11-05,10578256
2009-11-06,7635592
2009-11-09,9146832
2009-11-10,9898224
2009-11-11,6680660
2009-11-12,6617260
2009-11-13,7310892
2009-11-16,10380108
2009-11-17,7854268
2009-11-18,8098052
2009-11-19,9853128
2009-11-20,12614652
2009-11-23,9432116
2009-11-24,6449104
2009-11-25,7986012
2009-11-27,4698940
2009-11-30,9261160
2009-12-01,7950640
2009-12-02,5937144
2009-12-03,11035164
2009-12-04,10180200
2009-12-07,8948216
2009-12-08,14511128
2009-12-09,23438368
2009-12-10,11972420
2009-12-11,10860092
2009-12-14,9257952
2009-12-15,9605016
2009-12-16,7639616
2009-12-17,11679896
2009-12-18,20323488
2009-12-21,7399540
2009-12-22,8238984
2009-12-23,6148744
2009-12-24,2302216
2009-12-28,5648076
2009-12-29,8083232
2009-12-30,6932156
2009-12-31,6347696
2010-01-04,11972588
2010-01-05,6275456
2010-01-06,13399228
2010-01-07,7187644
2010-01-08,7249636
2010-01-11,10678264
2010-01-12,11485716
2010-01-13,5648964
2010-01-14,7311924
2010-01-15,11293260
2010-01-19,7453408
2010-01-20,8008488
2010-01-21,13983524
2010-01-22,13320016
2010-01-25,10749948
2010-01-26,6711472
2010-01-27,13560552
2010-01-28,7158124
2010-01-29,10402524
2010-02-01,6407752
2010-02-02,9539576
2010-02-03,7889372
2010-02-04,17924940
2010-02-05,13110920
2010-02-08,8177264
2010-02-09,9438112
2010-02-10,7698544
2010-02-11,7010016
2010-02-12,11152280
2010-02-16,9628152
2010-02-17,10640436
2010-02-18,6468024
2010-02-19,9498164
2010-02-22,6865096
2010-02-23,7738996
2010-02-24,11618192
2010-02-25,15967968
2010-02-26,19633328
2010-03-01,10674192
2010-03-02,9845124
2010-03-03,8670780
2010-03-04,6306436
2010-03-05,7460368
2010-03-08,7084320
2010-03-09,6042656
2010-03-10,5592988
2010-03-11,6960160
2010-03-12,7208752
2010-03-15,9514396
2010-03-16,10107340
2010-03-17,14751608
2010-03-18,43696248
2010-03-19,18789700
2010-03-22,11696044
2010-03-23,8986368
2010-03-24,11069208
2010-03-25,11321656
2010-03-26,8661752
2010-03-29,6522584
2010-03-30,6461384
2010-03-31,7916216
2010-04-01,8376500
2010-04-05,7081792
2010-04-06,8428384
2010-04-07,8851352
2010-04-08,10410788
2010-04-09,12502044
2010-04-12,8867356
2010-04-13,7025388
2010-04-14,6804768
2010-04-15,7014684
2010-04-16,13739560
2010-04-19,8790652
2010-04-20,9584520
2010-04-21,10801048
2010-04-22,13849100
2010-04-23,10151420
2010-04-26,6050480
2010-04-27,11016848
2010-04-28,10812004
2010-04-29,9083752
2010-04-30,9869992
2010-05-03,8428516
2010-05-04,14530532
2010-05-05,17310512
2010-05-06,26330008
2010-05-07,21502604
2010-05-10,26477888
2010-05-11,13755332
2010-05-12,9956092
2010-05-13,20977092
2010-05-14,19014156
2010-05-17,16944468
2010-05-18,18855980
2010-05-19,23479108
2010-05-20,25056476
2010-05-21,17064048
2010-05-24,22684704
2010-05-25,21164356
2010-05-26,16727324
2010-05-27,14743764
2010-05-28,15556972
2010-06-01,14684012
2010-06-02,12661096
2010-06-03,11356936
2010-06-04,15403984
2010-06-07,11056508
