time_captured,02_on_raw_accX
1970-01-01 00:00:00.000000294,-403.576
1970-01-01 00:00:00.000000295,-223.382
1970-01-01 00:00:00.000000296,490.44
1970-01-01 00:00:00.000000297,1159.732
1970-01-01 00:00:00.000000298,63.196
1970-01-01 00:00:00.000000299,-1171.078
1970-01-01 00:00:00.000000300,-716.75
1970-01-01 00:00:00.000000301,-410.652
1970-01-01 00:00:00.000000302,-557.052
1970-01-01 00:00:00.000000303,-208.132
1970-01-01 00:00:00.000000304,-24.278
1970-01-01 00:00:00.000000305,587.186
1970-01-01 00:00:00.000000306,941.962
1970-01-01 00:00:00.000000307,-126.026
1970-01-01 00:00:00.000000308,-968.314
1970-01-01 00:00:00.000000309,-516.182
1970-01-01 00:00:00.000000310,-410.774
1970-01-01 00:00:00.000000311,-580.354
1970-01-01 00:00:00.000000312,-52.948
1970-01-01 00:00:00.000000313,-7.564
1970-01-01 00:00:00.000000314,881.206
1970-01-01 00:00:00.000000315,524.966
1970-01-01 00:00:00.000000316,-330.498
1970-01-01 00:00:00.000000317,-776.53
1970-01-01 00:00:00.000000318,-355.386
1970-01-01 00:00:00.000000319,-401.868
1970-01-01 00:00:00.000000320,-562.786
1970-01-01 00:00:00.000000321,-84.302
1970-01-01 00:00:00.000000322,142.862
1970-01-01 00:00:00.000000323,1100.44
1970-01-01 00:00:00.000000324,1197.796
1970-01-01 00:00:00.000000325,-548.024
1970-01-01 00:00:00.000000326,-741.15
1970-01-01 00:00:00.000000327,-741.15
1970-01-01 00:00:00.000000328,-444.568
1970-01-01 00:00:00.000000329,-644.892
1970-01-01 00:00:00.000000330,-181.902
1970-01-01 00:00:00.000000331,265.716
1970-01-01 00:00:00.000000332,1068.598
1970-01-01 00:00:00.000000333,927.81
1970-01-01 00:00:00.000000334,-691.374
1970-01-01 00:00:00.000000335,-581.33
1970-01-01 00:00:00.000000336,-581.33
1970-01-01 00:00:00.000000337,-492.514
1970-01-01 00:00:00.000000338,-505.324
1970-01-01 00:00:00.000000339,-178.608
1970-01-01 00:00:00.000000340,412.482
1970-01-01 00:00:00.000000341,1238.666
1970-01-01 00:00:00.000000342,29.89
1970-01-01 00:00:00.000000343,-842.288
1970-01-01 00:00:00.000000344,-647.698
1970-01-01 00:00:00.000000345,-250.954
1970-01-01 00:00:00.000000346,-448.228
1970-01-01 00:00:00.000000347,-531.798
1970-01-01 00:00:00.000000348,-246.196
1970-01-01 00:00:00.000000349,502.518
1970-01-01 00:00:00.000000350,1220.244
1970-01-01 00:00:00.000000351,40.016
1970-01-01 00:00:00.000000352,-1140.7
1970-01-01 00:00:00.000000353,-702.964
1970-01-01 00:00:00.000000354,-309.88
1970-01-01 00:00:00.000000355,-457.988
1970-01-01 00:00:00.000000356,-288.896
1970-01-01 00:00:00.000000357,-248.88
1970-01-01 00:00:00.000000358,569.252
1970-01-01 00:00:00.000000359,1257.942
1970-01-01 00:00:00.000000360,-60.146
1970-01-01 00:00:00.000000361,-1183.644
1970-01-01 00:00:00.000000362,-451.156
