time_captured,MCD_Low
2009-01-06,61.83
2009-01-07,60.84
2009-01-08,59.7
2009-01-09,59.85
2009-01-12,59.75
2009-01-13,58.82
2009-01-14,56.41
2009-01-15,56.55
2009-01-16,58.54
2009-01-20,56.91
2009-01-21,57.16
2009-01-22,57.69
2009-01-23,56.75
2009-01-26,56.45
2009-01-27,58.3
2009-01-28,58.31
2009-01-29,58.02
2009-01-30,57.37
2009-02-02,57.45
2009-02-03,57.19
2009-02-04,57.5
2009-02-05,57.07
2009-02-06,58.12
2009-02-09,58.05
2009-02-10,56.88
2009-02-11,56.63
2009-02-12,55.63
2009-02-13,56.69
2009-02-17,55.26
2009-02-18,55.55
2009-02-19,55.31
2009-02-20,54.05
2009-02-23,53.69
2009-02-24,53.92
2009-02-25,53.92
2009-02-26,52.06
2009-02-27,51.5
2009-03-02,51.28
2009-03-03,52.14
2009-03-04,52.29
2009-03-05,50.44
2009-03-06,50.9
2009-03-09,51.31
2009-03-10,52.07
2009-03-11,50.69
2009-03-12,50.51
2009-03-13,51.87
2009-03-16,51.55
2009-03-17,51.36
2009-03-18,53.42
2009-03-19,54.3
2009-03-20,52.94
2009-03-23,53.1
2009-03-24,53.38
2009-03-25,53.25
2009-03-26,54.78
2009-03-27,54.84
2009-03-30,53.03
2009-03-31,54.27
2009-04-01,53.87
2009-04-02,55.63
2009-04-03,55.56
2009-04-06,55.6
2009-04-07,54.6
2009-04-08,55.05
2009-04-09,56.16
2009-04-13,55.9
2009-04-14,54.52
2009-04-15,53.03
2009-04-16,53.8
2009-04-17,54.8
2009-04-20,55.14
2009-04-21,54.95
2009-04-22,54.2
2009-04-23,54.01
2009-04-24,54.05
2009-04-27,53.77
2009-04-28,54.0
2009-04-29,54.2
2009-04-30,53.1
2009-05-01,51.76
2009-05-04,52.5
2009-05-05,52.97
2009-05-06,53.39
2009-05-07,52.94
2009-05-08,54.51
2009-05-11,54.04
2009-05-12,53.25
2009-05-13,53.14
2009-05-14,53.24
2009-05-15,53.03
2009-05-18,53.04
2009-05-19,53.72
2009-05-20,55.02
2009-05-21,55.22
2009-05-22,55.69
2009-05-26,56.78
2009-05-27,57.77
2009-05-28,57.4
2009-05-29,57.69
2009-06-01,58.92
2009-06-02,59.48
2009-06-03,59.75
2009-06-04,59.8
2009-06-05,59.35
2009-06-08,57.75
2009-06-09,58.75
2009-06-10,57.87
2009-06-11,57.63
2009-06-12,57.5
2009-06-15,57.24
2009-06-16,56.82
2009-06-17,57.21
2009-06-18,57.21
2009-06-19,58.0
2009-06-22,57.13
2009-06-23,56.64
2009-06-24,56.04
2009-06-25,56.15
2009-06-26,56.75
2009-06-29,56.6
2009-06-30,57.21
2009-07-01,57.65
2009-07-02,57.25
2009-07-06,56.8
2009-07-07,56.75
2009-07-08,56.44
2009-07-09,56.28
2009-07-10,56.56
2009-07-13,56.56
2009-07-14,56.86
2009-07-15,56.71
2009-07-16,56.92
2009-07-17,57.26
2009-07-20,57.98
2009-07-21,57.91
2009-07-22,58.48
2009-07-23,55.62
2009-07-24,55.75
2009-07-27,55.7
2009-07-28,55.8
2009-07-29,56.2
2009-07-30,55.55
2009-07-31,54.92
2009-08-03,54.68
2009-08-04,54.91
2009-08-05,54.8
2009-08-06,54.67
2009-08-07,54.79
2009-08-10,55.75
2009-08-11,55.85
2009-08-12,55.76
2009-08-13,55.56
2009-08-14,54.83
2009-08-17,54.5
2009-08-18,54.43
2009-08-19,55.11
2009-08-20,55.65
2009-08-21,56.05
2009-08-24,55.7
