time_captured,01_off_raw_accZ
1970-01-01 00:00:00.000000337,964.654
1970-01-01 00:00:00.000000338,962.092
1970-01-01 00:00:00.000000339,959.164
1970-01-01 00:00:00.000000340,964.288
1970-01-01 00:00:00.000000341,964.898
1970-01-01 00:00:00.000000342,960.018
1970-01-01 00:00:00.000000343,964.898
1970-01-01 00:00:00.000000344,963.434
1970-01-01 00:00:00.000000345,962.214
1970-01-01 00:00:00.000000346,964.776
1970-01-01 00:00:00.000000347,967.948
1970-01-01 00:00:00.000000348,963.8
1970-01-01 00:00:00.000000349,962.336
1970-01-01 00:00:00.000000350,969.534
1970-01-01 00:00:00.000000351,963.068
1970-01-01 00:00:00.000000352,961.726
1970-01-01 00:00:00.000000353,963.556
1970-01-01 00:00:00.000000354,962.336
1970-01-01 00:00:00.000000355,959.53
1970-01-01 00:00:00.000000356,963.312
1970-01-01 00:00:00.000000357,965.386
1970-01-01 00:00:00.000000358,963.19
1970-01-01 00:00:00.000000359,962.214
1970-01-01 00:00:00.000000360,964.776
1970-01-01 00:00:00.000000361,962.702
1970-01-01 00:00:00.000000362,959.652
1970-01-01 00:00:00.000000363,959.652
1970-01-01 00:00:00.000000364,963.068
1970-01-01 00:00:00.000000365,961.604
1970-01-01 00:00:00.000000366,960.628
1970-01-01 00:00:00.000000367,963.434
1970-01-01 00:00:00.000000368,962.58
1970-01-01 00:00:00.000000369,961.726
1970-01-01 00:00:00.000000370,965.63
1970-01-01 00:00:00.000000371,962.458
1970-01-01 00:00:00.000000372,961.482
1970-01-01 00:00:00.000000373,961.482
1970-01-01 00:00:00.000000374,968.192
1970-01-01 00:00:00.000000375,966.24
1970-01-01 00:00:00.000000376,958.92
1970-01-01 00:00:00.000000377,965.386
1970-01-01 00:00:00.000000378,964.532
1970-01-01 00:00:00.000000379,961.238
1970-01-01 00:00:00.000000380,964.532
1970-01-01 00:00:00.000000381,961.238
1970-01-01 00:00:00.000000382,960.872
1970-01-01 00:00:00.000000383,960.872
1970-01-01 00:00:00.000000384,965.264
1970-01-01 00:00:00.000000385,965.874
1970-01-01 00:00:00.000000386,956.724
1970-01-01 00:00:00.000000387,965.996
1970-01-01 00:00:00.000000388,964.044
1970-01-01 00:00:00.000000389,961.36
1970-01-01 00:00:00.000000390,966.484
1970-01-01 00:00:00.000000391,962.214
1970-01-01 00:00:00.000000392,961.36
1970-01-01 00:00:00.000000393,961.36
1970-01-01 00:00:00.000000394,964.532
1970-01-01 00:00:00.000000395,968.192
1970-01-01 00:00:00.000000396,961.482
1970-01-01 00:00:00.000000397,965.142
1970-01-01 00:00:00.000000398,968.314
1970-01-01 00:00:00.000000399,961.848
1970-01-01 00:00:00.000000400,962.946
1970-01-01 00:00:00.000000401,964.044
1970-01-01 00:00:00.000000402,961.482
1970-01-01 00:00:00.000000403,965.874
1970-01-01 00:00:00.000000404,967.216
1970-01-01 00:00:00.000000405,968.436
1970-01-01 00:00:00.000000406,959.408
1970-01-01 00:00:00.000000407,961.604
1970-01-01 00:00:00.000000408,967.094
1970-01-01 00:00:00.000000409,962.702
1970-01-01 00:00:00.000000410,962.946
1970-01-01 00:00:00.000000411,965.142
1970-01-01 00:00:00.000000412,964.288
1970-01-01 00:00:00.000000413,963.068
1970-01-01 00:00:00.000000414,960.384
1970-01-01 00:00:00.000000415,960.018
1970-01-01 00:00:00.000000416,958.676
1970-01-01 00:00:00.000000417,962.214
1970-01-01 00:00:00.000000418,968.07
1970-01-01 00:00:00.000000419,959.408
1970-01-01 00:00:00.000000420,960.14
1970-01-01 00:00:00.000000421,965.63
1970-01-01 00:00:00.000000422,962.214
1970-01-01 00:00:00.000000423,959.408
1970-01-01 00:00:00.000000424,963.678
1970-01-01 00:00:00.000000425,961.604
1970-01-01 00:00:00.000000426,962.702
1970-01-01 00:00:00.000000427,963.19
1970-01-01 00:00:00.000000428,963.8
1970-01-01 00:00:00.000000429,959.408
1970-01-01 00:00:00.000000430,960.018
1970-01-01 00:00:00.000000431,962.092
1970-01-01 00:00:00.000000432,961.604
1970-01-01 00:00:00.000000433,960.872
1970-01-01 00:00:00.000000434,961.238
1970-01-01 00:00:00.000000435,963.068
1970-01-01 00:00:00.000000436,963.19
1970-01-01 00:00:00.000000437,961.848
1970-01-01 00:00:00.000000438,963.556
1970-01-01 00:00:00.000000439,962.58
1970-01-01 00:00:00.000000440,963.312
1970-01-01 00:00:00.000000441,965.264
1970-01-01 00:00:00.000000442,960.14
1970-01-01 00:00:00.000000443,962.58
1970-01-01 00:00:00.000000444,963.312
1970-01-01 00:00:00.000000445,962.946
1970-01-01 00:00:00.000000446,963.068
1970-01-01 00:00:00.000000447,961.97
1970-01-01 00:00:00.000000448,962.458
1970-01-01 00:00:00.000000449,962.214
1970-01-01 00:00:00.000000450,956.968
1970-01-01 00:00:00.000000451,962.458
1970-01-01 00:00:00.000000452,960.994
1970-01-01 00:00:00.000000453,960.506
1970-01-01 00:00:00.000000454,964.41
1970-01-01 00:00:00.000000455,960.994
1970-01-01 00:00:00.000000456,961.36
1970-01-01 00:00:00.000000457,959.286
1970-01-01 00:00:00.000000458,961.36
1970-01-01 00:00:00.000000459,960.994
1970-01-01 00:00:00.000000460,956.114
1970-01-01 00:00:00.000000461,959.774
1970-01-01 00:00:00.000000462,962.58
1970-01-01 00:00:00.000000463,958.676
1970-01-01 00:00:00.000000464,961.97
1970-01-01 00:00:00.000000465,962.824
1970-01-01 00:00:00.000000466,959.53
1970-01-01 00:00:00.000000467,959.652
1970-01-01 00:00:00.000000468,962.58
1970-01-01 00:00:00.000000469,963.068
1970-01-01 00:00:00.000000470,956.236
1970-01-01 00:00:00.000000471,960.506
1970-01-01 00:00:00.000000472,964.532
1970-01-01 00:00:00.000000473,957.334
1970-01-01 00:00:00.000000474,959.286
1970-01-01 00:00:00.000000475,960.628
1970-01-01 00:00:00.000000476,959.286
1970-01-01 00:00:00.000000477,958.188
1970-01-01 00:00:00.000000478,961.238
1970-01-01 00:00:00.000000479,963.19
1970-01-01 00:00:00.000000480,958.188
1970-01-01 00:00:00.000000481,964.044
