time_captured,JPM_Volume
2009-03-26,133724931
2009-03-27,108619766
2009-03-30,104860471
2009-03-31,84307321
2009-04-01,106016822
2009-04-02,131840770
2009-04-03,80949489
2009-04-06,72187952
2009-04-07,73652589
2009-04-08,66538258
2009-04-09,147913000
2009-04-13,110196125
2009-04-14,109541379
2009-04-15,108069349
2009-04-16,132955926
2009-04-17,104962031
2009-04-20,109372119
2009-04-21,115629287
2009-04-22,124080216
2009-04-23,89366443
2009-04-24,117098029
2009-04-27,67841866
2009-04-28,65809864
2009-04-29,84731203
2009-04-30,94556895
2009-05-01,68254057
2009-05-04,100918366
2009-05-05,63510239
2009-05-06,102644801
2009-05-07,113228334
2009-05-08,110026329
2009-05-11,86807941
2009-05-12,94148853
2009-05-13,82160688
2009-05-14,68771499
2009-05-15,68300920
2009-05-18,71730806
2009-05-19,59860540
2009-05-20,77089360
2009-05-21,65068016
2009-05-22,39229944
2009-05-26,65487762
2009-05-27,76399448
2009-05-28,66107232
2009-05-29,61941772
2009-06-01,90184473
2009-06-02,159381609
2009-06-03,72136255
2009-06-04,70954116
2009-06-05,61583733
2009-06-08,61615056
2009-06-09,58992208
2009-06-10,60184453
2009-06-11,66560832
2009-06-12,41164088
2009-06-15,55388457
2009-06-16,56343992
2009-06-17,65456581
2009-06-18,63861440
2009-06-19,77009068
2009-06-22,70393196
2009-06-23,59046541
2009-06-24,50434379
2009-06-25,57205700
2009-06-26,46722495
2009-06-29,34914745
2009-06-30,39470545
2009-07-01,36469546
2009-07-02,38352125
2009-07-06,60663968
2009-07-07,56704856
2009-07-08,71793375
2009-07-09,41655510
2009-07-10,51037374
2009-07-13,70454179
2009-07-14,52923968
2009-07-15,84050086
2009-07-16,71465077
2009-07-17,61742241
2009-07-20,43554314
2009-07-21,43518273
2009-07-22,40142736
2009-07-23,56536814
2009-07-24,35332169
2009-07-27,30491184
2009-07-28,29035833
2009-07-29,29934538
2009-07-30,38530922
2009-07-31,39089490
2009-08-03,42957720
2009-08-04,43363702
2009-08-05,63334044
2009-08-06,54179565
2009-08-07,65708212
2009-08-10,43700563
2009-08-11,50699345
2009-08-12,43077025
2009-08-13,40385253
2009-08-14,38421084
2009-08-17,39162727
2009-08-18,29053576
2009-08-19,29394042
2009-08-20,29639540
2009-08-21,42863592
2009-08-24,40385157
2009-08-25,34835645
2009-08-26,31908382
2009-08-27,28975656
2009-08-28,27269166
2009-08-31,32251026
2009-09-01,51475326
2009-09-02,35898406
2009-09-03,35027838
2009-09-04,21880108
2009-09-08,28095097
2009-09-09,29039213
2009-09-10,25116549
2009-09-11,27296355
2009-09-14,28950261
2009-09-15,49988798
2009-09-16,38721892
2009-09-17,35705665
2009-09-18,39498505
2009-09-21,24069997
2009-09-22,41157763
2009-09-23,34452363
2009-09-24,42231338
2009-09-25,31061279
2009-09-28,25826098
2009-09-29,23930572
2009-09-30,40903919
2009-10-01,50562654
2009-10-02,43062265
2009-10-05,34435384
2009-10-06,41705369
2009-10-07,36148666
2009-10-08,36627638
2009-10-09,26034139
2009-10-12,24220586
2009-10-13,45701829
2009-10-14,70368648
2009-10-15,36105927
2009-10-16,37458936
2009-10-19,30415394
2009-10-20,30618891
2009-10-21,32991511
2009-10-22,32398751
2009-10-23,27639458
2009-10-26,42085476
2009-10-27,38086396
2009-10-28,45679483
2009-10-29,35898513
2009-10-30,58854000
2009-11-02,44605534
2009-11-03,29387727
2009-11-04,42548722
2009-11-05,32893228
2009-11-06,27144928
2009-11-09,38845466
2009-11-10,30980178
2009-11-11,32674799
2009-11-12,34655349
2009-11-13,36655692
2009-11-16,43535612
2009-11-17,25859629
2009-11-18,20424210
2009-11-19,26883918
2009-11-20,25332416
2009-11-23,29810622
2009-11-24,31881742
2009-11-25,26131141
2009-11-27,26230027
2009-11-30,38240518
2009-12-01,39220175
2009-12-02,32519645
2009-12-03,53314360
2009-12-04,61490232
2009-12-07,32949544
2009-12-08,41878869
2009-12-09,42499728
2009-12-10,36382982
2009-12-11,46616055
2009-12-14,35340705
2009-12-15,40244302
2009-12-16,43565371
2009-12-17,44272761
2009-12-18,48127607
2009-12-21,35993643
2009-12-22,24762010
2009-12-23,24503542
2009-12-24,7956428
2009-12-28,13042291
2009-12-29,15595238
2009-12-30,15504194
2009-12-31,20143085
2010-01-04,35463337
2010-01-05,41214102
2010-01-06,27731250
2010-01-07,44864655
2010-01-08,33110028
2010-01-11,31878678
2010-01-12,47115058
2010-01-13,39621999
2010-01-14,38002376
2010-01-15,69741561
2010-01-19,41740210
2010-01-20,39938496
2010-01-21,137547671
2010-01-22,106634855
2010-01-25,56576846
2010-01-26,52975239
2010-01-27,66324094
2010-01-28,65073527
2010-01-29,53655197
2010-02-01,37408104
2010-02-02,46019130
2010-02-03,37377626
2010-02-04,57211784
2010-02-05,75224101
2010-02-08,58320908
2010-02-09,45179625
2010-02-10,39331732
2010-02-11,33839394
2010-02-12,38055699
2010-02-16,46425240
2010-02-17,34650608
2010-02-18,31809500
2010-02-19,40295882
2010-02-22,43898838
2010-02-23,52233021
2010-02-24,44653539
2010-02-25,46723714
2010-02-26,67703269
2010-03-01,34615966
2010-03-02,33898020
2010-03-03,27564966
2010-03-04,25459141
2010-03-05,34794216
2010-03-08,28530182
2010-03-09,37107038
2010-03-10,40903641
2010-03-11,30128568
2010-03-12,31371963
2010-03-15,29148177
2010-03-16,28553791
2010-03-17,32920479
2010-03-18,26012001
2010-03-19,37014305
2010-03-22,23257201
2010-03-23,33740085
2010-03-24,36058923
2010-03-25,45023892
2010-03-26,39731914
2010-03-29,30634312
2010-03-30,30297920
2010-03-31,39047962
2010-04-01,23901929
2010-04-05,21347908
2010-04-06,28197602
2010-04-07,28895465
2010-04-08,28875019
2010-04-09,22889920
2010-04-12,24645845
2010-04-13,27988833
2010-04-14,72533037
2010-04-15,45420967
2010-04-16,121206568
2010-04-19,72141899
2010-04-20,39314079
2010-04-21,46327728
2010-04-22,63176893
2010-04-23,32489174
2010-04-26,42889274
2010-04-27,66296077
2010-04-28,48583712
2010-04-29,36520241
2010-04-30,54121062
2010-05-03,31230804
2010-05-04,48990389
2010-05-05,43062032
2010-05-06,78223575
2010-05-07,72976271
2010-05-10,66578277
2010-05-11,50771328
2010-05-12,47704069
