time_captured,PFE_Close
2009-07-07,14.59
2009-07-08,14.61
2009-07-09,14.29
2009-07-10,14.2
2009-07-13,14.76
2009-07-14,14.9
2009-07-15,15.02
2009-07-16,15.07
2009-07-17,14.96
2009-07-20,15.26
2009-07-21,15.7
2009-07-22,15.87
2009-07-23,16.15
2009-07-24,16.48
2009-07-27,16.62
2009-07-28,16.03
2009-07-29,15.75
2009-07-30,15.94
2009-07-31,15.93
2009-08-03,16.04
2009-08-04,16.07
2009-08-05,15.87
2009-08-06,15.79
2009-08-07,15.96
2009-08-10,15.91
2009-08-11,15.83
2009-08-12,15.86
2009-08-13,15.8
2009-08-14,15.77
2009-08-17,15.88
2009-08-18,15.98
2009-08-19,16.37
2009-08-20,16.23
2009-08-21,16.64
2009-08-24,16.73
2009-08-25,16.8
2009-08-26,16.77
2009-08-27,16.86
2009-08-28,16.81
2009-08-31,16.7
2009-09-01,16.38
2009-09-02,16.28
2009-09-03,16.08
2009-09-04,16.39
2009-09-08,16.21
2009-09-09,16.17
2009-09-10,16.34
2009-09-11,16.25
2009-09-14,16.36
2009-09-15,16.21
2009-09-16,16.42
2009-09-17,16.32
2009-09-18,16.51
2009-09-21,16.64
2009-09-22,16.8
2009-09-23,16.43
2009-09-24,16.44
2009-09-25,16.4
2009-09-28,16.57
2009-09-29,16.77
2009-09-30,16.55
2009-10-01,16.31
2009-10-02,16.15
2009-10-05,16.4
2009-10-06,16.78
2009-10-07,16.69
2009-10-08,16.7
2009-10-09,16.92
2009-10-12,17.1
2009-10-13,16.78
2009-10-14,17.37
2009-10-15,17.66
2009-10-16,17.77
2009-10-19,17.98
2009-10-20,17.93
2009-10-21,17.41
2009-10-22,17.56
2009-10-23,17.25
2009-10-26,17.12
2009-10-27,17.26
2009-10-28,17.21
2009-10-29,17.55
2009-10-30,17.03
2009-11-02,16.95
2009-11-03,16.89
2009-11-04,16.93
2009-11-05,17.02
2009-11-06,16.96
2009-11-09,17.43
2009-11-10,17.56
2009-11-11,17.62
2009-11-12,17.62
2009-11-13,17.59
2009-11-16,17.94
2009-11-17,17.94
2009-11-18,18.19
2009-11-19,18.11
2009-11-20,18.36
2009-11-23,18.53
2009-11-24,18.31
2009-11-25,18.59
2009-11-27,18.25
2009-11-30,18.17
2009-12-01,18.85
2009-12-02,18.74
2009-12-03,18.64
2009-12-04,18.49
2009-12-07,18.06
2009-12-08,17.76
2009-12-09,18.24
2009-12-10,18.32
