time_captured,02_on_raw_accZ
1970-01-01 00:00:00.000000348,718.092
1970-01-01 00:00:00.000000349,1168.272
1970-01-01 00:00:00.000000350,1463.146
1970-01-01 00:00:00.000000351,1115.202
1970-01-01 00:00:00.000000352,1131.916
1970-01-01 00:00:00.000000353,629.398
1970-01-01 00:00:00.000000354,553.27
1970-01-01 00:00:00.000000355,759.816
1970-01-01 00:00:00.000000356,1003.206
1970-01-01 00:00:00.000000357,845.338
1970-01-01 00:00:00.000000358,845.338
1970-01-01 00:00:00.000000359,1161.318
1970-01-01 00:00:00.000000360,1417.03
1970-01-01 00:00:00.000000361,1116.422
1970-01-01 00:00:00.000000362,385.276
1970-01-01 00:00:00.000000363,531.798
1970-01-01 00:00:00.000000364,661.972
1970-01-01 00:00:00.000000365,895.48
1970-01-01 00:00:00.000000366,1112.884
1970-01-01 00:00:00.000000367,1112.884
1970-01-01 00:00:00.000000368,723.094
1970-01-01 00:00:00.000000369,1244.156
1970-01-01 00:00:00.000000370,845.094
1970-01-01 00:00:00.000000371,695.278
1970-01-01 00:00:00.000000372,372.954
1970-01-01 00:00:00.000000373,1002.474
1970-01-01 00:00:00.000000374,937.692
1970-01-01 00:00:00.000000375,1209.142
1970-01-01 00:00:00.000000376,1546.838
1970-01-01 00:00:00.000000377,1535.492
1970-01-01 00:00:00.000000378,871.08
1970-01-01 00:00:00.000000379,879.376
1970-01-01 00:00:00.000000380,494.71
1970-01-01 00:00:00.000000381,334.524
1970-01-01 00:00:00.000000382,959.774
1970-01-01 00:00:00.000000383,985.028
1970-01-01 00:00:00.000000384,1180.472
1970-01-01 00:00:00.000000385,1180.472
1970-01-01 00:00:00.000000386,1036.268
1970-01-01 00:00:00.000000387,799.954
1970-01-01 00:00:00.000000388,810.446
1970-01-01 00:00:00.000000389,794.83
1970-01-01 00:00:00.000000390,224.846
1970-01-01 00:00:00.000000391,1115.934
1970-01-01 00:00:00.000000392,878.888
1970-01-01 00:00:00.000000393,995.764
1970-01-01 00:00:00.000000394,1532.198
1970-01-01 00:00:00.000000395,1253.916
1970-01-01 00:00:00.000000396,1004.914
1970-01-01 00:00:00.000000397,1235.128
1970-01-01 00:00:00.000000398,671.854
1970-01-01 00:00:00.000000399,366.366
1970-01-01 00:00:00.000000400,1199.748
1970-01-01 00:00:00.000000401,659.166
1970-01-01 00:00:00.000000402,1145.336
1970-01-01 00:00:00.000000403,1145.336
1970-01-01 00:00:00.000000404,1057.13
1970-01-01 00:00:00.000000405,1137.894
1970-01-01 00:00:00.000000406,651.114
1970-01-01 00:00:00.000000407,601.46
1970-01-01 00:00:00.000000408,1024.19
1970-01-01 00:00:00.000000409,1195.234
1970-01-01 00:00:00.000000410,674.416
1970-01-01 00:00:00.000000411,1075.308
1970-01-01 00:00:00.000000412,1381.406
1970-01-01 00:00:00.000000413,1157.658
1970-01-01 00:00:00.000000414,863.638
1970-01-01 00:00:00.000000415,281.942
1970-01-01 00:00:00.000000416,638.304
1970-01-01 00:00:00.000000417,1056.52
1970-01-01 00:00:00.000000418,904.752
1970-01-01 00:00:00.000000419,856.44
1970-01-01 00:00:00.000000420,899.628
1970-01-01 00:00:00.000000421,1699.582
1970-01-01 00:00:00.000000422,980.514
1970-01-01 00:00:00.000000423,1012.478
1970-01-01 00:00:00.000000424,312.076
1970-01-01 00:00:00.000000425,623.542
1970-01-01 00:00:00.000000426,866.566
1970-01-01 00:00:00.000000427,879.864
1970-01-01 00:00:00.000000428,793.366
1970-01-01 00:00:00.000000429,827.16
1970-01-01 00:00:00.000000430,2024.224
1970-01-01 00:00:00.000000431,1342.732
1970-01-01 00:00:00.000000432,853.634
1970-01-01 00:00:00.000000433,1122.888
1970-01-01 00:00:00.000000434,223.626
1970-01-01 00:00:00.000000435,1133.38
1970-01-01 00:00:00.000000436,878.4
1970-01-01 00:00:00.000000437,671.61
1970-01-01 00:00:00.000000438,1293.566
1970-01-01 00:00:00.000000439,1536.956
1970-01-01 00:00:00.000000440,1318.698
1970-01-01 00:00:00.000000441,874.984
1970-01-01 00:00:00.000000442,1044.808
1970-01-01 00:00:00.000000443,387.838
1970-01-01 00:00:00.000000444,1186.938
1970-01-01 00:00:00.000000445,664.29
1970-01-01 00:00:00.000000446,908.534
1970-01-01 00:00:00.000000447,1527.196
1970-01-01 00:00:00.000000448,1025.044
1970-01-01 00:00:00.000000449,1062.01
1970-01-01 00:00:00.000000450,1216.218
1970-01-01 00:00:00.000000451,927.932
1970-01-01 00:00:00.000000452,636.596
1970-01-01 00:00:00.000000453,877.546
1970-01-01 00:00:00.000000454,713.09
1970-01-01 00:00:00.000000455,1106.784
1970-01-01 00:00:00.000000456,1689.578
1970-01-01 00:00:00.000000457,690.154
1970-01-01 00:00:00.000000458,1027.24
