time_captured,06_c25_raw_accY
1970-01-01 00:00:00.000000292,-217.404
1970-01-01 00:00:00.000000293,-558.15
1970-01-01 00:00:00.000000294,-278.526
1970-01-01 00:00:00.000000295,-647.332
1970-01-01 00:00:00.000000296,62.586
1970-01-01 00:00:00.000000297,-145.424
1970-01-01 00:00:00.000000298,160.674
1970-01-01 00:00:00.000000299,-246.074
1970-01-01 00:00:00.000000300,-338.184
1970-01-01 00:00:00.000000301,-184.708
1970-01-01 00:00:00.000000302,223.26
1970-01-01 00:00:00.000000303,137.738
1970-01-01 00:00:00.000000304,-192.76
1970-01-01 00:00:00.000000305,225.456
1970-01-01 00:00:00.000000306,-327.204
1970-01-01 00:00:00.000000307,603.9
1970-01-01 00:00:00.000000308,226.676
1970-01-01 00:00:00.000000309,492.88
1970-01-01 00:00:00.000000310,-28.304
1970-01-01 00:00:00.000000311,139.568
1970-01-01 00:00:00.000000312,-356.85
1970-01-01 00:00:00.000000313,-18.422
1970-01-01 00:00:00.000000314,-333.06
1970-01-01 00:00:00.000000315,-163.114
1970-01-01 00:00:00.000000316,-211.548
1970-01-01 00:00:00.000000317,-160.186
1970-01-01 00:00:00.000000318,-275.964
1970-01-01 00:00:00.000000319,163.358
1970-01-01 00:00:00.000000320,163.358
1970-01-01 00:00:00.000000321,264.984
1970-01-01 00:00:00.000000322,100.406
1970-01-01 00:00:00.000000323,-199.47
1970-01-01 00:00:00.000000324,399.062
1970-01-01 00:00:00.000000325,114.802
1970-01-01 00:00:00.000000326,163.48
1970-01-01 00:00:00.000000327,-216.428
1970-01-01 00:00:00.000000328,-226.31
1970-01-01 00:00:00.000000329,-482.998
1970-01-01 00:00:00.000000330,-562.786
1970-01-01 00:00:00.000000331,151.89
1970-01-01 00:00:00.000000332,-182.39
1970-01-01 00:00:00.000000333,-216.062
1970-01-01 00:00:00.000000334,184.464
1970-01-01 00:00:00.000000335,471.164
1970-01-01 00:00:00.000000336,168.604
1970-01-01 00:00:00.000000337,598.288
1970-01-01 00:00:00.000000338,598.288
1970-01-01 00:00:00.000000339,442.25
1970-01-01 00:00:00.000000340,221.186
1970-01-01 00:00:00.000000341,60.024
1970-01-01 00:00:00.000000342,-187.392
1970-01-01 00:00:00.000000343,-451.278
1970-01-01 00:00:00.000000344,116.754
1970-01-01 00:00:00.000000345,-392.962
1970-01-01 00:00:00.000000346,-39.894
1970-01-01 00:00:00.000000347,-39.894
1970-01-01 00:00:00.000000348,201.91
1970-01-01 00:00:00.000000349,408.212
1970-01-01 00:00:00.000000350,251.076
1970-01-01 00:00:00.000000351,297.924
1970-01-01 00:00:00.000000352,-89.914
1970-01-01 00:00:00.000000353,-38.552
1970-01-01 00:00:00.000000354,-31.476
1970-01-01 00:00:00.000000355,-340.502
1970-01-01 00:00:00.000000356,-340.502
1970-01-01 00:00:00.000000357,4.758
1970-01-01 00:00:00.000000358,23.424
1970-01-01 00:00:00.000000359,591.822
1970-01-01 00:00:00.000000360,321.592
1970-01-01 00:00:00.000000361,-443.47
1970-01-01 00:00:00.000000362,123.952
1970-01-01 00:00:00.000000363,39.162
1970-01-01 00:00:00.000000364,-21.838
1970-01-01 00:00:00.000000365,-462.746
1970-01-01 00:00:00.000000366,203.984
1970-01-01 00:00:00.000000367,314.76
1970-01-01 00:00:00.000000368,-105.042
1970-01-01 00:00:00.000000369,-42.822
1970-01-01 00:00:00.000000370,223.26
1970-01-01 00:00:00.000000371,400.282
1970-01-01 00:00:00.000000372,346.358
1970-01-01 00:00:00.000000373,607.682
1970-01-01 00:00:00.000000374,608.414
1970-01-01 00:00:00.000000375,424.682
1970-01-01 00:00:00.000000376,410.408
1970-01-01 00:00:00.000000377,-200.446
1970-01-01 00:00:00.000000378,-482.876
1970-01-01 00:00:00.000000379,-88.084
1970-01-01 00:00:00.000000380,-606.584
1970-01-01 00:00:00.000000381,-397.72
1970-01-01 00:00:00.000000382,59.78
1970-01-01 00:00:00.000000383,-530.578
1970-01-01 00:00:00.000000384,54.29
1970-01-01 00:00:00.000000385,-88.938
1970-01-01 00:00:00.000000386,279.868
1970-01-01 00:00:00.000000387,243.268
1970-01-01 00:00:00.000000388,270.962
1970-01-01 00:00:00.000000389,95.77
1970-01-01 00:00:00.000000390,154.574
1970-01-01 00:00:00.000000391,-426.268
1970-01-01 00:00:00.000000392,-285.236
1970-01-01 00:00:00.000000393,-440.298
1970-01-01 00:00:00.000000394,-163.968
1970-01-01 00:00:00.000000395,-13.42
1970-01-01 00:00:00.000000396,-136.762
1970-01-01 00:00:00.000000397,64.05
1970-01-01 00:00:00.000000398,341.112
1970-01-01 00:00:00.000000399,63.806
1970-01-01 00:00:00.000000400,-286.334
1970-01-01 00:00:00.000000401,-162.504
1970-01-01 00:00:00.000000402,-311.1
1970-01-01 00:00:00.000000403,19.764
1970-01-01 00:00:00.000000404,-193.736
1970-01-01 00:00:00.000000405,-390.522
1970-01-01 00:00:00.000000406,-40.87
1970-01-01 00:00:00.000000407,-257.42
1970-01-01 00:00:00.000000408,176.534
