time_captured,03_cap_raw_accY
1970-01-01 00:00:00.000000342,-180.072
1970-01-01 00:00:00.000000343,-221.308
1970-01-01 00:00:00.000000344,271.694
1970-01-01 00:00:00.000000345,-188.002
1970-01-01 00:00:00.000000346,-52.826
1970-01-01 00:00:00.000000347,-479.338
1970-01-01 00:00:00.000000348,-241.682
1970-01-01 00:00:00.000000349,-127.246
1970-01-01 00:00:00.000000350,-367.098
1970-01-01 00:00:00.000000351,-144.57
1970-01-01 00:00:00.000000352,-121.878
1970-01-01 00:00:00.000000353,-279.99
1970-01-01 00:00:00.000000354,485.072
1970-01-01 00:00:00.000000355,165.798
1970-01-01 00:00:00.000000356,-255.59
1970-01-01 00:00:00.000000357,-637.206
1970-01-01 00:00:00.000000358,228.018
1970-01-01 00:00:00.000000359,-45.75
1970-01-01 00:00:00.000000360,-223.504
1970-01-01 00:00:00.000000361,-193.248
1970-01-01 00:00:00.000000362,-650.26
1970-01-01 00:00:00.000000363,29.524
1970-01-01 00:00:00.000000364,-134.81
1970-01-01 00:00:00.000000365,-112.362
1970-01-01 00:00:00.000000366,-250.71
1970-01-01 00:00:00.000000367,-157.258
1970-01-01 00:00:00.000000368,-307.806
1970-01-01 00:00:00.000000369,-65.758
1970-01-01 00:00:00.000000370,-438.712
1970-01-01 00:00:00.000000371,39.284
1970-01-01 00:00:00.000000372,39.284
1970-01-01 00:00:00.000000373,594.14
1970-01-01 00:00:00.000000374,589.382
1970-01-01 00:00:00.000000375,267.424
1970-01-01 00:00:00.000000376,183.976
1970-01-01 00:00:00.000000377,-248.27
1970-01-01 00:00:00.000000378,-475.8
1970-01-01 00:00:00.000000379,-353.312
1970-01-01 00:00:00.000000380,105.042
1970-01-01 00:00:00.000000381,105.042
1970-01-01 00:00:00.000000382,-40.26
1970-01-01 00:00:00.000000383,490.806
1970-01-01 00:00:00.000000384,635.254
1970-01-01 00:00:00.000000385,240.096
1970-01-01 00:00:00.000000386,143.594
1970-01-01 00:00:00.000000387,-40.626
1970-01-01 00:00:00.000000388,-561.078
1970-01-01 00:00:00.000000389,-412.36
1970-01-01 00:00:00.000000390,-0.976
1970-01-01 00:00:00.000000391,-134.444
