time_captured,MRK_Open
2014-07-24,58.32
2014-07-25,58.13
2014-07-28,58.17
2014-07-29,58.82
2014-07-30,58.58
2014-07-31,57.76
2014-08-01,56.58
2014-08-04,56.95
2014-08-05,56.72
2014-08-06,55.88
2014-08-07,56.21
2014-08-08,55.87
2014-08-11,56.7
2014-08-12,56.55
2014-08-13,57.39
2014-08-14,58.05
2014-08-15,58.8
2014-08-18,58.8
2014-08-19,58.85
2014-08-20,58.68
2014-08-21,59.4
2014-08-22,59.04
2014-08-25,59.34
2014-08-26,59.67
2014-08-27,60.4
2014-08-28,59.89
2014-08-29,60.42
2014-09-02,59.73
2014-09-03,60.12
2014-09-04,60.57
2014-09-05,60.42
2014-09-08,61.22
2014-09-09,60.84
2014-09-10,60.67
2014-09-11,60.21
2014-09-12,59.88
2014-09-15,59.65
2014-09-16,59.51
2014-09-17,59.53
2014-09-18,60.13
2014-09-19,60.75
2014-09-22,60.37
2014-09-23,60.15
2014-09-24,60.31
2014-09-25,60.28
2014-09-26,59.72
2014-09-29,59.03
2014-09-30,59.4
2014-10-01,59.09
2014-10-02,58.78
2014-10-03,59.17
2014-10-06,60.17
2014-10-07,59.32
2014-10-08,58.66
2014-10-09,60.0
2014-10-10,59.31
2014-10-13,58.55
2014-10-14,56.57
2014-10-15,55.37
2014-10-16,54.01
2014-10-17,53.85
2014-10-20,54.22
2014-10-21,54.57
2014-10-22,55.23
2014-10-23,56.26
2014-10-24,56.8
2014-10-27,56.91
2014-10-28,56.6
2014-10-29,56.02
2014-10-30,55.71
2014-10-31,57.95
2014-11-03,57.95
2014-11-04,58.87
2014-11-05,59.99
2014-11-06,59.6
2014-11-07,59.39
2014-11-10,58.24
2014-11-11,59.72
2014-11-12,59.28
2014-11-13,59.5
2014-11-14,59.23
2014-11-17,59.71
2014-11-18,59.49
2014-11-19,59.63
2014-11-20,59.21
2014-11-21,59.94
2014-11-24,59.81
2014-11-25,59.32
2014-11-26,59.7
2014-11-28,59.7
2014-12-01,60.4
2014-12-02,60.63
2014-12-03,60.76
2014-12-04,60.51
2014-12-05,61.03
2014-12-08,61.17
2014-12-09,59.4
2014-12-10,60.12
2014-12-11,59.78
2014-12-12,59.13
2014-12-15,57.82
2014-12-16,56.97
2014-12-17,57.05
2014-12-18,58.59
2014-12-19,59.25
2014-12-22,59.12
2014-12-23,58.69
2014-12-24,57.29
2014-12-26,57.68
2014-12-29,57.45
2014-12-30,57.53
2014-12-31,57.27
2015-01-02,57.22
2015-01-05,58.21
2015-01-06,58.28
2015-01-07,60.44
2015-01-08,62.0
2015-01-09,62.81
2015-01-12,63.1
2015-01-13,62.91
2015-01-14,61.72
2015-01-15,62.79
2015-01-16,61.86
2015-01-20,62.71
2015-01-21,62.42
2015-01-22,62.26
2015-01-23,62.46
2015-01-26,62.58
2015-01-27,62.88
2015-01-28,62.82
2015-01-29,61.54
2015-01-30,61.53
2015-02-02,60.5
2015-02-03,60.89
2015-02-04,59.97
2015-02-05,59.27
2015-02-06,59.1
2015-02-09,58.65
2015-02-10,59.0
2015-02-11,58.76
2015-02-12,59.0
2015-02-13,58.9
2015-02-17,58.74
2015-02-18,58.67
2015-02-19,58.85
2015-02-20,58.15
2015-02-23,58.39
2015-02-24,58.49
2015-02-25,58.46
2015-02-26,58.66
2015-02-27,58.89
2015-03-02,58.29
2015-03-03,58.64
2015-03-04,58.41
2015-03-05,58.09
2015-03-06,57.85
2015-03-09,56.84
2015-03-10,56.95
2015-03-11,57.49
2015-03-12,55.82
2015-03-13,56.03
2015-03-16,56.58
2015-03-17,56.89
2015-03-18,56.39
2015-03-19,57.43
2015-03-20,58.24
2015-03-23,58.4
2015-03-24,59.41
2015-03-25,59.5
2015-03-26,58.04
2015-03-27,57.83
2015-03-30,58.25
2015-03-31,58.19
2015-04-01,57.26
2015-04-02,57.0
2015-04-06,56.93
2015-04-07,57.66
2015-04-08,57.91
2015-04-09,57.22
2015-04-10,57.05
2015-04-13,57.08
2015-04-14,56.94
2015-04-15,58.07
2015-04-16,58.21
2015-04-17,57.35
2015-04-20,57.5
2015-04-21,58.01
2015-04-22,57.56
2015-04-23,57.52
2015-04-24,57.85
2015-04-27,57.83
2015-04-28,60.22
2015-04-29,59.33
2015-04-30,59.79
2015-05-01,59.76
2015-05-04,60.14
2015-05-05,60.32
2015-05-06,60.45
2015-05-07,60.05
2015-05-08,61.0
2015-05-11,60.66
2015-05-12,59.55
2015-05-13,59.62
2015-05-14,59.47
2015-05-15,59.94
2015-05-18,60.17
2015-05-19,59.96
2015-05-20,60.67
2015-05-21,60.55
2015-05-22,60.07
2015-05-26,59.28
2015-05-27,59.09
2015-05-28,59.45
2015-05-29,59.88
2015-06-01,60.85
2015-06-02,60.45
2015-06-03,60.66
2015-06-04,59.96
2015-06-05,59.36
2015-06-08,58.89
2015-06-09,58.96
2015-06-10,58.98
2015-06-11,59.2
2015-06-12,58.79
2015-06-15,57.6
2015-06-16,57.24
2015-06-17,57.71
2015-06-18,57.91
2015-06-19,58.41
2015-06-22,58.79
2015-06-23,58.88
2015-06-24,58.92
2015-06-25,58.25
2015-06-26,58.22
2015-06-29,57.93
2015-06-30,57.71
2015-07-01,56.93
2015-07-02,57.94
2015-07-06,57.24
2015-07-07,57.75
2015-07-08,57.73
2015-07-09,58.04
2015-07-10,58.07
2015-07-13,58.25
2015-07-14,57.9
2015-07-15,58.16
2015-07-16,58.51
2015-07-17,58.7
2015-07-20,58.96
2015-07-21,58.99
2015-07-22,58.51
2015-07-23,58.53
2015-07-24,57.71
2015-07-27,57.43
2015-07-28,56.52
2015-07-29,57.69
2015-07-30,58.62
2015-07-31,59.0
2015-08-03,59.3
2015-08-04,59.44
2015-08-05,59.08
2015-08-06,59.16
2015-08-07,58.35
2015-08-10,58.26
2015-08-11,57.93
2015-08-12,57.28
2015-08-13,58.55
2015-08-14,59.01
2015-08-17,58.8
2015-08-18,59.67
2015-08-19,59.32
2015-08-20,58.29
2015-08-21,56.59
2015-08-24,53.07
2015-08-25,55.39
2015-08-26,53.4
2015-08-27,55.28
2015-08-28,54.78
2015-08-31,55.12
2015-09-01,52.66
2015-09-02,53.17
2015-09-03,53.27
2015-09-04,52.1
2015-09-08,53.01
2015-09-09,53.21
2015-09-10,52.02
2015-09-11,52.21
2015-09-14,52.12
2015-09-15,52.78
2015-09-16,53.51
2015-09-17,53.85
2015-09-18,53.68
2015-09-21,52.44
2015-09-22,50.55
2015-09-23,50.74
2015-09-24,50.53
2015-09-25,50.92
2015-09-28,49.3
2015-09-29,48.58
2015-09-30,49.4
2015-10-01,49.35
2015-10-02,48.79
2015-10-05,51.07
2015-10-06,51.39
2015-10-07,50.46
2015-10-08,50.66
2015-10-09,50.99
2015-10-12,49.71
2015-10-13,50.78
2015-10-14,49.59
2015-10-15,49.67
2015-10-16,51.3
2015-10-19,51.33
2015-10-20,51.39
2015-10-21,50.75
2015-10-22,50.82
2015-10-23,52.35
2015-10-26,52.65
2015-10-27,53.76
2015-10-28,53.99
2015-10-29,54.96
2015-10-30,54.79
2015-11-02,54.69
2015-11-03,55.08
2015-11-04,55.47
2015-11-05,55.46
