time_captured,02_on_raw_accY
1970-01-01 00:00:00.000000248,437.736
1970-01-01 00:00:00.000000249,147.742
1970-01-01 00:00:00.000000250,56.12
1970-01-01 00:00:00.000000251,-208.864
1970-01-01 00:00:00.000000252,100.65
1970-01-01 00:00:00.000000253,-81.984
1970-01-01 00:00:00.000000254,-308.782
1970-01-01 00:00:00.000000255,-438.346
1970-01-01 00:00:00.000000256,266.57
1970-01-01 00:00:00.000000257,293.41
1970-01-01 00:00:00.000000258,101.138
1970-01-01 00:00:00.000000259,-2.44
1970-01-01 00:00:00.000000260,-167.384
1970-01-01 00:00:00.000000261,-37.698
1970-01-01 00:00:00.000000262,295.728
1970-01-01 00:00:00.000000263,41.724
1970-01-01 00:00:00.000000264,-246.318
1970-01-01 00:00:00.000000265,692.472
1970-01-01 00:00:00.000000266,77.958
1970-01-01 00:00:00.000000267,43.066
1970-01-01 00:00:00.000000268,-28.914
1970-01-01 00:00:00.000000269,-403.698
1970-01-01 00:00:00.000000270,-435.784
1970-01-01 00:00:00.000000271,15.616
1970-01-01 00:00:00.000000272,33.672
1970-01-01 00:00:00.000000273,-196.786
1970-01-01 00:00:00.000000274,147.498
1970-01-01 00:00:00.000000275,-272.548
1970-01-01 00:00:00.000000276,163.846
1970-01-01 00:00:00.000000277,62.708
1970-01-01 00:00:00.000000278,-95.648
1970-01-01 00:00:00.000000279,-246.562
1970-01-01 00:00:00.000000280,-9.394
1970-01-01 00:00:00.000000281,295.606
1970-01-01 00:00:00.000000282,-187.148
1970-01-01 00:00:00.000000283,-281.332
1970-01-01 00:00:00.000000284,-267.668
1970-01-01 00:00:00.000000285,310.734
1970-01-01 00:00:00.000000286,51.484
1970-01-01 00:00:00.000000287,137.616
1970-01-01 00:00:00.000000288,-268.888
1970-01-01 00:00:00.000000289,290.726
1970-01-01 00:00:00.000000290,517.524
1970-01-01 00:00:00.000000291,75.396
1970-01-01 00:00:00.000000292,48.922
1970-01-01 00:00:00.000000293,-61.976
1970-01-01 00:00:00.000000294,-112.728
1970-01-01 00:00:00.000000295,270.84
1970-01-01 00:00:00.000000296,-168.482
1970-01-01 00:00:00.000000297,-338.062
1970-01-01 00:00:00.000000298,33.794
1970-01-01 00:00:00.000000299,-132.248
1970-01-01 00:00:00.000000300,330.01
1970-01-01 00:00:00.000000301,501.542
1970-01-01 00:00:00.000000302,-49.41
1970-01-01 00:00:00.000000303,-44.53
1970-01-01 00:00:00.000000304,129.808
1970-01-01 00:00:00.000000305,-425.17
1970-01-01 00:00:00.000000306,-539.972
1970-01-01 00:00:00.000000307,-193.37
1970-01-01 00:00:00.000000308,-426.512
1970-01-01 00:00:00.000000309,421.754
1970-01-01 00:00:00.000000310,186.66
1970-01-01 00:00:00.000000311,-106.384
1970-01-01 00:00:00.000000312,22.204
1970-01-01 00:00:00.000000313,-199.226
1970-01-01 00:00:00.000000314,-194.956
1970-01-01 00:00:00.000000315,41.236
1970-01-01 00:00:00.000000316,30.866
1970-01-01 00:00:00.000000317,-194.956
1970-01-01 00:00:00.000000318,400.648
1970-01-01 00:00:00.000000319,67.344
1970-01-01 00:00:00.000000320,80.032
1970-01-01 00:00:00.000000321,-93.696
1970-01-01 00:00:00.000000322,-92.72
1970-01-01 00:00:00.000000323,300.974
1970-01-01 00:00:00.000000324,217.16
1970-01-01 00:00:00.000000325,75.762
1970-01-01 00:00:00.000000326,-342.942
1970-01-01 00:00:00.000000327,528.87
1970-01-01 00:00:00.000000328,-48.312
1970-01-01 00:00:00.000000329,-60.512
1970-01-01 00:00:00.000000330,-127.246
1970-01-01 00:00:00.000000331,-250.466
1970-01-01 00:00:00.000000332,116.51
1970-01-01 00:00:00.000000333,-251.808
1970-01-01 00:00:00.000000334,310.246
1970-01-01 00:00:00.000000335,-45.262
1970-01-01 00:00:00.000000336,139.568
1970-01-01 00:00:00.000000337,-308.904
1970-01-01 00:00:00.000000338,-66.856
1970-01-01 00:00:00.000000339,175.192
1970-01-01 00:00:00.000000340,-37.942
1970-01-01 00:00:00.000000341,-130.174
1970-01-01 00:00:00.000000342,149.694
1970-01-01 00:00:00.000000343,350.384
1970-01-01 00:00:00.000000344,-70.272
1970-01-01 00:00:00.000000345,-93.086
1970-01-01 00:00:00.000000346,-367.098
1970-01-01 00:00:00.000000347,-189.1
1970-01-01 00:00:00.000000348,161.65
1970-01-01 00:00:00.000000349,-79.056
1970-01-01 00:00:00.000000350,-318.664
1970-01-01 00:00:00.000000351,55.876
1970-01-01 00:00:00.000000352,116.754
1970-01-01 00:00:00.000000353,175.436
1970-01-01 00:00:00.000000354,-10.37
1970-01-01 00:00:00.000000355,-111.142
1970-01-01 00:00:00.000000356,-36.112
1970-01-01 00:00:00.000000357,74.42
1970-01-01 00:00:00.000000358,-128.954
1970-01-01 00:00:00.000000359,-180.072
1970-01-01 00:00:00.000000360,123.464
1970-01-01 00:00:00.000000361,50.874
1970-01-01 00:00:00.000000362,320.006
1970-01-01 00:00:00.000000363,280.722
1970-01-01 00:00:00.000000364,-121.878
1970-01-01 00:00:00.000000365,148.962
1970-01-01 00:00:00.000000366,-10.37
1970-01-01 00:00:00.000000367,-312.808
1970-01-01 00:00:00.000000368,-213.378
1970-01-01 00:00:00.000000369,-235.094
1970-01-01 00:00:00.000000370,-229.97
1970-01-01 00:00:00.000000371,507.642
1970-01-01 00:00:00.000000372,345.138
1970-01-01 00:00:00.000000373,-35.014
1970-01-01 00:00:00.000000374,-63.44
1970-01-01 00:00:00.000000375,-295.24
1970-01-01 00:00:00.000000376,-164.456
