time_captured,01_off_raw_accY
1970-01-01 00:00:00.000000416,-14.64
1970-01-01 00:00:00.000000417,-14.396
1970-01-01 00:00:00.000000418,-14.884
1970-01-01 00:00:00.000000419,-16.226
1970-01-01 00:00:00.000000420,-12.322
1970-01-01 00:00:00.000000421,-11.834
1970-01-01 00:00:00.000000422,-14.884
1970-01-01 00:00:00.000000423,-14.396
1970-01-01 00:00:00.000000424,-14.518
1970-01-01 00:00:00.000000425,-13.298
1970-01-01 00:00:00.000000426,-14.762
1970-01-01 00:00:00.000000427,-15.86
1970-01-01 00:00:00.000000428,-15.006
1970-01-01 00:00:00.000000429,-15.616
1970-01-01 00:00:00.000000430,-13.054
1970-01-01 00:00:00.000000431,-14.762
1970-01-01 00:00:00.000000432,-13.908
1970-01-01 00:00:00.000000433,-15.372
1970-01-01 00:00:00.000000434,-15.494
1970-01-01 00:00:00.000000435,-15.006
1970-01-01 00:00:00.000000436,-13.176
1970-01-01 00:00:00.000000437,-12.932
1970-01-01 00:00:00.000000438,-15.128
1970-01-01 00:00:00.000000439,-16.104
1970-01-01 00:00:00.000000440,-14.152
1970-01-01 00:00:00.000000441,-14.762
1970-01-01 00:00:00.000000442,-15.616
1970-01-01 00:00:00.000000443,-14.518
1970-01-01 00:00:00.000000444,-14.518
1970-01-01 00:00:00.000000445,-15.006
1970-01-01 00:00:00.000000446,-13.542
1970-01-01 00:00:00.000000447,-14.762
1970-01-01 00:00:00.000000448,-14.64
1970-01-01 00:00:00.000000449,-14.884
1970-01-01 00:00:00.000000450,-13.664
1970-01-01 00:00:00.000000451,-14.274
1970-01-01 00:00:00.000000452,-11.834
1970-01-01 00:00:00.000000453,-14.518
1970-01-01 00:00:00.000000454,-13.786
1970-01-01 00:00:00.000000455,-12.688
1970-01-01 00:00:00.000000456,-14.64
1970-01-01 00:00:00.000000457,-13.42
1970-01-01 00:00:00.000000458,-13.786
1970-01-01 00:00:00.000000459,-13.42
1970-01-01 00:00:00.000000460,-14.518
1970-01-01 00:00:00.000000461,-14.518
1970-01-01 00:00:00.000000462,-12.2
1970-01-01 00:00:00.000000463,-14.152
1970-01-01 00:00:00.000000464,-14.762
1970-01-01 00:00:00.000000465,-14.396
1970-01-01 00:00:00.000000466,-15.006
1970-01-01 00:00:00.000000467,-16.592
1970-01-01 00:00:00.000000468,-13.42
1970-01-01 00:00:00.000000469,-13.908
1970-01-01 00:00:00.000000470,-14.64
1970-01-01 00:00:00.000000471,-14.64
1970-01-01 00:00:00.000000472,-12.81
1970-01-01 00:00:00.000000473,-13.298
1970-01-01 00:00:00.000000474,-15.494
1970-01-01 00:00:00.000000475,-14.274
1970-01-01 00:00:00.000000476,-14.762
1970-01-01 00:00:00.000000477,-15.128
1970-01-01 00:00:00.000000478,-14.762
